FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市歸仁區南保里29鄰中山九街1號,67,6702800,6702800-001,29鄰,中山九街,,,,,,1號,120.282640133701,22.9674589033208
臺南市歸仁區南保里29鄰中山九街6號,67,6702800,6702800-001,29鄰,中山九街,,,,,,6號,120.282389902654,22.9673837227563
臺南市歸仁區南保里29鄰中山九街7巷12號,67,6702800,6702800-001,29鄰,中山九街,,7巷,,,,12號,120.283143760699,22.9669536793199
臺南市歸仁區南保里29鄰中山九街7巷13號,67,6702800,6702800-001,29鄰,中山九街,,7巷,,,,13號,120.283230418879,22.967441706158
臺南市歸仁區南保里29鄰中山九街7巷15號,67,6702800,6702800-001,29鄰,中山九街,,7巷,,,,15號,120.28333973451,22.9674241397169
臺南市歸仁區南保里29鄰中山九街7巷17號,67,6702800,6702800-001,29鄰,中山九街,,7巷,,,,17號,120.283390679059,22.967398272458
臺南市歸仁區南保里29鄰中山九街7巷19號,67,6702800,6702800-001,29鄰,中山九街,,7巷,,,,19號,120.283456862085,22.9673861097678
臺南市歸仁區南保里29鄰中山九街7巷21號,67,6702800,6702800-001,29鄰,中山九街,,7巷,,,,21號,120.283520986748,22.9673759244103
臺南市歸仁區南保里29鄰中山九街7巷23號,67,6702800,6702800-001,29鄰,中山九街,,7巷,,,,23號,120.283585061441,22.9673752205945
臺南市歸仁區南保里29鄰中山九街7巷25號,67,6702800,6702800-001,29鄰,中山九街,,7巷,,,,25號,120.283643082886,22.9673573318738
臺南市歸仁區南保里29鄰中山九街7巷27號,67,6702800,6702800-001,29鄰,中山九街,,7巷,,,,27號,120.283713960041,22.9673981980253
臺南市歸仁區南保里29鄰中山九街7巷29號,67,6702800,6702800-001,29鄰,中山九街,,7巷,,,,29號,120.283773921856,22.9673822143808
臺南市歸仁區南保里29鄰中山九街7巷31號,67,6702800,6702800-001,29鄰,中山九街,,7巷,,,,31號,120.283816564427,22.9673772597323
臺南市歸仁區南保里29鄰中山九街9號,67,6702800,6702800-001,29鄰,中山九街,,,,,,9號,120.282613832031,22.9672131607532
臺南市歸仁區南保里29鄰中山九街16號,67,6702800,6702800-001,29鄰,中山九街,,,,,,16號,120.28229555673,22.9670040240628
臺南市歸仁區南保里29鄰中山九街17號,67,6702800,6702800-001,29鄰,中山九街,,,,,,17號,120.282726087114,22.9669156693868
臺南市歸仁區南保里29鄰中山九街20號,67,6702800,6702800-001,29鄰,中山九街,,,,,,20號,120.28240577764,22.9668148870643
臺南市歸仁區南保里29鄰中山九街21號,67,6702800,6702800-001,29鄰,中山九街,,,,,,21號,120.282682534633,22.9667419104058
臺南市歸仁區南保里29鄰中山九街23號,67,6702800,6702800-001,29鄰,中山九街,,,,,,23號,120.282541523609,22.9664641331726
臺南市歸仁區南保里29鄰中山九街26號,67,6702800,6702800-001,29鄰,中山九街,,,,,,26號,120.282259208126,22.9664078611469
臺南市歸仁區南保里29鄰中山九街27號,67,6702800,6702800-001,29鄰,中山九街,,,,,,27號,120.282541523609,22.9664641331726
臺南市歸仁區南保里29鄰中山九街32號,67,6702800,6702800-001,29鄰,中山九街,,,,,,32號,120.282315947977,22.9662816940574
臺南市歸仁區南保里29鄰中山九街33號,67,6702800,6702800-001,29鄰,中山九街,,,,,,33號,120.282728312364,22.966290513212
臺南市歸仁區南保里29鄰中山九街35號,67,6702800,6702800-001,29鄰,中山九街,,,,,,35號,120.282718921793,22.9661480632218
臺南市歸仁區南保里29鄰中山九街40號,67,6702800,6702800-001,29鄰,中山九街,,,,,,40號,120.282235771252,22.9661368466884
臺南市歸仁區南保里29鄰中山九街50號,67,6702800,6702800-001,29鄰,中山九街,,,,,,50號,120.282688837182,22.96575059481
臺南市歸仁區南保里29鄰中山九街56號,67,6702800,6702800-001,29鄰,中山九街,,,,,,56號,120.283098574461,22.9659059625415
