FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市歸仁區六甲里6鄰中正二十街1號,67,6702800,6702800-002,6鄰,中正二十街,,,,,,1號,120.27796796277,22.951617548044
臺南市歸仁區六甲里6鄰中正二十街2號,67,6702800,6702800-002,6鄰,中正二十街,,,,,,2號,120.277977689449,22.9517323672914
臺南市歸仁區六甲里6鄰中正二十街3號,67,6702800,6702800-002,6鄰,中正二十街,,,,,,3號,120.27790383995,22.9516287246625
臺南市歸仁區六甲里6鄰中正二十街5號,67,6702800,6702800-002,6鄰,中正二十街,,,,,,5號,120.277845920917,22.9516284610269
臺南市歸仁區六甲里6鄰中正二十街6號,67,6702800,6702800-002,6鄰,中正二十街,,,,,,6號,120.277907449042,22.9517387300145
臺南市歸仁區六甲里6鄰中正二十街7號,67,6702800,6702800-002,6鄰,中正二十街,,,,,,7號,120.277788027974,22.95164165262
臺南市歸仁區六甲里6鄰中正二十街8號,67,6702800,6702800-002,6鄰,中正二十街,,,,,,8號,120.277849494496,22.9517451486316
臺南市歸仁區六甲里6鄰中正二十街10號,67,6702800,6702800-002,6鄰,中正二十街,,,,,,10號,120.277787464787,22.9517477559545
臺南市歸仁區六甲里6鄰中正二十街12號,67,6702800,6702800-002,6鄰,中正二十街,,,,,,12號,120.277726802089,22.9517500082651
臺南市歸仁區六甲里6鄰中正二十街16號,67,6702800,6702800-002,6鄰,中正二十街,,,,,,16號,120.277666907461,22.9517545216219
臺南市歸仁區六甲里6鄰中正二十街27號,67,6702800,6702800-002,6鄰,中正二十街,,,,,,27號,120.277467332607,22.9516577111404
臺南市歸仁區六甲里6鄰中正二十街29號,67,6702800,6702800-002,6鄰,中正二十街,,,,,,29號,120.277467572367,22.9516125607882
臺南市歸仁區六甲里6鄰中正二十街31號,67,6702800,6702800-002,6鄰,中正二十街,,,,,,31號,120.277467320112,22.9515498894343
臺南市歸仁區六甲里6鄰中正二十街33號,67,6702800,6702800-002,6鄰,中正二十街,,,,,,33號,120.27759266468,22.9515413396561
臺南市歸仁區六甲里6鄰中正二十街35號,67,6702800,6702800-002,6鄰,中正二十街,,,,,,35號,120.277682974122,22.95153831935
臺南市歸仁區六甲里6鄰中正二十街37號,67,6702800,6702800-002,6鄰,中正二十街,,,,,,37號,120.277714672204,22.9514266686858
臺南市歸仁區六甲里6鄰中正二十街39號,67,6702800,6702800-002,6鄰,中正二十街,,,,,,39號,120.277673308774,22.9514303633865
臺南市歸仁區六甲里6鄰中正二十街41號,67,6702800,6702800-002,6鄰,中正二十街,,,,,,41號,120.277627958117,22.9514320532576
臺南市歸仁區六甲里6鄰中正二十街43號,67,6702800,6702800-002,6鄰,中正二十街,,,,,,43號,120.277574201752,22.9514374975607
臺南市歸仁區六甲里6鄰中正二十街45號,67,6702800,6702800-002,6鄰,中正二十街,,,,,,45號,120.277512244275,22.951444891161
