FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市仁德區仁德里6鄰仁中二街1號,67,6702700,6702700-004,6鄰,仁中二街,,,,,,1號,120.252568677984,22.9644049524146
臺南市仁德區仁德里8鄰仁中二街2號,67,6702700,6702700-004,8鄰,仁中二街,,,,,,2號,120.252491994311,22.9646241160698
臺南市仁德區仁德里6鄰仁中二街3號,67,6702700,6702700-004,6鄰,仁中二街,,,,,,3號,120.2524984669,22.9644046214692
臺南市仁德區仁德里6鄰仁中二街5號,67,6702700,6702700-004,6鄰,仁中二街,,,,,,5號,120.252449904235,22.9644043925471
臺南市仁德區仁德里6鄰仁中二街7號,67,6702700,6702700-004,6鄰,仁中二街,,,,,,7號,120.252409630379,22.9644042026867
臺南市仁德區仁德里6鄰仁中二街9號,67,6702700,6702700-004,6鄰,仁中二街,,,,,,9號,120.252369356523,22.9644040128162
臺南市仁德區仁德里6鄰仁中二街11號,67,6702700,6702700-004,6鄰,仁中二街,,,,,,11號,120.252319818705,22.9644037792567
臺南市仁德區仁德里6鄰仁中二街13號,67,6702700,6702700-004,6鄰,仁中二街,,,,,,13號,120.252282665343,22.964403604077
臺南市仁德區仁德里6鄰仁中二街15號,67,6702700,6702700-004,6鄰,仁中二街,,,,,,15號,120.252236150503,22.9644033847453
臺南市仁德區仁德里8鄰仁中二街16號,67,6702700,6702700-004,8鄰,仁中二街,,,,,,16號,120.252264036422,22.9646346903486
臺南市仁德區仁德里6鄰仁中二街17號,67,6702700,6702700-004,6鄰,仁中二街,,,,,,17號,120.252192853672,22.9644031805752
臺南市仁德區仁德里8鄰仁中二街18號,67,6702700,6702700-004,8鄰,仁中二街,,,,,,18號,120.25220631963,22.9646321606257
臺南市仁德區仁德里6鄰仁中二街19號,67,6702700,6702700-004,6鄰,仁中二街,,,,,,19號,120.252151507149,22.9644029855909
臺南市仁德區仁德里6鄰仁中二街21號,67,6702700,6702700-004,6鄰,仁中二街,,,,,,21號,120.252112305965,22.9644028007137
臺南市仁德區仁德里6鄰仁中二街23號,67,6702700,6702700-004,6鄰,仁中二街,,,,,,23號,120.25206891162,22.9644025960499
臺南市仁德區仁德里7鄰仁中二街51號,67,6702700,6702700-004,7鄰,仁中二街,,,,,,51號,120.251266047619,22.9643847201323
臺南市仁德區仁德里7鄰仁中二街53號,67,6702700,6702700-004,7鄰,仁中二街,,,,,,53號,120.251191643407,22.9643843688102
臺南市仁德區仁德里7鄰仁中二街55號,67,6702700,6702700-004,7鄰,仁中二街,,,,,,55號,120.251139960272,22.964384124752
臺南市仁德區仁德里7鄰仁中二街57號,67,6702700,6702700-004,7鄰,仁中二街,,,,,,57號,120.251093542967,22.9643839055458
臺南市仁德區仁德里7鄰仁中二街59號,67,6702700,6702700-004,7鄰,仁中二街,,,,,,59號,120.251048100816,22.9643836909316
臺南市仁德區仁德里7鄰仁中二街61號,67,6702700,6702700-004,7鄰,仁中二街,,,,,,61號,120.251001585996,22.9643834712379
臺南市仁德區仁德里8鄰仁中二街62號,67,6702700,6702700-004,8鄰,仁中二街,,,,,,62號,120.251841475407,22.9645311070996
臺南市仁德區仁德里7鄰仁中二街63號,67,6702700,6702700-004,7鄰,仁中二街,,,,,,63號,120.250949902864,22.9643832271179
臺南市仁德區仁德里7鄰仁中二街65號,67,6702700,6702700-004,7鄰,仁中二街,,,,,,65號,120.250906508537,22.9643830221361
臺南市仁德區仁德里8鄰仁中二街66號,67,6702700,6702700-004,8鄰,仁中二街,,,,,,66號,120.251777125632,22.9645289071367
臺南市仁德區仁德里7鄰仁中二街67號,67,6702700,6702700-004,7鄰,仁中二街,,,,,,67號,120.25086311421,22.9643828171425
臺南市仁德區仁德里8鄰仁中二街68號,67,6702700,6702700-004,8鄰,仁中二街,,,,,,68號,120.251694649414,22.9645245446574
臺南市仁德區仁德里7鄰仁中二街69號,67,6702700,6702700-004,7鄰,仁中二街,,,,,,69號,120.2508198174,22.9643826125977
臺南市仁德區仁德里7鄰仁中二街71號,67,6702700,6702700-004,7鄰,仁中二街,,,,,,71號,120.250777398227,22.9643824121876
臺南市仁德區仁德里7鄰仁中二街73號,67,6702700,6702700-004,7鄰,仁中二街,,,,,,73號,120.250737124393,22.9643822219027
臺南市仁德區仁德里7鄰仁中二街75號,67,6702700,6702700-004,7鄰,仁中二街,,,,,,75號,120.250691682246,22.9643820071863
臺南市仁德區仁德里8鄰仁中二街76巷1號,67,6702700,6702700-004,8鄰,仁中二街,,76巷,,,,1號,120.251509734092,22.9646878416731
臺南市仁德區仁德里8鄰仁中二街76巷3號,67,6702700,6702700-004,8鄰,仁中二街,,76巷,,,,3號,120.251509518368,22.9647270318852
臺南市仁德區仁德里8鄰仁中二街76巷5號,67,6702700,6702700-004,8鄰,仁中二街,,76巷,,,,5號,120.251509302643,22.9647662220972
臺南市仁德區仁德里8鄰仁中二街76巷7號,67,6702700,6702700-004,8鄰,仁中二街,,76巷,,,,7號,120.251509097852,22.9648034257083
臺南市仁德區仁德里8鄰仁中二街76巷8號,67,6702700,6702700-004,8鄰,仁中二街,,76巷,,,,8號,120.25168359691,22.9646900167599
臺南市仁德區仁德里8鄰仁中二街76巷10號,67,6702700,6702700-004,8鄰,仁中二街,,76巷,,,,10號,120.251753331108,22.9647061487353
臺南市仁德區仁德里8鄰仁中二街76巷12號,67,6702700,6702700-004,8鄰,仁中二街,,76巷,,,,12號,120.251805604434,22.964705492357
臺南市仁德區仁德里8鄰仁中二街76巷16號,67,6702700,6702700-004,8鄰,仁中二街,,76巷,,,,16號,120.251853879125,22.9647049073987
臺南市仁德區仁德里8鄰仁中二街76巷18號,67,6702700,6702700-004,8鄰,仁中二街,,76巷,,,,18號,120.251853876552,22.9647585469996
