FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市安南區溪心里10鄰仁安八街9號,67,6703500,6703500-018,10鄰,仁安八街,,,,,,9號,120.181996812013,23.0479898271034
臺南市安南區溪心里10鄰仁安八街11號,67,6703500,6703500-018,10鄰,仁安八街,,,,,,11號,120.182043667032,23.0480029824321
臺南市安南區溪心里10鄰仁安八街13號,67,6703500,6703500-018,10鄰,仁安八街,,,,,,13號,120.182075883756,23.0480325870043
臺南市安南區溪心里10鄰仁安八街15號,67,6703500,6703500-018,10鄰,仁安八街,,,,,,15號,120.182108078637,23.048081967244
臺南市安南區溪心里10鄰仁安八街22號,67,6703500,6703500-018,10鄰,仁安八街,,,,,,22號,120.182251842735,23.0479956611811
臺南市安南區溪心里10鄰仁安八街26號,67,6703500,6703500-018,10鄰,仁安八街,,,,,,26號,120.182285235821,23.0480405325626
臺南市安南區溪心里10鄰仁安八街28巷1號,67,6703500,6703500-018,10鄰,仁安八街,,28巷,,,,1號,120.182434257801,23.0481500247892
臺南市安南區溪心里10鄰仁安八街28巷2號,67,6703500,6703500-018,10鄰,仁安八街,,28巷,,,,2號,120.182313822293,23.047992640572
臺南市安南區溪心里10鄰仁安八街28巷3號,67,6703500,6703500-018,10鄰,仁安八街,,28巷,,,,3號,120.182460441963,23.0481283074679
臺南市安南區溪心里10鄰仁安八街28巷5號,67,6703500,6703500-018,10鄰,仁安八街,,28巷,,,,5號,120.182343154428,23.0479666954285
臺南市安南區溪心里10鄰仁安八街28巷6號,67,6703500,6703500-018,10鄰,仁安八街,,28巷,,,,6號,120.182490494185,23.0480962255931
臺南市安南區溪心里10鄰仁安八街28巷7號,67,6703500,6703500-018,10鄰,仁安八街,,28巷,,,,7號,120.182375183183,23.0479466337485
臺南市安南區溪心里10鄰仁安八街28巷8號,67,6703500,6703500-018,10鄰,仁安八街,,28巷,,,,8號,120.182518703396,23.0480784919485
臺南市安南區溪心里10鄰仁安八街28巷9號,67,6703500,6703500-018,10鄰,仁安八街,,28巷,,,,9號,120.182410920277,23.0479265009346
臺南市安南區溪心里10鄰仁安八街28巷10號,67,6703500,6703500-018,10鄰,仁安八街,,28巷,,,,10號,120.182552502109,23.0480561818728
臺南市安南區溪心里10鄰仁安八街28巷11號,67,6703500,6703500-018,10鄰,仁安八街,,28巷,,,,11號,120.18244020659,23.0479081407692
臺南市安南區溪心里10鄰仁安八街28巷12號,67,6703500,6703500-018,10鄰,仁安八街,,28巷,,,,12號,120.182588151445,23.0480344231583
臺南市安南區溪心里10鄰仁安八街28巷16號,67,6703500,6703500-018,10鄰,仁安八街,,28巷,,,,16號,120.182473128743,23.0478855552761
臺南市安南區溪心里10鄰仁安八街30號,67,6703500,6703500-018,10鄰,仁安八街,,,,,,30號,120.182361115502,23.0481433255826
