FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市下營區仁里里3鄰仁美街1號,67,6700800,6700800-002,3鄰,仁美街,,,,,,1號,120.260143451859,23.2328956671882
臺南市下營區仁里里3鄰仁美街5號,67,6700800,6700800-002,3鄰,仁美街,,,,,,5號,120.260096882382,23.2329062838885
臺南市下營區仁里里3鄰仁美街7號,67,6700800,6700800-002,3鄰,仁美街,,,,,,7號,120.260060103766,23.2329133346926
臺南市下營區仁里里3鄰仁美街9號,67,6700800,6700800-002,3鄰,仁美街,,,,,,9號,120.260009966451,23.2329330548165
臺南市下營區仁里里3鄰仁美街11號,67,6700800,6700800-002,3鄰,仁美街,,,,,,11號,120.259455399335,23.2329245732161
臺南市下營區仁里里3鄰仁美街12號,67,6700800,6700800-002,3鄰,仁美街,,,,,,12號,120.259906883327,23.2330742493013
臺南市下營區仁里里3鄰仁美街15號,67,6700800,6700800-002,3鄰,仁美街,,,,,,15號,120.259909293849,23.232956058636
臺南市下營區仁里里11鄰仁美街16號,67,6700800,6700800-002,11鄰,仁美街,,,,,,16號,120.259455399335,23.2329245732161
臺南市下營區仁里里3鄰仁美街17號,67,6700800,6700800-002,3鄰,仁美街,,,,,,17號,120.259645000467,23.2329705259377
臺南市下營區仁里里11鄰仁美街18號,67,6700800,6700800-002,11鄰,仁美街,,,,,,18號,120.259437369478,23.2327921092311
臺南市下營區仁里里11鄰仁美街28號,67,6700800,6700800-002,11鄰,仁美街,,,,,,28號,120.259372791475,23.2326132828611
臺南市下營區仁里里11鄰仁美街38號,67,6700800,6700800-002,11鄰,仁美街,,,,,,38號,120.25929111403,23.2324344661756
臺南市下營區仁里里11鄰仁美街40號,67,6700800,6700800-002,11鄰,仁美街,,,,,,40號,120.25928091677,23.232387733287
臺南市下營區仁里里11鄰仁美街42號,67,6700800,6700800-002,11鄰,仁美街,,,,,,42號,120.259277713214,23.2323485282158
臺南市下營區仁里里11鄰仁美街46號,67,6700800,6700800-002,11鄰,仁美街,,,,,,46號,120.259221534814,23.2322766559508
臺南市下營區仁里里11鄰仁美街48號,67,6700800,6700800-002,11鄰,仁美街,,,,,,48號,120.259255345948,23.2321875994278
臺南市下營區仁里里11鄰仁美街50號,67,6700800,6700800-002,11鄰,仁美街,,,,,,50號,120.259246723522,23.2321387970705
臺南市下營區仁里里11鄰仁美街56號,67,6700800,6700800-002,11鄰,仁美街,,,,,,56號,120.25906019504,23.2320674842238
臺南市下營區仁里里11鄰仁美街58號,67,6700800,6700800-002,11鄰,仁美街,,,,,,58號,120.259149048233,23.2319906067318
臺南市下營區仁里里4鄰仁美街67號,67,6700800,6700800-002,4鄰,仁美街,,,,,,67號,120.2593777956,23.2318126209575
臺南市下營區仁里里4鄰仁美街69號,67,6700800,6700800-002,4鄰,仁美街,,,,,,69號,120.259371305801,23.2317668988364
