FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市中西區西和里13鄰和真街1號,67,6703700,6703700-000,13鄰,和真街,,,,,,1號,120.19039335169,22.9994084073059
臺南市中西區西和里13鄰和真街3號,67,6703700,6703700-000,13鄰,和真街,,,,,,3號,120.190360619607,22.9994340660978
臺南市中西區西和里13鄰和真街5號,67,6703700,6703700-000,13鄰,和真街,,,,,,5號,120.19034507163,22.9994569230915
臺南市中西區西和里13鄰和真街7號,67,6703700,6703700-000,13鄰,和真街,,,,,,7號,120.190336691938,22.999471779932
臺南市中西區西和里9鄰和真街10號,67,6703700,6703700-000,9鄰,和真街,,,,,,10號,120.190445611828,22.9997229221442
臺南市中西區西和里13鄰和真街11號,67,6703700,6703700-000,13鄰,和真街,,,,,,11號,120.190219460394,22.9995675318522
臺南市中西區西和里9鄰和真街12號,67,6703700,6703700-000,9鄰,和真街,,,,,,12號,120.190430837208,22.9997633015047
臺南市中西區西和里13鄰和真街13號,67,6703700,6703700-000,13鄰,和真街,,,,,,13號,120.190183697054,22.9996271283077
臺南市中西區西和里9鄰和真街14號,67,6703700,6703700-000,9鄰,和真街,,,,,,14號,120.190384844002,22.9997881701075
臺南市中西區西和里13鄰和真街15號,67,6703700,6703700-000,13鄰,和真街,,,,,,15號,120.190150177562,22.9996539569411
臺南市中西區西和里9鄰和真街16號,67,6703700,6703700-000,9鄰,和真街,,,,,,16號,120.190357544406,22.9998188232228
臺南市中西區西和里13鄰和真街17號,67,6703700,6703700-000,13鄰,和真街,,,,,,17號,120.190125023806,22.9996846209881
臺南市中西區西和里9鄰和真街18號,67,6703700,6703700-000,9鄰,和真街,,,,,,18號,120.190324001738,22.9998495347194
臺南市中西區西和里13鄰和真街19號,67,6703700,6703700-000,13鄰,和真街,,,,,,19號,120.190095663997,22.9997172501466
臺南市中西區西和里9鄰和真街20號,67,6703700,6703700-000,9鄰,和真街,,,,,,20號,120.190290545283,22.9998821429714
臺南市中西區西和里13鄰和真街21號,67,6703700,6703700-000,13鄰,和真街,,,,,,21號,120.190068398295,22.9997422144176
臺南市中西區西和里9鄰和真街22號,67,6703700,6703700-000,9鄰,和真街,,,,,,22號,120.190240277554,22.9999204445361
臺南市中西區西和里13鄰和真街23號,67,6703700,6703700-000,13鄰,和真街,,,,,,23號,120.190047732409,22.99978906529
臺南市中西區西和里13鄰和真街25號,67,6703700,6703700-000,13鄰,和真街,,,,,,25號,120.1899348681,22.9998721068685
臺南市中西區西和里10鄰和真街26號,67,6703700,6703700-000,10鄰,和真街,,,,,,26號,120.190117368398,23.000068541951
臺南市中西區西和里13鄰和真街27號,67,6703700,6703700-000,13鄰,和真街,,,,,,27號,120.189901296765,22.9999076040821
臺南市中西區西和里10鄰和真街28號,67,6703700,6703700-000,10鄰,和真街,,,,,,28號,120.190050225702,23.0001395364462
臺南市中西區西和里13鄰和真街29號,67,6703700,6703700-000,13鄰,和真街,,,,,,29號,120.189883011082,22.9999478751272
臺南市中西區西和里13鄰和真街31號,67,6703700,6703700-000,13鄰,和真街,,,,,,31號,120.189836775758,22.9999642540289
臺南市中西區西和里13鄰和真街33號,67,6703700,6703700-000,13鄰,和真街,,,,,,33號,120.189816010611,22.9999950307718
臺南市中西區西和里13鄰和真街35號,67,6703700,6703700-000,13鄰,和真街,,,,,,35號,120.189792680862,23.0000305803486
臺南市中西區西和里13鄰和真街37號,67,6703700,6703700-000,13鄰,和真街,,,,,,37號,120.189764196059,23.0000636654219
臺南市中西區西和里13鄰和真街41號,67,6703700,6703700-000,13鄰,和真街,,,,,,41號,120.189377964091,23.0001229132537
臺南市中西區西和里10鄰和真街42號,67,6703700,6703700-000,10鄰,和真街,,,,,,42號,120.189850743697,23.0003042186394
臺南市中西區西和里10鄰和真街44號,67,6703700,6703700-000,10鄰,和真街,,,,,,44號,120.189809523721,23.0003301047936
臺南市中西區西和里13鄰和真街45號,67,6703700,6703700-000,13鄰,和真街,,,,,,45號,120.189617309768,23.000241258515
臺南市中西區西和里10鄰和真街46號,67,6703700,6703700-000,10鄰,和真街,,,,,,46號,120.189747623128,23.0003725908352
臺南市中西區西和里10鄰和真街46號一樓之1,67,6703700,6703700-000,10鄰,和真街,,,,,,46號一樓之1,120.189801378283,23.0004037487831
臺南市中西區西和里10鄰和真街46號一樓之2,67,6703700,6703700-000,10鄰,和真街,,,,,,46號一樓之2,120.189883138156,23.0004659329163
臺南市中西區西和里10鄰和真街46號一樓之3,67,6703700,6703700-000,10鄰,和真街,,,,,,46號一樓之3,120.189985393878,23.0005424893974
臺南市中西區西和里10鄰和真街46號一樓之4,67,6703700,6703700-000,10鄰,和真街,,,,,,46號一樓之4,120.190062081843,23.0006046475018
臺南市中西區西和里10鄰和真街46號二樓之1,67,6703700,6703700-000,10鄰,和真街,,,,,,46號二樓之1,120.189801378283,23.0004037487831
臺南市中西區西和里10鄰和真街46號二樓之2,67,6703700,6703700-000,10鄰,和真街,,,,,,46號二樓之2,120.189883138156,23.0004659329163
臺南市中西區西和里10鄰和真街46號二樓之3,67,6703700,6703700-000,10鄰,和真街,,,,,,46號二樓之3,120.189985393878,23.0005424893974
臺南市中西區西和里10鄰和真街46號二樓之4,67,6703700,6703700-000,10鄰,和真街,,,,,,46號二樓之4,120.190062081843,23.0006046475018
臺南市中西區西和里10鄰和真街46號三樓之4,67,6703700,6703700-000,10鄰,和真街,,,,,,46號三樓之4,120.190062081843,23.0006046475018
臺南市中西區西和里10鄰和真街46號三樓之3,67,6703700,6703700-000,10鄰,和真街,,,,,,46號三樓之3,120.189985393878,23.0005424893974
臺南市中西區西和里10鄰和真街46號三樓之2,67,6703700,6703700-000,10鄰,和真街,,,,,,46號三樓之2,120.189883138156,23.0004659329163
臺南市中西區西和里10鄰和真街46號三樓之1,67,6703700,6703700-000,10鄰,和真街,,,,,,46號三樓之1,120.189801378283,23.0004037487831
臺南市中西區西和里10鄰和真街46號四樓之2,67,6703700,6703700-000,10鄰,和真街,,,,,,46號四樓之2,120.189883138156,23.0004659329163
臺南市中西區西和里10鄰和真街46號四樓之3,67,6703700,6703700-000,10鄰,和真街,,,,,,46號四樓之3,120.189985393878,23.0005424893974
