FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市安南區大安里19鄰大慶路321號,67,6703500,6703500-051,19鄰,大慶路,,,,,,321號,120.197663358618,23.0344028093764
臺南市安南區大安里19鄰大慶路325號,67,6703500,6703500-051,19鄰,大慶路,,,,,,325號,120.197413611485,23.0345962310663
臺南市安南區大安里19鄰大慶路327號,67,6703500,6703500-051,19鄰,大慶路,,,,,,327號,120.197380440529,23.0346288419655
臺南市安南區大安里19鄰大慶路329號,67,6703500,6703500-051,19鄰,大慶路,,,,,,329號,120.197334655155,23.0346497400552
臺南市安南區大安里19鄰大慶路331號,67,6703500,6703500-051,19鄰,大慶路,,,,,,331號,120.197293929219,23.034673011623
臺南市安南區大安里19鄰大慶路333號,67,6703500,6703500-051,19鄰,大慶路,,,,,,333號,120.19725571267,23.0347009012529
臺南市安南區大安里19鄰大慶路335號,67,6703500,6703500-051,19鄰,大慶路,,,,,,335號,120.197209899437,23.0347264948045
臺南市安南區大安里19鄰大慶路337號,67,6703500,6703500-051,19鄰,大慶路,,,,,,337號,120.197166692413,23.034740362467
臺南市安南區大安里19鄰大慶路339號,67,6703500,6703500-051,19鄰,大慶路,,,,,,339號,120.197104074487,23.0347698439406
臺南市安南區大安里19鄰大慶路351號,67,6703500,6703500-051,19鄰,大慶路,,,,,,351號,120.197021601327,23.0348240573246
臺南市安南區大安里19鄰大慶路353號,67,6703500,6703500-051,19鄰,大慶路,,,,,,353號,120.196980791813,23.0348614153056
臺南市安南區大安里19鄰大慶路355號,67,6703500,6703500-051,19鄰,大慶路,,,,,,355號,120.196935034663,23.0348775274779
臺南市安南區大安里19鄰大慶路357號,67,6703500,6703500-051,19鄰,大慶路,,,,,,357號,120.196901835161,23.0349149240675
臺南市安南區大安里19鄰大慶路359號,67,6703500,6703500-051,19鄰,大慶路,,,,,,359號,120.196861122989,23.0349358477693
臺南市安南區大安里19鄰大慶路361號,67,6703500,6703500-051,19鄰,大慶路,,,,,,361號,120.19682156392,23.03495975724
臺南市安南區大安里19鄰大慶路363號,67,6703500,6703500-051,19鄰,大慶路,,,,,,363號,120.196774597939,23.0349822745821
臺南市安南區大安里12鄰大慶路379號,67,6703500,6703500-051,12鄰,大慶路,,,,,,379號,120.195966923893,23.0356578655145
臺南市安南區大安里12鄰大慶路381號,67,6703500,6703500-051,12鄰,大慶路,,,,,,381號,120.195948405643,23.03578608876
臺南市安南區大安里12鄰大慶路383號,67,6703500,6703500-051,12鄰,大慶路,,,,,,383號,120.195868927,23.0358451929715
臺南市安南區大安里12鄰大慶路385號,67,6703500,6703500-051,12鄰,大慶路,,,,,,385號,120.195814417475,23.0358728188125
臺南市安南區大安里12鄰大慶路387號,67,6703500,6703500-051,12鄰,大慶路,,,,,,387號,120.195761359084,23.0359025289286
臺南市安南區大安里12鄰大慶路389號,67,6703500,6703500-051,12鄰,大慶路,,,,,,389號,120.195736207098,23.0359483641368
臺南市安南區大安里12鄰大慶路391號,67,6703500,6703500-051,12鄰,大慶路,,,,,,391號,120.19572979788,23.0360090136518
臺南市安南區大安里12鄰大慶路393號,67,6703500,6703500-051,12鄰,大慶路,,,,,,393號,120.195688081675,23.036034627571
臺南市安南區大安里12鄰大慶路395號,67,6703500,6703500-051,12鄰,大慶路,,,,,,395號,120.195635820334,23.0360615423718
臺南市安南區大安里12鄰大慶路397號,67,6703500,6703500-051,12鄰,大慶路,,,,,,397號,120.195597880207,23.0360920517063
臺南市安南區大安里12鄰大慶路399號,67,6703500,6703500-051,12鄰,大慶路,,,,,,399號,120.195547960401,23.0361189783834
