FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市東區崇學里16鄰崇明路221號,67,6703200,6703200-004,16鄰,崇明路,,,,,,221號,120.220347655453,22.9775341143979
臺南市東區崇學里16鄰崇明路221號地下壹層,67,6703200,6703200-004,16鄰,崇明路,,,,,,221號地下壹層,120.220347655453,22.9775341143979
臺南市東區崇學里16鄰崇明路221號地下貳層,67,6703200,6703200-004,16鄰,崇明路,,,,,,221號地下貳層,120.220347655453,22.9775341143979
臺南市東區崇學里16鄰崇明路221號十樓之2,67,6703200,6703200-004,16鄰,崇明路,,,,,,221號十樓之2,120.220347655453,22.9775341143979
臺南市東區崇學里16鄰崇明路221號十樓之1,67,6703200,6703200-004,16鄰,崇明路,,,,,,221號十樓之1,120.220347655453,22.9775341143979
臺南市東區崇學里16鄰崇明路221號十樓,67,6703200,6703200-004,16鄰,崇明路,,,,,,221號十樓,120.220347655453,22.9775341143979
臺南市東區崇學里16鄰崇明路221號三樓之2,67,6703200,6703200-004,16鄰,崇明路,,,,,,221號三樓之2,120.220347655453,22.9775341143979
臺南市東區崇學里16鄰崇明路221號三樓,67,6703200,6703200-004,16鄰,崇明路,,,,,,221號三樓,120.220347655453,22.9775341143979
臺南市東區崇學里16鄰崇明路221號三樓之1,67,6703200,6703200-004,16鄰,崇明路,,,,,,221號三樓之1,120.220347655453,22.9775341143979
臺南市東區崇學里16鄰崇明路221號四樓,67,6703200,6703200-004,16鄰,崇明路,,,,,,221號四樓,120.220347655453,22.9775341143979
臺南市東區崇學里16鄰崇明路221號四樓之2,67,6703200,6703200-004,16鄰,崇明路,,,,,,221號四樓之2,120.220347655453,22.9775341143979
臺南市東區崇學里16鄰崇明路221號四樓之1,67,6703200,6703200-004,16鄰,崇明路,,,,,,221號四樓之1,120.220347655453,22.9775341143979
臺南市東區崇學里16鄰崇明路221號五樓之2,67,6703200,6703200-004,16鄰,崇明路,,,,,,221號五樓之2,120.220347655453,22.9775341143979
臺南市東區崇學里16鄰崇明路221號五樓,67,6703200,6703200-004,16鄰,崇明路,,,,,,221號五樓,120.220347655453,22.9775341143979
臺南市東區崇學里16鄰崇明路221號五樓之1,67,6703200,6703200-004,16鄰,崇明路,,,,,,221號五樓之1,120.220347655453,22.9775341143979
臺南市東區崇學里16鄰崇明路221號六樓之1,67,6703200,6703200-004,16鄰,崇明路,,,,,,221號六樓之1,120.220347655453,22.9775341143979
臺南市東區崇學里16鄰崇明路221號六樓之2,67,6703200,6703200-004,16鄰,崇明路,,,,,,221號六樓之2,120.220347655453,22.9775341143979
臺南市東區崇學里16鄰崇明路221號六樓,67,6703200,6703200-004,16鄰,崇明路,,,,,,221號六樓,120.220347655453,22.9775341143979
臺南市東區崇學里16鄰崇明路221號七樓之2,67,6703200,6703200-004,16鄰,崇明路,,,,,,221號七樓之2,120.220347655453,22.9775341143979
臺南市東區崇學里16鄰崇明路221號七樓之1,67,6703200,6703200-004,16鄰,崇明路,,,,,,221號七樓之1,120.220347655453,22.9775341143979
臺南市東區崇學里16鄰崇明路221號七樓,67,6703200,6703200-004,16鄰,崇明路,,,,,,221號七樓,120.220347655453,22.9775341143979
臺南市東區崇學里16鄰崇明路221號八樓,67,6703200,6703200-004,16鄰,崇明路,,,,,,221號八樓,120.220347655453,22.9775341143979
臺南市東區崇學里16鄰崇明路221號八樓之2,67,6703200,6703200-004,16鄰,崇明路,,,,,,221號八樓之2,120.220347655453,22.9775341143979
臺南市東區崇學里16鄰崇明路221號八樓之1,67,6703200,6703200-004,16鄰,崇明路,,,,,,221號八樓之1,120.220347655453,22.9775341143979
