FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市安平區文平里4鄰建平六街1號,67,6703600,6703600-009,4鄰,建平六街,,,,,,1號,120.185789215003,22.9869251553151
臺南市安平區文平里4鄰建平六街2號,67,6703600,6703600-009,4鄰,建平六街,,,,,,2號,120.185810294999,22.9871833442779
臺南市安平區文平里4鄰建平六街3號,67,6703600,6703600-009,4鄰,建平六街,,,,,,3號,120.185746566246,22.986929631821
臺南市安平區文平里4鄰建平六街4號,67,6703600,6703600-009,4鄰,建平六街,,,,,,4號,120.185766786794,22.9871847461326
臺南市安平區文平里4鄰建平六街5號,67,6703600,6703600-009,4鄰,建平六街,,,,,,5號,120.185707252453,22.9869309649139
臺南市安平區文平里4鄰建平六街6號,67,6703600,6703600-009,4鄰,建平六街,,,,,,6號,120.185724946346,22.9871845311253
臺南市安平區文平里4鄰建平六街7號,67,6703600,6703600-009,4鄰,建平六街,,,,,,7號,120.185667028409,22.9869377113871
臺南市安平區文平里4鄰建平六街8號,67,6703600,6703600-009,4鄰,建平六街,,,,,,8號,120.185691451809,22.9871913121847
臺南市安平區文平里4鄰建平六街9號,67,6703600,6703600-009,4鄰,建平六街,,,,,,9號,120.18562348834,22.9869444408075
臺南市安平區文平里4鄰建平六街10號,67,6703600,6703600-009,4鄰,建平六街,,,,,,10號,120.185647925736,22.9871956938522
臺南市安平區文平里4鄰建平六街11號,67,6703600,6703600-009,4鄰,建平六街,,,,,,11號,120.185583394303,22.9869457698594
臺南市安平區文平里4鄰建平六街12號,67,6703600,6703600-009,4鄰,建平六街,,,,,,12號,120.185607705941,22.987201717921
臺南市安平區文平里4鄰建平六街13號,67,6703600,6703600-009,4鄰,建平六街,,,,,,13號,120.185539844483,22.9869541246269
臺南市安平區文平里4鄰建平六街14號,67,6703600,6703600-009,4鄰,建平六街,,,,,,14號,120.185568359584,22.9872084688779
臺南市安平區文平里4鄰建平六街15號,67,6703600,6703600-009,4鄰,建平六街,,,,,,15號,120.185498830979,22.9869624021184
臺南市安平區文平里4鄰建平六街16號,67,6703600,6703600-009,4鄰,建平六街,,,,,,16號,120.185528251391,22.9872121456706
臺南市安平區文平里4鄰建平六街17號,67,6703600,6703600-009,4鄰,建平六街,,,,,,17號,120.185458606916,22.9869691485381
臺南市安平區文平里4鄰建平六街18號,67,6703600,6703600-009,4鄰,建平六街,,,,,,18號,120.185489708552,22.9872150177894
臺南市安平區文平里4鄰建平六街19號,67,6703600,6703600-009,4鄰,建平六街,,,,,,19號,120.185415939725,22.9869766950981
臺南市安平區文平里4鄰建平六街20號,67,6703600,6703600-009,4鄰,建平六街,,,,,,20號,120.185446173261,22.9872209344729
臺南市安平區文平里4鄰建平六街21號,67,6703600,6703600-009,4鄰,建平六街,,,,,,21號,120.185375738942,22.9869795586677
臺南市安平區文平里4鄰建平六街22號,67,6703600,6703600-009,4鄰,建平六街,,,,,,22號,120.185409478619,22.9872246287832
臺南市安平區文平里4鄰建平六街23號,67,6703600,6703600-009,4鄰,建平六街,,,,,,23號,120.18533645763,22.9869754737673
臺南市安平區文平里4鄰建平六街24號,67,6703600,6703600-009,4鄰,建平六街,,,,,,24號,120.185366732229,22.9872291046822
臺南市安平區文平里4鄰建平六街25號,67,6703600,6703600-009,4鄰,建平六街,,,,,,25號,120.185293799639,22.9869814852223
臺南市安平區文平里4鄰建平六街26號,67,6703600,6703600-009,4鄰,建平六街,,,,,,26號,120.18532907203,22.9872311685894
臺南市安平區文平里4鄰建平六街27號,67,6703600,6703600-009,4鄰,建平六街,,,,,,27號,120.185257003196,22.9869859013844
臺南市安平區文平里4鄰建平六街28號,67,6703600,6703600-009,4鄰,建平六街,,,,,,28號,120.185289720777,22.9872387321615
臺南市安平區文平里4鄰建平六街29號,67,6703600,6703600-009,4鄰,建平六街,,,,,,29號,120.185215121106,22.9869926392166
臺南市安平區文平里4鄰建平六街30號,67,6703600,6703600-009,4鄰,建平六街,,,,,,30號,120.185245423646,22.9872415746341
臺南市安平區文平里4鄰建平六街31號,67,6703600,6703600-009,4鄰,建平六街,,,,,,31號,120.185179977793,22.9869978765713
臺南市安平區文平里4鄰建平六街32號,67,6703600,6703600-009,4鄰,建平六街,,,,,,32號,120.185206894338,22.9872421892252
臺南市安平區文平里4鄰建平六街33號,67,6703600,6703600-009,4鄰,建平六街,,,,,,33號,120.185137227135,22.9870030747971
臺南市安平區文平里4鄰建平六街34號,67,6703600,6703600-009,4鄰,建平六街,,,,,,34號,120.185164250342,22.9872458528858
臺南市安平區文平里4鄰建平六街35號,67,6703600,6703600-009,4鄰,建平六街,,,,,,35號,120.185097880816,22.9870098256383
臺南市安平區文平里4鄰建平六街36號,67,6703600,6703600-009,4鄰,建平六街,,,,,,36號,120.18512580502,22.9872487254171
臺南市安平區文平里4鄰建平六街37號,67,6703600,6703600-009,4鄰,建平六街,,,,,,37號,120.185056114662,22.9870134937861
臺南市安平區文平里4鄰建平六街38號,67,6703600,6703600-009,4鄰,建平六街,,,,,,38號,120.185085566771,22.9872578194957
臺南市安平區文平里4鄰建平六街39號,67,6703600,6703600-009,4鄰,建平六街,,,,,,39號,120.185017543701,22.987021061305
臺南市安平區文平里4鄰建平六街40號,67,6703600,6703600-009,4鄰,建平六街,,,,,,40號,120.185046991407,22.9872661094063
臺南市安平區文平里4鄰建平六街41號二樓,67,6703600,6703600-009,4鄰,建平六街,,,,,,41號二樓,120.184959558836,22.987029431968
臺南市安平區文平里4鄰建平六街41號三樓,67,6703600,6703600-009,4鄰,建平六街,,,,,,41號三樓,120.184959558836,22.987029431968
臺南市安平區文平里4鄰建平六街41號四樓,67,6703600,6703600-009,4鄰,建平六街,,,,,,41號四樓,120.184959558836,22.987029431968
臺南市安平區文平里4鄰建平六街41號五樓,67,6703600,6703600-009,4鄰,建平六街,,,,,,41號五樓,120.184959558836,22.987029431968
臺南市安平區文平里4鄰建平六街42號,67,6703600,6703600-009,4鄰,建平六街,,,,,,42號,120.185008541201,22.9872697945939
臺南市安平區文平里4鄰建平六街46號,67,6703600,6703600-009,4鄰,建平六街,,,,,,46號,120.18480284994,22.9872849907068
臺南市安平區文平里4鄰建平六街48號,67,6703600,6703600-009,4鄰,建平六街,,,,,,48號,120.184706551288,22.9872905454234
臺南市安平區文平里27鄰建平六街51號,67,6703600,6703600-009,27鄰,建平六街,,,,,,51號,120.184763425883,22.9870446772032
臺南市安平區文平里27鄰建平六街53號,67,6703600,6703600-009,27鄰,建平六街,,,,,,53號,120.184688548241,22.9870563019947
臺南市安平區文平里27鄰建平六街55號二樓,67,6703600,6703600-009,27鄰,建平六街,,,,,,55號二樓,120.18448266741,22.9871356105149
臺南市安平區文平里27鄰建平六街55號三樓,67,6703600,6703600-009,27鄰,建平六街,,,,,,55號三樓,120.18448266741,22.9871356105149
臺南市安平區文平里27鄰建平六街55號四樓,67,6703600,6703600-009,27鄰,建平六街,,,,,,55號四樓,120.18448266741,22.9871356105149
臺南市安平區文平里27鄰建平六街55號五樓,67,6703600,6703600-009,27鄰,建平六街,,,,,,55號五樓,120.18448266741,22.9871356105149
臺南市安平區文平里6鄰建平六街68號,67,6703600,6703600-009,6鄰,建平六街,,,,,,68號,120.183991566209,22.9873178382613
臺南市安平區文平里6鄰建平六街70號,67,6703600,6703600-009,6鄰,建平六街,,,,,,70號,120.183942003489,22.9873204726488
臺南市安平區文平里6鄰建平六街72號,67,6703600,6703600-009,6鄰,建平六街,,,,,,72號,120.183873829855,22.9873201215296
臺南市安平區文平里6鄰建平六街74巷1號,67,6703600,6703600-009,6鄰,建平六街,,74巷,,,,1號,120.183709223892,22.9874773908519
臺南市安平區文平里6鄰建平六街74巷2號,67,6703600,6703600-009,6鄰,建平六街,,74巷,,,,2號,120.183909856706,22.9874925112865
臺南市安平區文平里6鄰建平六街74巷3號,67,6703600,6703600-009,6鄰,建平六街,,74巷,,,,3號,120.183713681764,22.9875146178696
臺南市安平區文平里6鄰建平六街74巷5號,67,6703600,6703600-009,6鄰,建平六街,,74巷,,,,5號,120.183721922702,22.9875552958176
臺南市安平區文平里6鄰建平六街74巷6號,67,6703600,6703600-009,6鄰,建平六街,,74巷,,,,6號,120.183915788312,22.9875441940661
臺南市安平區文平里6鄰建平六街74巷7號,67,6703600,6703600-009,6鄰,建平六街,,74巷,,,,7號,120.183725400392,22.9875933304952
臺南市安平區文平里6鄰建平六街74巷8號,67,6703600,6703600-009,6鄰,建平六街,,74巷,,,,8號,120.183923252325,22.9875843261969
臺南市安平區文平里6鄰建平六街74巷9號,67,6703600,6703600-009,6鄰,建平六街,,74巷,,,,9號,120.18373171135,22.9876305670583
臺南市安平區文平里6鄰建平六街74巷10號,67,6703600,6703600-009,6鄰,建平六街,,74巷,,,,10號,120.183933811274,22.9876288087198
臺南市安平區文平里6鄰建平六街74巷11號,67,6703600,6703600-009,6鄰,建平六街,,74巷,,,,11號,120.183736127446,22.9876747470442
臺南市安平區文平里6鄰建平六街74巷12號,67,6703600,6703600-009,6鄰,建平六街,,74巷,,,,12號,120.183945930174,22.9876733895771
