FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市新營區新東里19鄰東學路2之1號,67,6700100,6700100-029,19鄰,東學路,,,,,,2之1號,120.323224151773,23.3152508968448
臺南市新營區新東里19鄰東學路16號,67,6700100,6700100-029,19鄰,東學路,,,,,,16號,120.323399260553,23.3152128241062
臺南市新營區新東里19鄰東學路18號二樓,67,6700100,6700100-029,19鄰,東學路,,,,,,18號二樓,120.323459408559,23.3150354648095
臺南市新營區新東里19鄰東學路18號三樓,67,6700100,6700100-029,19鄰,東學路,,,,,,18號三樓,120.323459408559,23.3150354648095
臺南市新營區新東里19鄰東學路18號四樓,67,6700100,6700100-029,19鄰,東學路,,,,,,18號四樓,120.323459408559,23.3150354648095
臺南市新營區新東里19鄰東學路18號五樓,67,6700100,6700100-029,19鄰,東學路,,,,,,18號五樓,120.323459408559,23.3150354648095
臺南市新營區新東里19鄰東學路22號,67,6700100,6700100-029,19鄰,東學路,,,,,,22號,120.323535628174,23.3152565758317
臺南市新營區新東里19鄰東學路26號,67,6700100,6700100-029,19鄰,東學路,,,,,,26號,120.323601587497,23.3152639941459
臺南市新營區新東里19鄰東學路28號,67,6700100,6700100-029,19鄰,東學路,,,,,,28號,120.323655905684,23.3152726263912
臺南市新營區新東里19鄰東學路32號,67,6700100,6700100-029,19鄰,東學路,,,,,,32號,120.323763300718,23.3152646919353
臺南市新營區新東里20鄰東學路35號,67,6700100,6700100-029,20鄰,東學路,,,,,,35號,120.323823512908,23.3154418482469
臺南市新營區新東里20鄰東學路37號,67,6700100,6700100-029,20鄰,東學路,,,,,,37號,120.323942189247,23.3154458818612
臺南市新營區新東里20鄰東學路39號,67,6700100,6700100-029,20鄰,東學路,,,,,,39號,120.323992031064,23.3154503409107
臺南市新營區新東里20鄰東學路41號,67,6700100,6700100-029,20鄰,東學路,,,,,,41號,120.3240319226,23.3154503323603
臺南市新營區新東里20鄰東學路43號,67,6700100,6700100-029,20鄰,東學路,,,,,,43號,120.324104960834,23.315450015245
臺南市新營區新東里20鄰東學路45號,67,6700100,6700100-029,20鄰,東學路,,,,,,45號,120.324164369624,23.3154574050765
臺南市新營區新東里20鄰東學路47巷1弄1號,67,6700100,6700100-029,20鄰,東學路,,47巷,1弄,,,1號,120.324138914008,23.3155802831078
臺南市新營區新東里20鄰東學路47巷1弄3號,67,6700100,6700100-029,20鄰,東學路,,47巷,1弄,,,3號,120.324071663522,23.315615480769
臺南市新營區新東里20鄰東學路47巷1弄5號,67,6700100,6700100-029,20鄰,東學路,,47巷,1弄,,,5號,120.324016416371,23.315616506695
