FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市關廟區東勢里10鄰東榮街9號,67,6702900,6702900-008,10鄰,東榮街,,,,,,9號,120.336508677421,22.9545434573621
臺南市關廟區東勢里10鄰東榮街11號,67,6702900,6702900-008,10鄰,東榮街,,,,,,11號,120.336588588493,22.9544534879307
臺南市關廟區東勢里17鄰東榮街12號,67,6702900,6702900-008,17鄰,東榮街,,,,,,12號,120.336410211653,22.9544391059964
臺南市關廟區東勢里10鄰東榮街13號,67,6702900,6702900-008,10鄰,東榮街,,,,,,13號,120.336633487138,22.9544446453288
臺南市關廟區東勢里10鄰東榮街15巷6號,67,6702900,6702900-008,10鄰,東榮街,,15巷,,,,6號,120.336785558757,22.9544543115512
臺南市關廟區東勢里17鄰東榮街16號,67,6702900,6702900-008,17鄰,東榮街,,,,,,16號,120.336458513555,22.9543922598459
臺南市關廟區東勢里10鄰東榮街19號,67,6702900,6702900-008,10鄰,東榮街,,,,,,19號,120.33670502167,22.9543727015358
臺南市關廟區東勢里17鄰東榮街26號,67,6702900,6702900-008,17鄰,東榮街,,,,,,26號,120.336580906361,22.9542691460591
臺南市關廟區東勢里10鄰東榮街29巷11號,67,6702900,6702900-008,10鄰,東榮街,,29巷,,,,11號,120.336909188036,22.9544375803781
臺南市關廟區東勢里10鄰東榮街29巷12號,67,6702900,6702900-008,10鄰,東榮街,,29巷,,,,12號,120.337033765805,22.9544463187019
臺南市關廟區東勢里10鄰東榮街29巷16號,67,6702900,6702900-008,10鄰,東榮街,,29巷,,,,16號,120.337141517966,22.9545461030078
臺南市關廟區東勢里10鄰東榮街43號,67,6702900,6702900-008,10鄰,東榮街,,,,,,43號,120.337103207279,22.9541034550116
臺南市關廟區東勢里10鄰東榮街47號,67,6702900,6702900-008,10鄰,東榮街,,,,,,47號,120.337178465795,22.9540676480188
臺南市關廟區東勢里10鄰東榮街55巷6號,67,6702900,6702900-008,10鄰,東榮街,,55巷,,,,6號,120.33756505195,22.9541776272131
臺南市關廟區東勢里10鄰東榮街55巷9號,67,6702900,6702900-008,10鄰,東榮街,,55巷,,,,9號,120.33731747232,22.9543572004749
臺南市關廟區東勢里13鄰東榮街55巷10號,67,6702900,6702900-008,13鄰,東榮街,,55巷,,,,10號,120.337550297439,22.9543039907251
臺南市關廟區東勢里10鄰東榮街55巷11號,67,6702900,6702900-008,10鄰,東榮街,,55巷,,,,11號,120.337343891705,22.9544385841296
臺南市關廟區東勢里13鄰東榮街55巷12號,67,6702900,6702900-008,13鄰,東榮街,,55巷,,,,12號,120.337610358345,22.9543854245179
臺南市關廟區東勢里10鄰東榮街55巷13號,67,6702900,6702900-008,10鄰,東榮街,,55巷,,,,13號,120.337339507472,22.9545378998364
臺南市關廟區東勢里13鄰東榮街55巷18弄6號,67,6702900,6702900-008,13鄰,東榮街,,55巷,18弄,,,6號,120.337836844822,22.9543322781822
臺南市關廟區東勢里10鄰東榮街55巷20弄5號,67,6702900,6702900-008,10鄰,東榮街,,55巷,20弄,,,5號,120.337778662686,22.954666158855
臺南市關廟區東勢里10鄰東榮街55巷20號,67,6702900,6702900-008,10鄰,東榮街,,55巷,,,,20號,120.33760947857,22.9545661184664
臺南市關廟區東勢里10鄰東榮街55巷22號,67,6702900,6702900-008,10鄰,東榮街,,55巷,,,,22號,120.337574734453,22.9546923985034
臺南市關廟區東勢里10鄰東榮街57號,67,6702900,6702900-008,10鄰,東榮街,,,,,,57號,120.337482160916,22.9539786129926
臺南市關廟區東勢里10鄰東榮街59號,67,6702900,6702900-008,10鄰,東榮街,,,,,,59號,120.337568013428,22.9539699411545
臺南市關廟區東勢里13鄰東榮街67之1號,67,6702900,6702900-008,13鄰,東榮街,,,,,,67之1號,120.337693424152,22.9541680492167
臺南市關廟區東勢里13鄰東榮街67號,67,6702900,6702900-008,13鄰,東榮街,,,,,,67號,120.337642739623,22.9539833472118
臺南市關廟區東勢里13鄰東榮街69巷3號,67,6702900,6702900-008,13鄰,東榮街,,69巷,,,,3號,120.337721559266,22.9542776147201
臺南市關廟區東勢里18鄰東榮街72巷6弄2號,67,6702900,6702900-008,18鄰,東榮街,,72巷,6弄,,,2號,120.337191145327,22.9536467053303
臺南市關廟區東勢里18鄰東榮街72巷6弄6號,67,6702900,6702900-008,18鄰,東榮街,,72巷,6弄,,,6號,120.337160048888,22.9536647264378
臺南市關廟區東勢里18鄰東榮街72巷6弄8號,67,6702900,6702900-008,18鄰,東榮街,,72巷,6弄,,,8號,120.337126904742,22.9536827389824
臺南市關廟區東勢里18鄰東榮街72巷6弄10號,67,6702900,6702900-008,18鄰,東榮街,,72巷,6弄,,,10號,120.33708544412,22.9537064962014
臺南市關廟區東勢里18鄰東榮街72巷6弄12號,67,6702900,6702900-008,18鄰,東榮街,,72巷,6弄,,,12號,120.337050252254,22.9537245001725
臺南市關廟區東勢里18鄰東榮街72巷6弄16號,67,6702900,6702900-008,18鄰,東榮街,,72巷,6弄,,,16號,120.33701916502,22.9537406249131
臺南市關廟區東勢里18鄰東榮街72巷6弄18號,67,6702900,6702900-008,18鄰,東榮街,,72巷,6弄,,,18號,120.336977737367,22.9537576094663
臺南市關廟區東勢里18鄰東榮街72巷6弄20號,67,6702900,6702900-008,18鄰,東榮街,,72巷,6弄,,,20號,120.336948767162,22.953779522475
臺南市關廟區東勢里18鄰東榮街72巷6弄22號,67,6702900,6702900-008,18鄰,東榮街,,72巷,6弄,,,22號,120.336915632203,22.9537956386358
臺南市關廟區東勢里18鄰東榮街72巷10號,67,6702900,6702900-008,18鄰,東榮街,,72巷,,,,10號,120.33719512874,22.9535295981215
臺南市關廟區東勢里13鄰東榮街85號,67,6702900,6702900-008,13鄰,東榮街,,,,,,85號,120.337978493738,22.9541793531541
臺南市關廟區東勢里13鄰東榮街87號,67,6702900,6702900-008,13鄰,東榮街,,,,,,87號,120.338008589976,22.9542065698511
臺南市關廟區東勢里13鄰東榮街89號,67,6702900,6702900-008,13鄰,東榮街,,,,,,89號,120.338034741892,22.95424280045
臺南市關廟區東勢里13鄰東榮街91號,67,6702900,6702900-008,13鄰,東榮街,,,,,,91號,120.33805703736,22.9542699845858
臺南市關廟區東勢里14鄰東榮街92巷5號,67,6702900,6702900-008,14鄰,東榮街,,92巷,,,,5號,120.337889515242,22.9536281294161
臺南市關廟區東勢里14鄰東榮街92巷7號,67,6702900,6702900-008,14鄰,東榮街,,92巷,,,,7號,120.33793051316,22.9536192701585
臺南市關廟區東勢里14鄰東榮街92巷9號,67,6702900,6702900-008,14鄰,東榮街,,92巷,,,,9號,120.337968629731,22.9536013684983
臺南市關廟區東勢里14鄰東榮街92巷11號,67,6702900,6702900-008,14鄰,東榮街,,92巷,,,,11號,120.338021816317,22.9535925600827
臺南市關廟區東勢里14鄰東榮街92巷12號,67,6702900,6702900-008,14鄰,東榮街,,92巷,,,,12號,120.337861091538,22.953517749996
臺南市關廟區東勢里14鄰東榮街92巷13弄1號,67,6702900,6702900-008,14鄰,東榮街,,92巷,13弄,,,1號,120.338079531173,22.9537553475246
臺南市關廟區東勢里14鄰東榮街92巷13弄3號,67,6702900,6702900-008,14鄰,東榮街,,92巷,13弄,,,3號,120.338128013748,22.9536110639345
臺南市關廟區東勢里14鄰東榮街92巷15號,67,6702900,6702900-008,14鄰,東榮街,,92巷,,,,15號,120.33813399659,22.9535237652415
臺南市關廟區東勢里14鄰東榮街92巷25號,67,6702900,6702900-008,14鄰,東榮街,,92巷,,,,25號,120.338269393628,22.9534129856501
臺南市關廟區東勢里14鄰東榮街92巷35號,67,6702900,6702900-008,14鄰,東榮街,,92巷,,,,35號,120.338357757845,22.9530882609642
臺南市關廟區東勢里14鄰東榮街92巷78號,67,6702900,6702900-008,14鄰,東榮街,,92巷,,,,78號,120.337972361456,22.9531350558874
臺南市關廟區東勢里14鄰東榮街92巷95號,67,6702900,6702900-008,14鄰,東榮街,,92巷,,,,95號,120.33863171139,22.9520960626839
臺南市關廟區東勢里14鄰東榮街92巷176弄17號,67,6702900,6702900-008,14鄰,東榮街,,92巷,176弄,,,17號,120.337818318188,22.9507257426301
臺南市關廟區東勢里14鄰東榮街92巷176弄23號,67,6702900,6702900-008,14鄰,東榮街,,92巷,176弄,,,23號,120.337496263773,22.9507819215728
臺南市關廟區東勢里14鄰東榮街92巷176弄25號,67,6702900,6702900-008,14鄰,東榮街,,92巷,176弄,,,25號,120.337310024612,22.950781143761
臺南市關廟區東勢里14鄰東榮街92巷176弄27號,67,6702900,6702900-008,14鄰,東榮街,,92巷,176弄,,,27號,120.337050926041,22.950924547203
臺南市關廟區東勢里14鄰東榮街92巷176弄51號,67,6702900,6702900-008,14鄰,東榮街,,92巷,176弄,,,51號,120.336450316992,22.9510743786426
臺南市關廟區東勢里14鄰東榮街92巷215號,67,6702900,6702900-008,14鄰,東榮街,,92巷,,,,215號,120.339786465656,22.9495362466075
臺南市關廟區東勢里13鄰東榮街93號,67,6702900,6702900-008,13鄰,東榮街,,,,,,93號,120.338079332838,22.9542971687187
臺南市關廟區東勢里13鄰東榮街97號,67,6702900,6702900-008,13鄰,東榮街,,,,,,97號,120.338119803757,22.9543966716182
臺南市關廟區東勢里13鄰東榮街98號,67,6702900,6702900-008,13鄰,東榮街,,,,,,98號,120.337815240405,22.9538626089363
臺南市關廟區東勢里13鄰東榮街99巷1號,67,6702900,6702900-008,13鄰,東榮街,,99巷,,,,1號,120.338143522292,22.954532226079
臺南市關廟區東勢里13鄰東榮街99巷3號,67,6702900,6702900-008,13鄰,東榮街,,99巷,,,,3號,120.338180232586,22.9546430915338
臺南市關廟區東勢里13鄰東榮街100號,67,6702900,6702900-008,13鄰,東榮街,,,,,,100號,120.337865413916,22.9538718487321
臺南市關廟區東勢里13鄰東榮街102號,67,6702900,6702900-008,13鄰,東榮街,,,,,,102號,120.337894534968,22.9538990613797
臺南市關廟區東勢里13鄰東榮街105巷1號,67,6702900,6702900-008,13鄰,東榮街,,105巷,,,,1號,120.33839462219,22.9544507359845
臺南市關廟區東勢里13鄰東榮街105巷6號,67,6702900,6702900-008,13鄰,東榮街,,105巷,,,,6號,120.338477364914,22.9542795040804
臺南市關廟區東勢里13鄰東榮街105巷8號,67,6702900,6702900-008,13鄰,東榮街,,105巷,,,,8號,120.338555074757,22.9545417087707
臺南市關廟區東勢里13鄰東榮街105巷10號,67,6702900,6702900-008,13鄰,東榮街,,105巷,,,,10號,120.338457744802,22.9546045154742
臺南市關廟區東勢里13鄰東榮街105巷12號,67,6702900,6702900-008,13鄰,東榮街,,105巷,,,,12號,120.338521794172,22.9546679951349
臺南市關廟區東勢里13鄰東榮街105巷16號,67,6702900,6702900-008,13鄰,東榮街,,105巷,,,,16號,120.338476895561,22.9546768382723
臺南市關廟區東勢里13鄰東榮街106號,67,6702900,6702900-008,13鄰,東榮街,,,,,,106號,120.337924675072,22.9539172479081
臺南市關廟區東勢里13鄰東榮街108號,67,6702900,6702900-008,13鄰,東榮街,,,,,,108號,120.337954771243,22.9539444646146
臺南市關廟區東勢里13鄰東榮街110號,67,6702900,6702900-008,13鄰,東榮街,,,,,,110號,120.337981010977,22.9539626348548
臺南市關廟區東勢里13鄰東榮街112號,67,6702900,6702900-008,13鄰,東榮街,,,,,,112號,120.338003306391,22.9539898189979
臺南市關廟區東勢里20鄰東榮街113號,67,6702900,6702900-008,20鄰,東榮街,,,,,,113號,120.338516632328,22.9542254856219
臺南市關廟區東勢里20鄰東榮街115號,67,6702900,6702900-008,20鄰,東榮街,,,,,,115號,120.338587638953,22.9542619031648
臺南市關廟區東勢里13鄰東榮街116號,67,6702900,6702900-008,13鄰,東榮街,,,,,,116號,120.338032427495,22.9540170316209
臺南市關廟區東勢里13鄰東榮街118號,67,6702900,6702900-008,13鄰,東榮街,,,,,,118號,120.3380664241,22.9540442645828
臺南市關廟區東勢里13鄰東榮街120號,67,6702900,6702900-008,13鄰,東榮街,,,,,,120號,120.338088675609,22.9540804788979
臺南市關廟區東勢里20鄰東榮街121號,67,6702900,6702900-008,20鄰,東榮街,,,,,,121號,120.338658777307,22.9542712301232
臺南市關廟區東勢里13鄰東榮街122號,67,6702900,6702900-008,13鄰,東榮街,,,,,,122號,120.338129366133,22.9541348308782
臺南市關廟區東勢里20鄰東榮街123號,67,6702900,6702900-008,20鄰,東榮街,,,,,,123號,120.338681775229,22.954153931221
臺南市關廟區東勢里14鄰東榮街126號,67,6702900,6702900-008,14鄰,東榮街,,,,,,126號,120.338245227139,22.9541714357121
臺南市關廟區東勢里20鄰東榮街127巷5弄1號,67,6702900,6702900-008,20鄰,東榮街,,127巷,5弄,,,1號,120.338656494648,22.9547407997024
臺南市關廟區東勢里20鄰東榮街127巷5弄2號,67,6702900,6702900-008,20鄰,東榮街,,127巷,5弄,,,2號,120.338856117768,22.9545971459428
