FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市永康區大橋里26鄰東橋一路219號,67,6703100,6703100-005,26鄰,東橋一路,,,,,,219號,120.232206575497,23.0202806900478
臺南市永康區大橋里26鄰東橋一路221號,67,6703100,6703100-005,26鄰,東橋一路,,,,,,221號,120.232129149802,23.0203089400113
臺南市永康區大橋里26鄰東橋一路251號,67,6703100,6703100-005,26鄰,東橋一路,,,,,,251號,120.231529100539,23.0209580946234
臺南市永康區大橋里26鄰東橋一路253號,67,6703100,6703100-005,26鄰,東橋一路,,,,,,253號,120.231459348204,23.0209233510878
臺南市永康區大橋里12鄰東橋一路261號,67,6703100,6703100-005,12鄰,東橋一路,,,,,,261號,120.231136814876,23.0215610285508
臺南市永康區大橋里12鄰東橋一路271號,67,6703100,6703100-005,12鄰,東橋一路,,,,,,271號,120.231028867087,23.0217243109273
臺南市永康區大橋里12鄰東橋一路273號,67,6703100,6703100-005,12鄰,東橋一路,,,,,,273號,120.230999865283,23.0217634511423
臺南市永康區大橋里12鄰東橋一路275號十樓之1,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號十樓之1,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號十樓之2,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號十樓之2,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號十樓之3,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號十樓之3,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號十樓,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號十樓,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號二樓之1,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號二樓之1,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號二樓之2,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號二樓之2,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號二樓之3,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號二樓之3,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號二樓,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號二樓,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號三樓之1,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號三樓之1,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號三樓之2,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號三樓之2,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號三樓之3,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號三樓之3,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號三樓,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號三樓,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號四樓之1,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號四樓之1,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號四樓之2,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號四樓之2,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號四樓之3,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號四樓之3,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號四樓,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號四樓,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號五樓之1,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號五樓之1,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號五樓之2,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號五樓之2,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號五樓之3,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號五樓之3,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號五樓,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號五樓,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號六樓之1,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號六樓之1,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號六樓之2,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號六樓之2,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號六樓之3,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號六樓之3,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號六樓,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號六樓,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號七樓之1,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號七樓之1,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號七樓之2,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號七樓之2,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號七樓之3,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號七樓之3,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號七樓,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號七樓,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號八樓之1,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號八樓之1,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號八樓之2,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號八樓之2,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號八樓之3,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號八樓之3,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號八樓,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號八樓,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號九樓之1,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號九樓之1,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號九樓之2,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號九樓之2,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號九樓之3,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號九樓之3,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號九樓,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號九樓,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號十一樓之1,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號十一樓之1,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號十一樓之2,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號十一樓之2,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號十一樓之3,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號十一樓之3,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號十一樓,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號十一樓,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號十二樓之1,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號十二樓之1,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號十二樓之2,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號十二樓之2,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號十二樓之3,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號十二樓之3,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號十二樓,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號十二樓,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號十三樓之1,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號十三樓之1,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號十三樓之2,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號十三樓之2,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號十三樓之3,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號十三樓之3,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號十三樓,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號十三樓,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號十四樓之1,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號十四樓之1,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號十四樓之2,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號十四樓之2,120.230831105086,23.0219153308106
臺南市永康區大橋里12鄰東橋一路275號十四樓之3,67,6703100,6703100-005,12鄰,東橋一路,,,,,,275號十四樓之3,120.230831105086,23.0219153308106
