FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市新化區協興里4鄰正新路208號之5,67,6701800,6701800-009,4鄰,正新路,,,,,,208號之5,120.30296540234,23.0362582408352
臺南市新化區協興里1鄰正新路208號之1,67,6701800,6701800-009,1鄰,正新路,,,,,,208號之1,120.302928485958,23.0359235984944
臺南市新化區協興里1鄰正新路208號,67,6701800,6701800-009,1鄰,正新路,,,,,,208號,120.302951915672,23.0358831560031
臺南市新化區協興里1鄰正新路208號之3,67,6701800,6701800-009,1鄰,正新路,,,,,,208號之3,120.302955784307,23.0361363806701
臺南市新化區協興里1鄰正新路208號之2,67,6701800,6701800-009,1鄰,正新路,,,,,,208號之2,120.302950957401,23.0360694454057
臺南市新化區協興里4鄰正新路233號,67,6701800,6701800-009,4鄰,正新路,,,,,,233號,120.30282706514,23.0361410509888
臺南市新化區協興里4鄰正新路237號,67,6701800,6701800-009,4鄰,正新路,,,,,,237號,120.302846207082,23.0362133771756
臺南市新化區協興里1鄰正新路238號之1,67,6701800,6701800-009,1鄰,正新路,,,,,,238號之1,120.303002469183,23.0364308815208
臺南市新化區協興里1鄰正新路238號,67,6701800,6701800-009,1鄰,正新路,,,,,,238號,120.303157822232,23.0367114127065
臺南市新化區協興里4鄰正新路239號,67,6701800,6701800-009,4鄰,正新路,,,,,,239號,120.30282441689,23.0362764927469
臺南市新化區協興里1鄰正新路240之5號,67,6701800,6701800-009,1鄰,正新路,,,,,,240之5號,120.303185035263,23.0368080657199
臺南市新化區協興里1鄰正新路240號,67,6701800,6701800-009,1鄰,正新路,,,,,,240號,120.303157636479,23.0367475328021
臺南市新化區協興里4鄰正新路241號,67,6701800,6701800-009,4鄰,正新路,,,,,,241號,120.302877800621,23.0363309093737
臺南市新化區協興里4鄰正新路243號,67,6701800,6701800-009,4鄰,正新路,,,,,,243號,120.302876639115,23.0363670251694
臺南市新化區協興里4鄰正新路245號,67,6701800,6701800-009,4鄰,正新路,,,,,,245號,120.302876360377,23.0364212053118
臺南市新化區協興里1鄰正新路246號,67,6701800,6701800-009,1鄰,正新路,,,,,,246號,120.303181424916,23.0368650305579
臺南市新化區協興里4鄰正新路247巷1號,67,6701800,6701800-009,4鄰,正新路,,247巷,,,,1號,120.302716255554,23.0364385601472
臺南市新化區協興里4鄰正新路247巷3號,67,6701800,6701800-009,4鄰,正新路,,247巷,,,,3號,120.302673325531,23.0364383709165
臺南市新化區協興里4鄰正新路247巷5號,67,6701800,6701800-009,4鄰,正新路,,247巷,,,,5號,120.302640105859,23.0364472547079
臺南市新化區協興里4鄰正新路247巷7號,67,6701800,6701800-009,4鄰,正新路,,247巷,,,,7號,120.302605956975,23.0364471041679
臺南市新化區協興里4鄰正新路247巷9號,67,6701800,6701800-009,4鄰,正新路,,247巷,,,,9號,120.302555221491,23.0364468804949
臺南市新化區協興里4鄰正新路247巷11號,67,6701800,6701800-009,4鄰,正新路,,247巷,,,,11號,120.302512732827,23.0364557233943
臺南市新化區協興里4鄰正新路247巷13號,67,6701800,6701800-009,4鄰,正新路,,247巷,,,,13號,120.302476586094,23.0364645942456
臺南市新化區協興里4鄰正新路247巷15號,67,6701800,6701800-009,4鄰,正新路,,247巷,,,,15號,120.302440532327,23.0364554050428
臺南市新化區協興里4鄰正新路247巷17號,67,6701800,6701800-009,4鄰,正新路,,247巷,,,,17號,120.30240048286,23.0364642586674
臺南市新化區協興里4鄰正新路247巷19號,67,6701800,6701800-009,4鄰,正新路,,247巷,,,,19號,120.302358482022,23.0364731036762
臺南市新化區協興里4鄰正新路249號,67,6701800,6701800-009,4鄰,正新路,,,,,,249號,120.302840353096,23.0365926209704
臺南市新化區協興里1鄰正新路250號,67,6701800,6701800-009,1鄰,正新路,,,,,,250號,120.303178669414,23.0369075507955
臺南市新化區協興里4鄰正新路251巷1號,67,6701800,6701800-009,4鄰,正新路,,251巷,,,,1號,120.302784692674,23.0366014058938
臺南市新化區協興里3鄰正新路251巷2號,67,6701800,6701800-009,3鄰,正新路,,251巷,,,,2號,120.302817261925,23.0367189423994
臺南市新化區協興里4鄰正新路251巷3號,67,6701800,6701800-009,4鄰,正新路,,251巷,,,,3號,120.302739811232,23.0366012080795
臺南市新化區協興里4鄰正新路251巷5號,67,6701800,6701800-009,4鄰,正新路,,251巷,,,,5號,120.302704686625,23.0366010532594
臺南市新化區協興里3鄰正新路251巷6號,67,6701800,6701800-009,3鄰,正新路,,251巷,,,,6號,120.302771404758,23.0367187402931
臺南市新化區協興里4鄰正新路251巷7號,67,6701800,6701800-009,4鄰,正新路,,251巷,,,,7號,120.302669515547,23.0366099284546
臺南市新化區協興里3鄰正新路251巷8號,67,6701800,6701800-009,3鄰,正新路,,251巷,,,,8號,120.302723596224,23.0367185295723
臺南市新化區協興里4鄰正新路251巷9號,67,6701800,6701800-009,4鄰,正新路,,251巷,,,,9號,120.302628536837,23.0366097478121
臺南市新化區協興里3鄰正新路251巷10號,67,6701800,6701800-009,3鄰,正新路,,251巷,,,,10號,120.302694813535,23.0367184027029
臺南市新化區協興里4鄰正新路251巷11號,67,6701800,6701800-009,4鄰,正新路,,251巷,,,,11號,120.302586048126,23.0366185907299
臺南市新化區協興里3鄰正新路251巷12號,67,6701800,6701800-009,3鄰,正新路,,251巷,,,,12號,120.302648909897,23.036727230584
臺南市新化區協興里4鄰正新路251巷13號,67,6701800,6701800-009,4鄰,正新路,,251巷,,,,13號,120.302546045097,23.0366184143674
臺南市新化區協興里4鄰正新路251巷15號,67,6701800,6701800-009,4鄰,正新路,,251巷,,,,15號,120.302507993436,23.0366182465985
臺南市新化區協興里3鄰正新路251巷16號,67,6701800,6701800-009,3鄰,正新路,,251巷,,,,16號,120.302601101361,23.0367270198262
臺南市新化區協興里4鄰正新路251巷17號,67,6701800,6701800-009,4鄰,正新路,,251巷,,,,17號,120.302468919608,23.0366271045411
臺南市新化區協興里3鄰正新路251巷18號,67,6701800,6701800-009,3鄰,正新路,,251巷,,,,18號,120.302571830829,23.0367268907837
臺南市新化區協興里4鄰正新路251巷19號,67,6701800,6701800-009,4鄰,正新路,,251巷,,,,19號,120.302421111109,23.0366268937298
臺南市新化區協興里3鄰正新路251巷20號,67,6701800,6701800-009,3鄰,正新路,,251巷,,,,20號,120.302530852084,23.0367267101151
臺南市新化區協興里4鄰正新路251巷21號,67,6701800,6701800-009,4鄰,正新路,,251巷,,,,21號,120.302309883174,23.0366264032148
臺南市新化區協興里3鄰正新路251巷22號,67,6701800,6701800-009,3鄰,正新路,,251巷,,,,22號,120.30249275391,23.0367355723644
