FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市歸仁區南興里14鄰民生北街16號,67,6702800,6702800-018,14鄰,民生北街,,,,,,16號,120.281065182311,22.9686012339177
臺南市歸仁區南興里14鄰民生北街18號,67,6702800,6702800-018,14鄰,民生北街,,,,,,18號,120.28106613728,22.9686603865477
臺南市歸仁區南興里14鄰民生北街22號,67,6702800,6702800-018,14鄰,民生北街,,,,,,22號,120.281065755258,22.9687326270133
臺南市歸仁區南興里14鄰民生北街24號,67,6702800,6702800-018,14鄰,民生北街,,,,,,24號,120.281065516494,22.968777777304
臺南市歸仁區南興里14鄰民生北街28號,67,6702800,6702800-018,14鄰,民生北街,,,,,,28號,120.281066205168,22.9688319620742
臺南市歸仁區南興里14鄰民生北街30號,67,6702800,6702800-018,14鄰,民生北街,,,,,,30號,120.281065966403,22.9688771123644
臺南市歸仁區南興里14鄰民生北街32號,67,6702800,6702800-018,14鄰,民生北街,,,,,,32號,120.281065823144,22.9689042025383
臺南市歸仁區南興里14鄰民生北街34號,67,6702800,6702800-018,14鄰,民生北街,,,,,,34號,120.281065632131,22.9689403227701
臺南市歸仁區南興里15鄰民生北街35巷28號,67,6702800,6702800-018,15鄰,民生北街,,35巷,,,,28號,120.280432024821,22.9691632053579
臺南市歸仁區南興里15鄰民生北街35巷46號,67,6702800,6702800-018,15鄰,民生北街,,35巷,,,,46號,120.280012691349,22.9691613017183
臺南市歸仁區南興里15鄰民生北街35巷50號,67,6702800,6702800-018,15鄰,民生北街,,35巷,,,,50號,120.279641270182,22.9691355038322
臺南市歸仁區南興里15鄰民生北街35巷52號,67,6702800,6702800-018,15鄰,民生北街,,35巷,,,,52號,120.279586840773,22.9691746285181
臺南市歸仁區南興里14鄰民生北街36號,67,6702800,6702800-018,14鄰,民生北街,,,,,,36號,120.281073401408,22.9689833421046
臺南市歸仁區南興里15鄰民生北街37號,67,6702800,6702800-018,15鄰,民生北街,,,,,,37號,120.280865614038,22.9693277174767
臺南市歸仁區南興里14鄰民生北街38號,67,6702800,6702800-018,14鄰,民生北街,,,,,,38號,120.281066877608,22.969147392608
臺南市歸仁區南興里14鄰民生北街40號,67,6702800,6702800-018,14鄰,民生北街,,,,,,40號,120.281061973765,22.9692079635119
臺南市歸仁區南興里15鄰民生北街43號,67,6702800,6702800-018,15鄰,民生北街,,,,,,43號,120.280879437428,22.9694430064665
臺南市歸仁區南興里15鄰民生北街45號,67,6702800,6702800-018,15鄰,民生北街,,,,,,45號,120.280881669619,22.9695003588281
臺南市歸仁區南興里14鄰民生北街46號,67,6702800,6702800-018,14鄰,民生北街,,,,,,46號,120.281065815633,22.9692744437499
臺南市歸仁區南興里15鄰民生北街47號,67,6702800,6702800-018,15鄰,民生北街,,,,,,47號,120.28090558907,22.9696981400015
臺南市歸仁區南興里14鄰民生北街48號,67,6702800,6702800-018,14鄰,民生北街,,,,,,48號,120.281065481354,22.9693376541525
臺南市歸仁區南興里13鄰民生北街50巷1號,67,6702800,6702800-018,13鄰,民生北街,,50巷,,,,1號,120.281323506033,22.969451792658
臺南市歸仁區南興里14鄰民生北街50巷2號,67,6702800,6702800-018,14鄰,民生北街,,50巷,,,,2號,120.281230241664,22.9693474314283
臺南市歸仁區南興里13鄰民生北街50巷3號,67,6702800,6702800-018,13鄰,民生北街,,50巷,,,,3號,120.281380993075,22.9695352220496
臺南市歸仁區南興里13鄰民生北街50巷5號,67,6702800,6702800-018,13鄰,民生北街,,50巷,,,,5號,120.281380993075,22.9695352220496
臺南市歸仁區南興里14鄰民生北街50巷6號,67,6702800,6702800-018,14鄰,民生北街,,50巷,,,,6號,120.281290703796,22.9693477055128
臺南市歸仁區南興里13鄰民生北街50巷7號,67,6702800,6702800-018,13鄰,民生北街,,50巷,,,,7號,120.281380203656,22.9695738680452
臺南市歸仁區南興里13鄰民生北街50巷9號,67,6702800,6702800-018,13鄰,民生北街,,50巷,,,,9號,120.281380060455,22.9696009582186
臺南市歸仁區南興里13鄰民生北街50巷11號,67,6702800,6702800-018,13鄰,民生北街,,50巷,,,,11號,120.281393034689,22.9696371381197
臺南市歸仁區南興里13鄰民生北街50巷13號,67,6702800,6702800-018,13鄰,民生北街,,50巷,,,,13號,120.281492600316,22.9696195288079
臺南市歸仁區南興里13鄰民生北街50巷15號,67,6702800,6702800-018,13鄰,民生北街,,50巷,,,,15號,120.281492791222,22.9695834085758
臺南市歸仁區南興里13鄰民生北街50巷17號,67,6702800,6702800-018,13鄰,民生北街,,50巷,,,,17號,120.281482254959,22.9695472397307
臺南市歸仁區南興里14鄰民生北街50巷18號,67,6702800,6702800-018,14鄰,民生北街,,50巷,,,,18號,120.281382812055,22.9693571532843
臺南市歸仁區南興里13鄰民生北街50巷19號,67,6702800,6702800-018,13鄰,民生北街,,50巷,,,,19號,120.281482445867,22.9695111194983
臺南市歸仁區南興里14鄰民生北街50巷20號,67,6702800,6702800-018,14鄰,民生北街,,50巷,,,,20號,120.281462873565,22.969339455585
臺南市歸仁區南興里13鄰民生北街50巷21號,67,6702800,6702800-018,13鄰,民生北街,,50巷,,,,21號,120.281492531919,22.9694479532848
臺南市歸仁區南興里13鄰民生北街50巷23號,67,6702800,6702800-018,13鄰,民生北街,,50巷,,,,23號,120.281552114346,22.9694301627348
臺南市歸仁區南興里14鄰民生北街50巷42之1號,67,6702800,6702800-018,14鄰,民生北街,,50巷,,,,42之1號,120.282056910352,22.9693151460532
臺南市歸仁區南興里14鄰民生北街50巷42號,67,6702800,6702800-018,14鄰,民生北街,,50巷,,,,42號,120.281962316856,22.9693146273905
臺南市歸仁區南興里13鄰民生北街50巷43號,67,6702800,6702800-018,13鄰,民生北街,,50巷,,,,43號,120.282067222621,22.969393756144
臺南市歸仁區南興里14鄰民生北街50巷46號,67,6702800,6702800-018,14鄰,民生北街,,50巷,,,,46號,120.282072561646,22.9693060963454
臺南市歸仁區南興里13鄰民生北街50巷47號,67,6702800,6702800-018,13鄰,民生北街,,50巷,,,,47號,120.282172482301,22.9694058817884
臺南市歸仁區南興里14鄰民生北街50巷48號,67,6702800,6702800-018,14鄰,民生北街,,50巷,,,,48號,120.28212229662,22.9693063215391
