FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市永康區網寮里23鄰永春街12巷2號之1,67,6703100,6703100-002,23鄰,永春街,,12巷,,,,2號之1,120.256566357559,23.0159284854282
臺南市永康區網寮里23鄰永春街12巷2號之2,67,6703100,6703100-002,23鄰,永春街,,12巷,,,,2號之2,120.256617303274,23.0159422699564
臺南市永康區網寮里23鄰永春街12巷3號,67,6703100,6703100-002,23鄰,永春街,,12巷,,,,3號,120.256553844904,23.0160399494771
臺南市永康區網寮里23鄰永春街12巷6號,67,6703100,6703100-002,23鄰,永春街,,12巷,,,,6號,120.256642302508,23.0159554811215
臺南市永康區網寮里23鄰永春街12巷8號,67,6703100,6703100-002,23鄰,永春街,,12巷,,,,8號,120.256686334384,23.0159669756147
臺南市永康區網寮里23鄰永春街12巷10號,67,6703100,6703100-002,23鄰,永春街,,12巷,,,,10號,120.256742670256,23.0159762703188
臺南市永康區網寮里23鄰永春街12巷12號,67,6703100,6703100-002,23鄰,永春街,,12巷,,,,12號,120.256786994806,23.0159877661585
臺南市永康區網寮里23鄰永春街12巷14號,67,6703100,6703100-002,23鄰,永春街,,12巷,,,,14號,120.256832490489,23.015999177182
臺南市永康區網寮里23鄰永春街12巷16號,67,6703100,6703100-002,23鄰,永春街,,12巷,,,,16號,120.256880144209,23.0160084310781
臺南市永康區網寮里23鄰永春街12巷18號,67,6703100,6703100-002,23鄰,永春街,,12巷,,,,18號,120.256925834518,23.0160199332906
臺南市永康區網寮里23鄰永春街12巷18之1號,67,6703100,6703100-002,23鄰,永春街,,12巷,,,,18之1號,120.256958646907,23.0160315556478
臺南市永康區網寮里23鄰永春街12巷20號,67,6703100,6703100-002,23鄰,永春街,,12巷,,,,20號,120.257016194898,23.016015481117
臺南市永康區網寮里23鄰永春街12巷21號,67,6703100,6703100-002,23鄰,永春街,,12巷,,,,21號,120.256755132346,23.0161232499797
臺南市永康區網寮里23鄰永春街12巷22號,67,6703100,6703100-002,23鄰,永春街,,12巷,,,,22號,120.257065189644,23.0160292563458
臺南市永康區網寮里23鄰永春街12巷23號,67,6703100,6703100-002,23鄰,永春街,,12巷,,,,23號,120.256814495884,23.0161319267617
臺南市永康區網寮里23鄰永春街12巷25號,67,6703100,6703100-002,23鄰,永春街,,12巷,,,,25號,120.256877476389,23.0161570554421
臺南市永康區網寮里23鄰永春街12巷26號,67,6703100,6703100-002,23鄰,永春街,,12巷,,,,26號,120.257112233349,23.0160430224036
臺南市永康區網寮里23鄰永春街12巷27號,67,6703100,6703100-002,23鄰,永春街,,12巷,,,,27號,120.257002020892,23.0162343966435
臺南市永康區網寮里23鄰永春街12巷28號,67,6703100,6703100-002,23鄰,永春街,,12巷,,,,28號,120.25716241111,23.0160545456073
臺南市永康區網寮里23鄰永春街12巷31號,67,6703100,6703100-002,23鄰,永春街,,12巷,,,,31號,120.257184814174,23.0162746261108
臺南市永康區網寮里22鄰永春街13巷1號,67,6703100,6703100-002,22鄰,永春街,,13巷,,,,1號,120.256395505367,23.0158278090968
臺南市永康區網寮里22鄰永春街13巷2號,67,6703100,6703100-002,22鄰,永春街,,13巷,,,,2號,120.256303901843,23.0160056346676
臺南市永康區網寮里22鄰永春街13巷3號,67,6703100,6703100-002,22鄰,永春街,,13巷,,,,3號,120.25634971762,23.0158163062756
臺南市永康區網寮里22鄰永春街13巷5號,67,6703100,6703100-002,22鄰,永春街,,13巷,,,,5號,120.256307331837,23.0158070769701
臺南市永康區網寮里22鄰永春街13巷6號,67,6703100,6703100-002,22鄰,永春街,,13巷,,,,6號,120.25601897377,23.0159289840782
臺南市永康區網寮里22鄰永春街13巷7號,67,6703100,6703100-002,22鄰,永春街,,13巷,,,,7號,120.256264068088,23.0157978435286
臺南市永康區網寮里22鄰永春街13巷8號,67,6703100,6703100-002,22鄰,永春街,,13巷,,,,8號,120.255957106214,23.0159144256103
臺南市永康區網寮里22鄰永春街13巷9號,67,6703100,6703100-002,22鄰,永春街,,13巷,,,,9號,120.256220804346,23.0157886100754
