FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市關廟區深坑里2鄰深坑一街3號,67,6702900,6702900-012,2鄰,深坑一街,,,,,,3號,120.33534253207,22.937751564854
臺南市關廟區深坑里2鄰深坑一街5之1號,67,6702900,6702900-012,2鄰,深坑一街,,,,,,5之1號,120.335402729967,22.9377832426538
臺南市關廟區深坑里2鄰深坑一街5號,67,6702900,6702900-012,2鄰,深坑一街,,,,,,5號,120.335368768381,22.9377697354816
臺南市關廟區深坑里2鄰深坑一街8號,67,6702900,6702900-012,2鄰,深坑一街,,,,,,8號,120.335441662177,22.9376972558218
臺南市關廟區深坑里2鄰深坑一街9號,67,6702900,6702900-012,2鄰,深坑一街,,,,,,9號,120.335210316379,22.9379124743594
臺南市關廟區深坑里2鄰深坑一街12號,67,6702900,6702900-012,2鄰,深坑一街,,,,,,12號,120.335657830992,22.9376749526755
臺南市關廟區深坑里2鄰深坑一街13巷3號,67,6702900,6702900-012,2鄰,深坑一街,,13巷,,,,3號,120.335418763026,22.9379142503221
臺南市關廟區深坑里2鄰深坑一街13巷5號,67,6702900,6702900-012,2鄰,深坑一街,,13巷,,,,5號,120.335435116453,22.9379596513109
臺南市關廟區深坑里2鄰深坑一街13巷6號,67,6702900,6702900-012,2鄰,深坑一街,,13巷,,,,6號,120.335509352712,22.9381315393731
臺南市關廟區深坑里2鄰深坑一街13巷7號,67,6702900,6702900-012,2鄰,深坑一街,,13巷,,,,7號,120.335423240364,22.9379957231118
臺南市關廟區深坑里2鄰深坑一街13巷9號,67,6702900,6702900-012,2鄰,深坑一街,,13巷,,,,9號,120.335419164128,22.9380318275706
臺南市關廟區深坑里3鄰深坑一街13巷10號,67,6702900,6702900-012,3鄰,深坑一街,,13巷,,,,10號,120.335474655345,22.9382487890657
臺南市關廟區深坑里2鄰深坑一街13巷11號,67,6702900,6702900-012,2鄰,深坑一街,,13巷,,,,11號,120.335351714015,22.9380676666606
臺南市關廟區深坑里2鄰深坑一街13巷13號,67,6702900,6702900-012,2鄰,深坑一街,,13巷,,,,13號,120.335320339118,22.9381034761915
臺南市關廟區深坑里2鄰深坑一街13巷15號,67,6702900,6702900-012,2鄰,深坑一街,,13巷,,,,15號,120.335319926861,22.9381679513878
臺南市關廟區深坑里3鄰深坑一街13巷16號,67,6702900,6702900-012,3鄰,深坑一街,,13巷,,,,16號,120.335382037972,22.9384468890466
臺南市關廟區深坑里3鄰深坑一街13巷17號,67,6702900,6702900-012,3鄰,深坑一街,,13巷,,,,17號,120.335317859263,22.9382120109897
臺南市關廟區深坑里5鄰深坑一街13巷18號,67,6702900,6702900-012,5鄰,深坑一街,,13巷,,,,18號,120.33531737012,22.938611783909
臺南市關廟區深坑里3鄰深坑一街13巷19號,67,6702900,6702900-012,3鄰,深坑一街,,13巷,,,,19號,120.335303058167,22.9382480705301
臺南市關廟區深坑里5鄰深坑一街13巷20號,67,6702900,6702900-012,5鄰,深坑一街,,13巷,,,,20號,120.335330293503,22.9386607826934
臺南市關廟區深坑里5鄰深坑一街13巷22號,67,6702900,6702900-012,5鄰,深坑一街,,13巷,,,,22號,120.335367017681,22.9387275806915
臺南市關廟區深坑里3鄰深坑一街13巷23號,67,6702900,6702900-012,3鄰,深坑一街,,13巷,,,,23號,120.335165189466,22.9383285859137
臺南市關廟區深坑里5鄰深坑一街13巷26號,67,6702900,6702900-012,5鄰,深坑一街,,13巷,,,,26號,120.335387088998,22.9387903355819
臺南市關廟區深坑里5鄰深坑一街13巷28號,67,6702900,6702900-012,5鄰,深坑一街,,13巷,,,,28號,120.335423059254,22.9388518024856
