FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市官田區官田里5鄰福田路26號,67,6701000,6701000-001,5鄰,福田路,,,,,,26號,120.337842777571,23.186567118129
臺南市官田區官田里5鄰福田路28號,67,6701000,6701000-001,5鄰,福田路,,,,,,28號,120.337810536105,23.1866281163033
臺南市官田區官田里5鄰福田路30巷1號,67,6701000,6701000-001,5鄰,福田路,,30巷,,,,1號,120.337778674417,23.1867310157522
臺南市官田區官田里5鄰福田路30巷7號,67,6701000,6701000-001,5鄰,福田路,,30巷,,,,7號,120.337936938351,23.1868255945971
臺南市官田區官田里5鄰福田路30巷10號,67,6701000,6701000-001,5鄰,福田路,,30巷,,,,10號,120.337990636163,23.1866323956071
臺南市官田區官田里5鄰福田路30巷11號,67,6701000,6701000-001,5鄰,福田路,,30巷,,,,11號,120.338073021663,23.1868025983508
臺南市官田區官田里5鄰福田路42號,67,6701000,6701000-001,5鄰,福田路,,,,,,42號,120.3379038903,23.1870306195588
臺南市官田區官田里5鄰福田路46巷7號,67,6701000,6701000-001,5鄰,福田路,,46巷,,,,7號,120.337931879865,23.1872182925537
臺南市官田區官田里5鄰福田路46巷10號,67,6701000,6701000-001,5鄰,福田路,,46巷,,,,10號,120.3380310584,23.1870328701446
臺南市官田區官田里12鄰福田路60號,67,6701000,6701000-001,12鄰,福田路,,,,,,60號,120.337913945179,23.1875081737492
臺南市官田區官田里12鄰福田路99號,67,6701000,6701000-001,12鄰,福田路,,,,,,99號,120.335432850795,23.1887771023026
臺南市官田區官田里12鄰福田路160號,67,6701000,6701000-001,12鄰,福田路,,,,,,160號,120.337262505741,23.1891557736227
