FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市東區關聖里4鄰裕善街1號,67,6703200,6703200-017,4鄰,裕善街,,,,,,1號,120.245813995132,22.9873935220682
臺南市東區關聖里4鄰裕善街2號,67,6703200,6703200-017,4鄰,裕善街,,,,,,2號,120.245807704063,22.9871388403744
臺南市東區關聖里4鄰裕善街5號,67,6703200,6703200-017,4鄰,裕善街,,,,,,5號,120.24601414029,22.9873926685202
臺南市東區關聖里4鄰裕善街6號,67,6703200,6703200-017,4鄰,裕善街,,,,,,6號,120.245875279163,22.9871592993484
臺南市東區關聖里4鄰裕善街7號,67,6703200,6703200-017,4鄰,裕善街,,,,,,7號,120.246090524185,22.9873900519978
臺南市東區關聖里4鄰裕善街8號,67,6703200,6703200-017,4鄰,裕善街,,,,,,8號,120.245875751432,22.9870742370726
臺南市東區關聖里4鄰裕善街9號,67,6703200,6703200-017,4鄰,裕善街,,,,,,9號,120.246122994738,22.9873915610166
臺南市東區關聖里4鄰裕善街10號,67,6703200,6703200-017,4鄰,裕善街,,,,,,10號,120.245950667664,22.9870724263472
臺南市東區關聖里4鄰裕善街11號,67,6703200,6703200-017,4鄰,裕善街,,,,,,11號,120.246164355715,22.9873904032633
臺南市東區關聖里4鄰裕善街12號,67,6703200,6703200-017,4鄰,裕善街,,,,,,12號,120.245957547907,22.9871507509596
臺南市東區關聖里4鄰裕善街15號,67,6703200,6703200-017,4鄰,裕善街,,,,,,15號,120.24620414115,22.9873919470654
臺南市東區關聖里4鄰裕善街16號,67,6703200,6703200-017,4鄰,裕善街,,,,,,16號,120.246014337846,22.9871462351872
臺南市東區關聖里4鄰裕善街17號,67,6703200,6703200-017,4鄰,裕善街,,,,,,17號,120.246265505155,22.9873892590055
臺南市東區關聖里4鄰裕善街18號,67,6703200,6703200-017,4鄰,裕善街,,,,,,18號,120.246071114751,22.9871440671855
臺南市東區關聖里4鄰裕善街19號,67,6703200,6703200-017,4鄰,裕善街,,,,,,19號,120.246328336143,22.9873858554831
臺南市東區關聖里4鄰裕善街26號,67,6703200,6703200-017,4鄰,裕善街,,,,,,26號,120.24621606351,22.9871592954117
臺南市東區關聖里4鄰裕善街28號,67,6703200,6703200-017,4鄰,裕善街,,,,,,28號,120.246268552577,22.9871037384317
臺南市東區關聖里4鄰裕善街30號,67,6703200,6703200-017,4鄰,裕善街,,,,,,30號,120.246313479522,22.9871630096699
臺南市東區關聖里4鄰裕善街31號,67,6703200,6703200-017,4鄰,裕善街,,,,,,31號,120.246649522585,22.987402372987
臺南市東區關聖里4鄰裕善街32號,67,6703200,6703200-017,4鄰,裕善街,,,,,,32號,120.246357781914,22.9871063300952
臺南市東區關聖里4鄰裕善街33號,67,6703200,6703200-017,4鄰,裕善街,,,,,,33號,120.246737437645,22.9874133562832
臺南市東區關聖里4鄰裕善街35號,67,6703200,6703200-017,4鄰,裕善街,,,,,,35號,120.246799097531,22.9874452551091
臺南市東區關聖里4鄰裕善街36號,67,6703200,6703200-017,4鄰,裕善街,,,,,,36號,120.246399841067,22.9871551126324
臺南市東區關聖里4鄰裕善街37號,67,6703200,6703200-017,4鄰,裕善街,,,,,,37號,120.246848219828,22.9873988024398
臺南市東區關聖里4鄰裕善街38號,67,6703200,6703200-017,4鄰,裕善街,,,,,,38號,120.246445705959,22.9871508156523
臺南市東區關聖里4鄰裕善街39號,67,6703200,6703200-017,4鄰,裕善街,,,,,,39號,120.246888754288,22.9874411661584
臺南市東區關聖里4鄰裕善街40號,67,6703200,6703200-017,4鄰,裕善街,,,,,,40號,120.246489205043,22.9871510225113
臺南市東區關聖里4鄰裕善街41號,67,6703200,6703200-017,4鄰,裕善街,,,,,,41號,120.246934607941,22.9874037281316
臺南市東區關聖里4鄰裕善街42號,67,6703200,6703200-017,4鄰,裕善街,,,,,,42號,120.246525474268,22.9871534525309
臺南市東區關聖里4鄰裕善街46號,67,6703200,6703200-017,4鄰,裕善街,,,,,,46號,120.2465615309,22.9871590421032
臺南市東區關聖里4鄰裕善街48號,67,6703200,6703200-017,4鄰,裕善街,,,,,,48號,120.246614320532,22.9871547780005
臺南市東區關聖里4鄰裕善街50號,67,6703200,6703200-017,4鄰,裕善街,,,,,,50號,120.246664153663,22.9871560082494
臺南市東區關聖里4鄰裕善街52號,67,6703200,6703200-017,4鄰,裕善街,,,,,,52號,120.246705522328,22.9871182780579
臺南市東區關聖里4鄰裕善街56號,67,6703200,6703200-017,4鄰,裕善街,,,,,,56號,120.246749103677,22.9871564120992
臺南市東區關聖里4鄰裕善街58號,67,6703200,6703200-017,4鄰,裕善街,,,,,,58號,120.246794506164,22.9871123799156
臺南市東區關聖里4鄰裕善街60號,67,6703200,6703200-017,4鄰,裕善街,,,,,,60號,120.24683400523,22.9871479660716
臺南市東區關聖里4鄰裕善街62號,67,6703200,6703200-017,4鄰,裕善街,,,,,,62號,120.246879358621,22.9871127832312
臺南市東區關聖里4鄰裕善街66號,67,6703200,6703200-017,4鄰,裕善街,,,,,,66號,120.246984416196,22.9871983470597
臺南市東區關聖里4鄰裕善街68號,67,6703200,6703200-017,4鄰,裕善街,,,,,,68號,120.247042467536,22.9871950108397
臺南市東區關聖里4鄰裕善街70號,67,6703200,6703200-017,4鄰,裕善街,,,,,,70號,120.247121202085,22.9871905989462
