FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市東區關聖里14鄰裕智街1號,67,6703200,6703200-017,14鄰,裕智街,,,,,,1號,120.239767443186,22.98638503167
臺南市東區關聖里14鄰裕智街3號,67,6703200,6703200-017,14鄰,裕智街,,,,,,3號,120.239805398364,22.9863824144
臺南市東區關聖里14鄰裕智街7號,67,6703200,6703200-017,14鄰,裕智街,,,,,,7號,120.239911625154,22.9863801246162
臺南市東區關聖里14鄰裕智街11號,67,6703200,6703200-017,14鄰,裕智街,,,,,,11號,120.239970834482,22.986378963785
臺南市東區關聖里14鄰裕智街13號,67,6703200,6703200-017,14鄰,裕智街,,,,,,13號,120.240010342066,22.9863777987431
臺南市東區關聖里14鄰裕智街19號,67,6703200,6703200-017,14鄰,裕智街,,,,,,19號,120.240092984062,22.9863722351518
臺南市東區關聖里14鄰裕智街21號,67,6703200,6703200-017,14鄰,裕智街,,,,,,21號,120.240177323015,22.9863771546824
臺南市東區關聖里14鄰裕智街23號,67,6703200,6703200-017,14鄰,裕智街,,,,,,23號,120.240231932228,22.9863788613586
臺南市東區關聖里14鄰裕智街29號,67,6703200,6703200-017,14鄰,裕智街,,,,,,29號,120.240384787365,22.9863752596864
臺南市東區關聖里14鄰裕智街31號,67,6703200,6703200-017,14鄰,裕智街,,,,,,31號,120.240444386311,22.9863741908477
臺南市東區關聖里14鄰裕智街33號二樓,67,6703200,6703200-017,14鄰,裕智街,,,,,,33號二樓,120.240526844779,22.9864537809093
臺南市東區關聖里14鄰裕智街33號三樓,67,6703200,6703200-017,14鄰,裕智街,,,,,,33號三樓,120.240526844779,22.9864537809093
臺南市東區關聖里14鄰裕智街33號四樓,67,6703200,6703200-017,14鄰,裕智街,,,,,,33號四樓,120.240526844779,22.9864537809093
臺南市東區關聖里14鄰裕智街33號五樓,67,6703200,6703200-017,14鄰,裕智街,,,,,,33號五樓,120.240526844779,22.9864537809093
臺南市東區關聖里14鄰裕智街33號六樓,67,6703200,6703200-017,14鄰,裕智街,,,,,,33號六樓,120.240526844779,22.9864537809093
臺南市東區關聖里14鄰裕智街37號,67,6703200,6703200-017,14鄰,裕智街,,,,,,37號,120.240660675389,22.9863639397065
