FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市安南區(塭)南里10鄰長和路二段12巷213弄2號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,2號,120.222819228257,23.0682639329536
臺南市安南區(塭)南里10鄰長和路二段12巷213弄4號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,4號,120.222775693005,23.0682655248524
臺南市安南區(塭)南里10鄰長和路二段12巷213弄6號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,6號,120.222737828314,23.0682653386148
臺南市安南區(塭)南里10鄰長和路二段12巷213弄8號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,8號,120.222700091302,23.0682599155503
臺南市安南區(塭)南里10鄰長和路二段12巷213弄10號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,10號,120.222658451237,23.0682543829764
臺南市安南區(塭)南里10鄰長和路二段12巷213弄12號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,12號,120.222616878152,23.0682541784678
臺南市安南區(塭)南里10鄰長和路二段12巷213弄14號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,14號,120.222580867664,23.0682540013142
臺南市安南區(塭)南里10鄰長和路二段12巷213弄16號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,16號,120.222541178875,23.0682485686098
臺南市安南區(塭)南里10鄰長和路二段12巷213弄18號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,18號,120.222491933107,23.0682588915119
臺南市安南區(塭)南里10鄰長和路二段12巷213弄20號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,20號,120.222446574276,23.0682551466012
臺南市安南區(塭)南里10鄰長和路二段12巷213弄22號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,22號,120.222399233558,23.0682566293707
臺南市安南區(塭)南里10鄰長和路二段12巷213弄24號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,24號,120.222353864351,23.068254690398
臺南市安南區(塭)南里10鄰長和路二段12巷213弄26號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,26號,120.222298901279,23.068257941643
臺南市安南區(塭)南里10鄰長和路二段12巷213弄28號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,28號,120.222255464136,23.0682594435804
臺南市安南區(塭)南里10鄰長和路二段12巷213弄30號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,30號,120.222204357403,23.068253954596
臺南市安南區(塭)南里10鄰長和路二段12巷213弄32號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,32號,120.222162716844,23.0682485121903
臺南市安南區(塭)南里10鄰長和路二段12巷213弄34號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,34號,120.222113521931,23.0682499857474
臺南市安南區(塭)南里10鄰長和路二段12巷213弄36號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,36號,120.222058686562,23.0682480000919
臺南市安南區(塭)南里10鄰長和路二段12巷213弄38號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,38號,120.222013317885,23.0682459707235
臺南市安南區(塭)南里10鄰長和路二段12巷213弄40號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,40號,120.221964152571,23.0682422972352
臺南市安南區(塭)南里10鄰長和路二段12巷213弄42號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,42號,120.221913035991,23.0682385238233
臺南市安南區(塭)南里10鄰長和路二段12巷213弄46號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,46號,120.221916047428,23.0683766988437
臺南市安南區(塭)南里10鄰長和路二段12巷213弄48號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,48號,120.221961416666,23.0683786379429
臺南市安南區(塭)南里10鄰長和路二段12巷213弄50號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,50號,120.222012513568,23.0683858426732
臺南市安南區(塭)南里10鄰長和路二段12巷213弄52號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,52號,120.222055997977,23.068393100212
臺南市安南區(塭)南里10鄰長和路二段12巷213弄54號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,54號,120.222110873382,23.0683881329065
臺南市安南區(塭)南里10鄰長和路二段12巷213弄56號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,56號,120.222154358317,23.0683953001202
臺南市安南區(塭)南里10鄰長和路二段12巷213弄58號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,58號,120.222203553284,23.0683938265519
臺南市安南區(塭)南里10鄰長和路二段12巷213弄60號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,60號,120.222250844217,23.0684010124723
臺南市安南區(塭)南里10鄰長和路二段12巷213弄62號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,62號,120.222298097258,23.068397813602
臺南市安南區(塭)南里10鄰長和路二段12巷213弄64號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,64號,120.22234355424,23.0684014687386
臺南市安南區(塭)南里10鄰長和路二段12巷213弄66號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,66號,120.222392749209,23.0683999951113
臺南市安南區(塭)南里10鄰長和路二段12巷213弄68號,67,6703500,6703500-000,10鄰,長和路,二段,12巷,213弄,,,68號,120.222447594507,23.0684002649862
