FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市中壢區三民里11鄰三民一路56號,68,6800200,6800200-048,11鄰,三民一路,,,,,,56號,121.207882098778,24.9666408128316
桃園市中壢區三民里11鄰三民一路60號,68,6800200,6800200-048,11鄰,三民一路,,,,,,60號,121.208158563359,24.9666642615576
桃園市中壢區三民里11鄰三民一路66號,68,6800200,6800200-048,11鄰,三民一路,,,,,,66號,121.208445502401,24.9666734302605
桃園市中壢區三民里11鄰三民一路70號,68,6800200,6800200-048,11鄰,三民一路,,,,,,70號,121.208915868146,24.9666835148705
桃園市中壢區三民里11鄰三民一路76號,68,6800200,6800200-048,11鄰,三民一路,,,,,,76號,121.208535097177,24.9668860135504
桃園市中壢區三民里11鄰三民一路82號,68,6800200,6800200-048,11鄰,三民一路,,,,,,82號,121.208169674178,24.9669105403512
桃園市中壢區三民里11鄰三民一路90號,68,6800200,6800200-048,11鄰,三民一路,,,,,,90號,121.207477336077,24.9670664336863
桃園市中壢區三民里11鄰三民一路96號,68,6800200,6800200-048,11鄰,三民一路,,,,,,96號,121.207515799963,24.9672057783405
桃園市中壢區三民里11鄰三民一路98號,68,6800200,6800200-048,11鄰,三民一路,,,,,,98號,121.207376584889,24.9672875888767
桃園市中壢區三民里11鄰三民一路100號,68,6800200,6800200-048,11鄰,三民一路,,,,,,100號,121.207401252375,24.9672911658749
桃園市中壢區三民里11鄰三民一路108號,68,6800200,6800200-048,11鄰,三民一路,,,,,,108號,121.207388794048,24.9674809598569
桃園市中壢區三民里11鄰三民一路110號,68,6800200,6800200-048,11鄰,三民一路,,,,,,110號,121.207321573386,24.9674982976765
桃園市中壢區三民里11鄰三民一路116號,68,6800200,6800200-048,11鄰,三民一路,,,,,,116號,121.207252004427,24.9675327926634
桃園市中壢區三民里11鄰三民一路118號,68,6800200,6800200-048,11鄰,三民一路,,,,,,118號,121.207213706887,24.9675518055683
桃園市中壢區三民里11鄰三民一路120號,68,6800200,6800200-048,11鄰,三民一路,,,,,,120號,121.207189443514,24.9676121489343
桃園市中壢區三民里11鄰三民一路126號,68,6800200,6800200-048,11鄰,三民一路,,,,,,126號,121.207116507116,24.9677058747404
桃園市中壢區三民里11鄰三民一路130號,68,6800200,6800200-048,11鄰,三民一路,,,,,,130號,121.207066054047,24.9677408847533
桃園市中壢區三民里11鄰三民一路135號,68,6800200,6800200-048,11鄰,三民一路,,,,,,135號,121.206749014316,24.9678566177486
桃園市中壢區三民里11鄰三民一路136巷23號,68,6800200,6800200-048,11鄰,三民一路,,136巷,,,,23號,121.207203615162,24.9683269966045
桃園市中壢區三民里11鄰三民一路136巷25號,68,6800200,6800200-048,11鄰,三民一路,,136巷,,,,25號,121.207239820495,24.9683004930571
桃園市中壢區三民里11鄰三民一路136巷27號,68,6800200,6800200-048,11鄰,三民一路,,136巷,,,,27號,121.207299039111,24.9682950838799
桃園市中壢區三民里11鄰三民一路136巷29號,68,6800200,6800200-048,11鄰,三民一路,,136巷,,,,29號,121.207344765221,24.9682761508937
桃園市中壢區三民里11鄰三民一路136巷31號,68,6800200,6800200-048,11鄰,三民一路,,136巷,,,,31號,121.207389118338,24.9682653453504
桃園市中壢區三民里11鄰三民一路136巷33號,68,6800200,6800200-048,11鄰,三民一路,,136巷,,,,33號,121.207458540446,24.9682611858719
