FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市中壢區明德里9鄰五華街2號,68,6800200,6800200-062,9鄰,五華街,,,,,,2號,121.233703116229,24.9491686253732
桃園市中壢區明德里9鄰五華街2之1號,68,6800200,6800200-062,9鄰,五華街,,,,,,2之1號,121.233664729832,24.9491353708022
桃園市中壢區明德里9鄰五華街6之1號,68,6800200,6800200-062,9鄰,五華街,,,,,,6之1號,121.233647628677,24.9490991034713
桃園市中壢區明德里9鄰五華街6號,68,6800200,6800200-062,9鄰,五華街,,,,,,6號,121.233607277271,24.9490740678068
桃園市中壢區明德里19鄰五華街7號,68,6800200,6800200-062,19鄰,五華街,,,,,,7號,121.233508952536,24.9487640062585
桃園市中壢區明德里9鄰五華街8號,68,6800200,6800200-062,9鄰,五華街,,,,,,8號,121.233573248804,24.9490411675141
桃園市中壢區明德里9鄰五華街8之1號,68,6800200,6800200-062,9鄰,五華街,,,,,,8之1號,121.233523857421,24.9490535235577
桃園市中壢區明德里19鄰五華街9號,68,6800200,6800200-062,19鄰,五華街,,,,,,9號,121.233472357651,24.9487354435933
桃園市中壢區明德里9鄰五華街10號,68,6800200,6800200-062,9鄰,五華街,,,,,,10號,121.233471213246,24.9490213746906
桃園市中壢區明德里19鄰五華街11號,68,6800200,6800200-062,19鄰,五華街,,,,,,11號,121.233430418396,24.9487085144038
桃園市中壢區明德里9鄰五華街12號,68,6800200,6800200-062,9鄰,五華街,,,,,,12號,121.233443411622,24.9489821447326
桃園市中壢區明德里19鄰五華街13號,68,6800200,6800200-062,19鄰,五華街,,,,,,13號,121.233393832564,24.9486847367548
桃園市中壢區明德里9鄰五華街14號,68,6800200,6800200-062,9鄰,五華街,,,,,,14號,121.233414715539,24.9489412007752
桃園市中壢區明德里19鄰五華街15號,68,6800200,6800200-062,19鄰,五華街,,,,,,15號,121.233351998325,24.9486609673171
桃園市中壢區明德里9鄰五華街16號,68,6800200,6800200-062,9鄰,五華街,,,,,,16號,121.233362792531,24.9489238573086
桃園市中壢區明德里19鄰五華街17號,68,6800200,6800200-062,19鄰,五華街,,,,,,17號,121.233294412886,24.9486340625937
桃園市中壢區明德里19鄰五華街19號,68,6800200,6800200-062,19鄰,五華街,,,,,,19號,121.233254352322,24.9486055955847
桃園市中壢區明德里19鄰五華街21號,68,6800200,6800200-062,19鄰,五華街,,,,,,21號,121.233208962013,24.9485865264398
桃園市中壢區明德里19鄰五華街23號,68,6800200,6800200-062,19鄰,五華街,,,,,,23號,121.233170596838,24.9485643766317
桃園市中壢區明德里9鄰五華街24號,68,6800200,6800200-062,9鄰,五華街,,,,,,24號,121.233195561874,24.9488327517841
桃園市中壢區明德里19鄰五華街25號,68,6800200,6800200-062,19鄰,五華街,,,,,,25號,121.233123502368,24.9485342954836
桃園市中壢區明德里9鄰五華街26號,68,6800200,6800200-062,9鄰,五華街,,,,,,26號,121.233158891981,24.948816919198
桃園市中壢區明德里19鄰五華街27號,68,6800200,6800200-062,19鄰,五華街,,,,,,27號,121.233078199407,24.948508996568
桃園市中壢區明德里9鄰五華街28號,68,6800200,6800200-062,9鄰,五華街,,,,,,28號,121.233117066749,24.9487979347307
桃園市中壢區明德里19鄰五華街29號,68,6800200,6800200-062,19鄰,五華街,,,,,,29號,121.233032902241,24.9484867672842
桃園市中壢區明德里9鄰五華街30號,68,6800200,6800200-062,9鄰,五華街,,,,,,30號,121.233050916756,24.9487980382194
桃園市中壢區明德里19鄰五華街31號,68,6800200,6800200-062,19鄰,五華街,,,,,,31號,121.232984037243,24.9484630087384
桃園市中壢區明德里9鄰五華街32號,68,6800200,6800200-062,9鄰,五華街,,,,,,32號,121.233010763112,24.9487727312299
桃園市中壢區明德里19鄰五華街33號,68,6800200,6800200-062,19鄰,五華街,,,,,,33號,121.232922968214,24.9484266295006
桃園市中壢區明德里9鄰五華街34號,68,6800200,6800200-062,9鄰,五華街,,,,,,34號,121.232972397744,24.9487504910878
桃園市中壢區明德里9鄰五華街36號,68,6800200,6800200-062,9鄰,五華街,,,,,,36號,121.232939262983,24.9487187629414
桃園市中壢區明德里9鄰五華街38號,68,6800200,6800200-062,9鄰,五華街,,,,,,38號,121.23289216851,24.9486886817209
桃園市中壢區明德里9鄰五華街40號,68,6800200,6800200-062,9鄰,五華街,,,,,,40號,121.232859039897,24.9486602037694
桃園市中壢區明德里17鄰五華街51號,68,6800200,6800200-062,17鄰,五華街,,,,,,51號,121.232625218298,24.94828128608
桃園市中壢區明德里17鄰五華街51號二樓,68,6800200,6800200-062,17鄰,五華街,,,,,,51號二樓,121.232625218298,24.94828128608
桃園市中壢區明德里17鄰五華街51號三樓,68,6800200,6800200-062,17鄰,五華街,,,,,,51號三樓,121.232625218298,24.94828128608
桃園市中壢區明德里17鄰五華街51號五樓,68,6800200,6800200-062,17鄰,五華街,,,,,,51號五樓,121.232625218298,24.94828128608
桃園市中壢區明德里17鄰五華街51號四樓,68,6800200,6800200-062,17鄰,五華街,,,,,,51號四樓,121.232625218298,24.94828128608
桃園市中壢區明德里17鄰五華街53號,68,6800200,6800200-062,17鄰,五華街,,,,,,53號,121.23259032281,24.9482610266665
桃園市中壢區明德里17鄰五華街53號三樓,68,6800200,6800200-062,17鄰,五華街,,,,,,53號三樓,121.23259032281,24.9482610266665
桃園市中壢區明德里17鄰五華街53號二樓,68,6800200,6800200-062,17鄰,五華街,,,,,,53號二樓,121.23259032281,24.9482610266665
桃園市中壢區明德里17鄰五華街53號五樓,68,6800200,6800200-062,17鄰,五華街,,,,,,53號五樓,121.23259032281,24.9482610266665
桃園市中壢區明德里17鄰五華街53號四樓,68,6800200,6800200-062,17鄰,五華街,,,,,,53號四樓,121.23259032281,24.9482610266665
桃園市中壢區明德里17鄰五華街55號,68,6800200,6800200-062,17鄰,五華街,,,,,,55號,121.232513293611,24.948215553492
桃園市中壢區明德里17鄰五華街55號五樓,68,6800200,6800200-062,17鄰,五華街,,,,,,55號五樓,121.232513293611,24.948215553492
桃園市中壢區明德里17鄰五華街55號二樓,68,6800200,6800200-062,17鄰,五華街,,,,,,55號二樓,121.232513293611,24.948215553492
桃園市中壢區明德里17鄰五華街55號三樓,68,6800200,6800200-062,17鄰,五華街,,,,,,55號三樓,121.232513293611,24.948215553492
桃園市中壢區明德里17鄰五華街55號四樓,68,6800200,6800200-062,17鄰,五華街,,,,,,55號四樓,121.232513293611,24.948215553492
桃園市中壢區明德里17鄰五華街57號,68,6800200,6800200-062,17鄰,五華街,,,,,,57號,121.232459948395,24.9481788911558
桃園市中壢區明德里17鄰五華街57號一樓,68,6800200,6800200-062,17鄰,五華街,,,,,,57號一樓,121.232459948395,24.9481788911558
桃園市中壢區明德里17鄰五華街57號二樓,68,6800200,6800200-062,17鄰,五華街,,,,,,57號二樓,121.232459948395,24.9481788911558
桃園市中壢區明德里17鄰五華街57號三樓,68,6800200,6800200-062,17鄰,五華街,,,,,,57號三樓,121.232459948395,24.9481788911558
桃園市中壢區明德里17鄰五華街57號五樓,68,6800200,6800200-062,17鄰,五華街,,,,,,57號五樓,121.232459948395,24.9481788911558
桃園市中壢區明德里17鄰五華街57號四樓,68,6800200,6800200-062,17鄰,五華街,,,,,,57號四樓,121.232459948395,24.9481788911558
桃園市中壢區明德里8鄰五華街58號,68,6800200,6800200-062,8鄰,五華街,,,,,,58號,121.23240389021,24.9484379130415
桃園市中壢區明德里8鄰五華街62號,68,6800200,6800200-062,8鄰,五華街,,,,,,62號,121.232317458012,24.9483948921016
桃園市中壢區明德里8鄰五華街62號五樓,68,6800200,6800200-062,8鄰,五華街,,,,,,62號五樓,121.232317458012,24.9483948921016
桃園市中壢區明德里8鄰五華街62號二樓,68,6800200,6800200-062,8鄰,五華街,,,,,,62號二樓,121.232317458012,24.9483948921016
桃園市中壢區明德里8鄰五華街62號三樓,68,6800200,6800200-062,8鄰,五華街,,,,,,62號三樓,121.232317458012,24.9483948921016
桃園市中壢區明德里8鄰五華街62號四樓,68,6800200,6800200-062,8鄰,五華街,,,,,,62號四樓,121.232317458012,24.9483948921016
桃園市中壢區明德里8鄰五華街64號,68,6800200,6800200-062,8鄰,五華街,,,,,,64號,121.232253233904,24.948365740225
桃園市中壢區明德里8鄰五華街64號三樓,68,6800200,6800200-062,8鄰,五華街,,,,,,64號三樓,121.232253233904,24.948365740225
桃園市中壢區明德里8鄰五華街64號五樓,68,6800200,6800200-062,8鄰,五華街,,,,,,64號五樓,121.232253233904,24.948365740225
桃園市中壢區明德里8鄰五華街64號二樓,68,6800200,6800200-062,8鄰,五華街,,,,,,64號二樓,121.232253233904,24.948365740225
桃園市中壢區明德里8鄰五華街64號四樓,68,6800200,6800200-062,8鄰,五華街,,,,,,64號四樓,121.232253233904,24.948365740225
桃園市中壢區明德里8鄰五華街66號,68,6800200,6800200-062,8鄰,五華街,,,,,,66號,121.232197427085,24.9483365752025
桃園市中壢區明德里8鄰五華街66號二樓,68,6800200,6800200-062,8鄰,五華街,,,,,,66號二樓,121.232197427085,24.9483365752025
桃園市中壢區明德里8鄰五華街66號三樓,68,6800200,6800200-062,8鄰,五華街,,,,,,66號三樓,121.232197427085,24.9483365752025
桃園市中壢區明德里8鄰五華街66號五樓,68,6800200,6800200-062,8鄰,五華街,,,,,,66號五樓,121.232197427085,24.9483365752025
桃園市中壢區明德里8鄰五華街66號四樓,68,6800200,6800200-062,8鄰,五華街,,,,,,66號四樓,121.232197427085,24.9483365752025
桃園市中壢區明德里18鄰五華街67號,68,6800200,6800200-062,18鄰,五華街,,,,,,67號,121.232007109407,24.9479729369821
桃園市中壢區明德里8鄰五華街68號,68,6800200,6800200-062,8鄰,五華街,,,,,,68號,121.232131901475,24.9482998414476
