FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市中壢區仁福里22鄰仁福二街2號,68,6800200,6800200-072,22鄰,仁福二街,,,,,,2號,121.25678485123,24.9415823548682
桃園市中壢區仁福里22鄰仁福二街6號,68,6800200,6800200-072,22鄰,仁福二街,,,,,,6號,121.256739355462,24.9416084350351
桃園市中壢區仁福里22鄰仁福二街8巷1號,68,6800200,6800200-072,22鄰,仁福二街,,8巷,,,,1號,121.256631159185,24.9417204832138
桃園市中壢區仁福里22鄰仁福二街8巷2號,68,6800200,6800200-072,22鄰,仁福二街,,8巷,,,,2號,121.256743742848,24.9416709039671
桃園市中壢區仁福里22鄰仁福二街8巷3號,68,6800200,6800200-072,22鄰,仁福二街,,8巷,,,,3號,121.256654113865,24.9417594463453
桃園市中壢區仁福里22鄰仁福二街8巷5號,68,6800200,6800200-072,22鄰,仁福二街,,8巷,,,,5號,121.256668456338,24.9417996882821
桃園市中壢區仁福里22鄰仁福二街8巷6號,68,6800200,6800200-072,22鄰,仁福二街,,8巷,,,,6號,121.256759477061,24.9417137617321
桃園市中壢區仁福里22鄰仁福二街8巷8號,68,6800200,6800200-072,22鄰,仁福二街,,8巷,,,,8號,121.256786695115,24.9417553357314
桃園市中壢區仁福里22鄰仁福二街10號,68,6800200,6800200-072,22鄰,仁福二街,,,,,,10號,121.256598245936,24.9416542714749
桃園市中壢區仁福里22鄰仁福二街12號,68,6800200,6800200-072,22鄰,仁福二街,,,,,,12號,121.256554114708,24.9416698762979
桃園市中壢區仁福里21鄰仁福二街53號,68,6800200,6800200-072,21鄰,仁福二街,,,,,,53號,121.255901497076,24.9416856244341
桃園市中壢區仁福里21鄰仁福二街55號,68,6800200,6800200-072,21鄰,仁福二街,,,,,,55號,121.255834051787,24.9416799620664
桃園市中壢區仁福里21鄰仁福二街57號,68,6800200,6800200-072,21鄰,仁福二街,,,,,,57號,121.255808826606,24.9416442529264
桃園市中壢區仁福里21鄰仁福二街59號,68,6800200,6800200-072,21鄰,仁福二街,,,,,,59號,121.255761803538,24.9416501118129
桃園市中壢區仁福里21鄰仁福二街61號,68,6800200,6800200-072,21鄰,仁福二街,,,,,,61號,121.25573816272,24.9416143999413
桃園市中壢區仁福里21鄰仁福二街63號,68,6800200,6800200-072,21鄰,仁福二街,,,,,,63號,121.25569113351,24.9416172794456
桃園市中壢區仁福里21鄰仁福二街65號,68,6800200,6800200-072,21鄰,仁福二街,,,,,,65號,121.255664332991,24.9415859066131
桃園市中壢區仁福里21鄰仁福二街67號,68,6800200,6800200-072,21鄰,仁福二街,,,,,,67號,121.255615818661,24.9415888789255
桃園市中壢區仁福里21鄰仁福二街69號,68,6800200,6800200-072,21鄰,仁福二街,,,,,,69號,121.255598506298,24.9415488225459
桃園市中壢區仁福里21鄰仁福二街71號,68,6800200,6800200-072,21鄰,仁福二街,,,,,,71號,121.255549796919,24.9415532397145
桃園市中壢區仁福里21鄰仁福二街71之3號,68,6800200,6800200-072,21鄰,仁福二街,,,,,,71之3號,121.255707964549,24.9414241331904
桃園市中壢區仁福里21鄰仁福二街71之1號,68,6800200,6800200-072,21鄰,仁福二街,,,,,,71之1號,121.255634270942,24.9414615468989
桃園市中壢區仁福里21鄰仁福二街71之2號,68,6800200,6800200-072,21鄰,仁福二街,,,,,,71之2號,121.255682953822,24.9414443094269
桃園市中壢區仁福里21鄰仁福二街73號,68,6800200,6800200-072,21鄰,仁福二街,,,,,,73號,121.255464363571,24.9415159183574
桃園市中壢區仁福里21鄰仁福二街73之3號,68,6800200,6800200-072,21鄰,仁福二街,,,,,,73之3號,121.255584006734,24.9413842597669
桃園市中壢區仁福里21鄰仁福二街73之1號,68,6800200,6800200-072,21鄰,仁福二街,,,,,,73之1號,121.255503987693,24.941427462433
桃園市中壢區仁福里21鄰仁福二街73之2號,68,6800200,6800200-072,21鄰,仁福二街,,,,,,73之2號,121.255538471859,24.9413914702895
桃園市中壢區仁福里21鄰仁福二街73之4號,68,6800200,6800200-072,21鄰,仁福二街,,,,,,73之4號,121.255598084193,24.9413442398298
桃園市中壢區仁福里21鄰仁福二街73之5號,68,6800200,6800200-072,21鄰,仁福二街,,,,,,73之5號,121.255651348446,24.9413398148317
桃園市中壢區仁福里21鄰仁福二街73之6號,68,6800200,6800200-072,21鄰,仁福二街,,,,,,73之6號,121.255673242558,24.9412968923908
桃園市中壢區仁福里21鄰仁福二街75號,68,6800200,6800200-072,21鄰,仁福二街,,,,,,75號,121.25543290077,24.941480490697
桃園市中壢區仁福里21鄰仁福二街77號,68,6800200,6800200-072,21鄰,仁福二街,,,,,,77號,121.255385283434,24.9414862601992
桃園市中壢區仁福里21鄰仁福二街79號,68,6800200,6800200-072,21鄰,仁福二街,,,,,,79號,121.255360049674,24.94144630765
桃園市中壢區仁福里21鄰仁福二街81號,68,6800200,6800200-072,21鄰,仁福二街,,,,,,81號,121.255312436999,24.9414543342198
桃園市中壢區仁福里21鄰仁福二街83號,68,6800200,6800200-072,21鄰,仁福二街,,,,,,83號,121.255287214805,24.9414199792434
桃園市中壢區仁福里21鄰仁福二街85號,68,6800200,6800200-072,21鄰,仁福二街,,,,,,85號,121.255242065937,24.9414223136806
