FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市楊梅區仁美里9鄰仁美路8巷1弄1號,68,6800400,6800400-018,9鄰,仁美路,,8巷,1弄,,,1號,121.186893566325,24.9216045434015
桃園市楊梅區仁美里9鄰仁美路8巷1弄2號,68,6800400,6800400-018,9鄰,仁美路,,8巷,1弄,,,2號,121.186806618667,24.9215251117436
桃園市楊梅區仁美里9鄰仁美路8巷1弄3號,68,6800400,6800400-018,9鄰,仁美路,,8巷,1弄,,,3號,121.186911051647,24.9215788806958
桃園市楊梅區仁美里9鄰仁美路8巷1弄5號,68,6800400,6800400-018,9鄰,仁美路,,8巷,1弄,,,5號,121.186935662905,24.9215515839339
桃園市楊梅區仁美里9鄰仁美路8巷1弄6號,68,6800400,6800400-018,9鄰,仁美路,,8巷,1弄,,,6號,121.186839659274,24.9215070134521
桃園市楊梅區仁美里9鄰仁美路8巷1弄7號,68,6800400,6800400-018,9鄰,仁美路,,8巷,1弄,,,7號,121.186956939005,24.9215448762079
桃園市楊梅區仁美里9鄰仁美路8巷1弄8號,68,6800400,6800400-018,9鄰,仁美路,,8巷,1弄,,,8號,121.186856736192,24.9214731353776
桃園市楊梅區仁美里9鄰仁美路8巷1弄9號,68,6800400,6800400-018,9鄰,仁美路,,8巷,1弄,,,9號,121.186986799985,24.9215191979755
桃園市楊梅區仁美里9鄰仁美路8巷1弄10號,68,6800400,6800400-018,9鄰,仁美路,,8巷,1弄,,,10號,121.186879054669,24.9214354587842
桃園市楊梅區仁美里9鄰仁美路8巷1弄11號,68,6800400,6800400-018,9鄰,仁美路,,8巷,1弄,,,11號,121.186919150133,24.9213685980202
桃園市楊梅區仁美里9鄰仁美路8巷1弄13號,68,6800400,6800400-018,9鄰,仁美路,,8巷,1弄,,,13號,121.186946150407,24.9213498752856
桃園市楊梅區仁美里9鄰仁美路8巷1弄15號,68,6800400,6800400-018,9鄰,仁美路,,8巷,1弄,,,15號,121.186993901207,24.921304221753
桃園市楊梅區仁美里9鄰仁美路8巷1弄17號,68,6800400,6800400-018,9鄰,仁美路,,8巷,1弄,,,17號,121.187002054649,24.9212617778273
桃園市楊梅區仁美里9鄰仁美路8巷1弄19號,68,6800400,6800400-018,9鄰,仁美路,,8巷,1弄,,,19號,121.187030790406,24.9212121756121
桃園市楊梅區仁美里9鄰仁美路8巷17號,68,6800400,6800400-018,9鄰,仁美路,,8巷,,,,17號,121.186717005756,24.921385102493
桃園市楊梅區仁美里9鄰仁美路8巷18號,68,6800400,6800400-018,9鄰,仁美路,,8巷,,,,18號,121.186794639438,24.921656851787
桃園市楊梅區仁美里8鄰仁美路9號,68,6800400,6800400-018,8鄰,仁美路,,,,,,9號,121.1871141825,24.9218878502112
桃園市楊梅區仁美里9鄰仁美路10號,68,6800400,6800400-018,9鄰,仁美路,,,,,,10號,121.187082771203,24.9217391008324
桃園市楊梅區仁美里8鄰仁美路11巷1號,68,6800400,6800400-018,8鄰,仁美路,,11巷,,,,1號,121.187274241622,24.9218657101409
桃園市楊梅區仁美里8鄰仁美路11巷2號,68,6800400,6800400-018,8鄰,仁美路,,11巷,,,,2號,121.187362107082,24.9217659257119
桃園市楊梅區仁美里8鄰仁美路11巷3號,68,6800400,6800400-018,8鄰,仁美路,,11巷,,,,3號,121.187314768918,24.9218881400644
桃園市楊梅區仁美里8鄰仁美路11巷5號,68,6800400,6800400-018,8鄰,仁美路,,11巷,,,,5號,121.18736879116,24.921930505885
桃園市楊梅區仁美里8鄰仁美路11巷6號,68,6800400,6800400-018,8鄰,仁美路,,11巷,,,,6號,121.187411448182,24.9217898793699
桃園市楊梅區仁美里8鄰仁美路11巷7號,68,6800400,6800400-018,8鄰,仁美路,,11巷,,,,7號,121.187414553518,24.9219448036011
桃園市楊梅區仁美里8鄰仁美路11巷8號,68,6800400,6800400-018,8鄰,仁美路,,11巷,,,,8號,121.187469497023,24.9218106621073
桃園市楊梅區仁美里8鄰仁美路11巷9號,68,6800400,6800400-018,8鄰,仁美路,,11巷,,,,9號,121.18745854129,24.9219640691793
桃園市楊梅區仁美里8鄰仁美路11巷10號,68,6800400,6800400-018,8鄰,仁美路,,11巷,,,,10號,121.187525872481,24.9218378571233
桃園市楊梅區仁美里8鄰仁美路11巷11號,68,6800400,6800400-018,8鄰,仁美路,,11巷,,,,11號,121.187385795696,24.9220453263479
桃園市楊梅區仁美里8鄰仁美路11巷13號,68,6800400,6800400-018,8鄰,仁美路,,11巷,,,,13號,121.187366448668,24.9220838118401
桃園市楊梅區仁美里8鄰仁美路11巷15號,68,6800400,6800400-018,8鄰,仁美路,,11巷,,,,15號,121.187516897586,24.9221226255937
桃園市楊梅區仁美里8鄰仁美路11巷17號,68,6800400,6800400-018,8鄰,仁美路,,11巷,,,,17號,121.187537005348,24.9220634639848
桃園市楊梅區仁美里8鄰仁美路11巷19號,68,6800400,6800400-018,8鄰,仁美路,,11巷,,,,19號,121.187554560382,24.9220184802437
桃園市楊梅區仁美里8鄰仁美路11巷21號,68,6800400,6800400-018,8鄰,仁美路,,11巷,,,,21號,121.187589728872,24.9219671544297
桃園市楊梅區仁美里8鄰仁美路11巷23號,68,6800400,6800400-018,8鄰,仁美路,,11巷,,,,23號,121.187618464282,24.9219173715379
桃園市楊梅區仁美里8鄰仁美路11巷25號,68,6800400,6800400-018,8鄰,仁美路,,11巷,,,,25號,121.187639571311,24.9218643479997
桃園市楊梅區仁美里8鄰仁美路11巷27號,68,6800400,6800400-018,8鄰,仁美路,,11巷,,,,27號,121.187664044651,24.921811410506
桃園市楊梅區仁美里8鄰仁美路11巷29號,68,6800400,6800400-018,8鄰,仁美路,,11巷,,,,29號,121.187700864015,24.9217388657387
桃園市楊梅區仁美里8鄰仁美路11巷31號,68,6800400,6800400-018,8鄰,仁美路,,11巷,,,,31號,121.187718298068,24.9216794366153
桃園市楊梅區仁美里8鄰仁美路11巷33號,68,6800400,6800400-018,8鄰,仁美路,,11巷,,,,33號,121.1877217603,24.9216120800477
桃園市楊梅區仁美里8鄰仁美路11巷35號,68,6800400,6800400-018,8鄰,仁美路,,11巷,,,,35號,121.187730506178,24.9215687324944
桃園市楊梅區仁美里8鄰仁美路11巷37號,68,6800400,6800400-018,8鄰,仁美路,,11巷,,,,37號,121.187728653683,24.9215222383281
桃園市楊梅區仁美里8鄰仁美路11巷39號,68,6800400,6800400-018,8鄰,仁美路,,11巷,,,,39號,121.187740855035,24.9214724762262
桃園市楊梅區仁美里9鄰仁美路12號,68,6800400,6800400-018,9鄰,仁美路,,,,,,12號,121.187082720392,24.9217054247913
桃園市楊梅區仁美里9鄰仁美路16號,68,6800400,6800400-018,9鄰,仁美路,,,,,,16號,121.187089696524,24.9216701148129
桃園市楊梅區仁美里9鄰仁美路18號,68,6800400,6800400-018,9鄰,仁美路,,,,,,18號,121.187096665431,24.9216300197664
桃園市楊梅區仁美里9鄰仁美路20號,68,6800400,6800400-018,9鄰,仁美路,,,,,,20號,121.187103655996,24.9216042799222
