FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市觀音區保障里8鄰保障六路289號,68,6801200,6801200-020,8鄰,保障六路,,,,,,289號,121.135725307341,25.0678225716803
桃園市觀音區保障里8鄰保障六路307巷6號,68,6801200,6801200-020,8鄰,保障六路,,307巷,,,,6號,121.137363318356,25.0689802064912
桃園市觀音區保障里8鄰保障六路307巷8號,68,6801200,6801200-020,8鄰,保障六路,,307巷,,,,8號,121.137118893526,25.0689936137278
桃園市觀音區保障里8鄰保障六路317巷2號,68,6801200,6801200-020,8鄰,保障六路,,317巷,,,,2號,121.137337842773,25.0688906694997
桃園市觀音區保障里8鄰保障六路317巷8號,68,6801200,6801200-020,8鄰,保障六路,,317巷,,,,8號,121.137363318356,25.0689802064912
桃園市觀音區保障里8鄰保障六路317巷10號,68,6801200,6801200-020,8鄰,保障六路,,317巷,,,,10號,121.137418820373,25.0691512410743
桃園市觀音區保障里8鄰保障六路330號,68,6801200,6801200-020,8鄰,保障六路,,,,,,330號,121.13596175539,25.0676788056268
桃園市觀音區保障里8鄰保障六路382號,68,6801200,6801200-020,8鄰,保障六路,,,,,,382號,121.136954858757,25.0684726526649
桃園市觀音區保障里8鄰保障六路396號,68,6801200,6801200-020,8鄰,保障六路,,,,,,396號,121.137194242435,25.0689177968307
桃園市觀音區保障里8鄰保障六路398號,68,6801200,6801200-020,8鄰,保障六路,,,,,,398號,121.137363318356,25.0689802064912
桃園市觀音區保障里8鄰保障六路400號,68,6801200,6801200-020,8鄰,保障六路,,,,,,400號,121.137363318356,25.0689802064912
桃園市觀音區保障里8鄰保障六路416號,68,6801200,6801200-020,8鄰,保障六路,,,,,,416號,121.137363318356,25.0689802064912
桃園市觀音區草漯里15鄰保障六路199號,68,6801200,6801200-021,15鄰,保障六路,,,,,,199號,121.134198930323,25.066293393974
