FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市中壢區福德里20鄰光華二街1號,68,6800200,6800200-058,20鄰,光華二街,,,,,,1號,121.258460077804,24.9781419270028
桃園市中壢區福德里20鄰光華二街2號,68,6800200,6800200-058,20鄰,光華二街,,,,,,2號,121.258307434687,24.9779018572795
桃園市中壢區福德里20鄰光華二街2號二樓,68,6800200,6800200-058,20鄰,光華二街,,,,,,2號二樓,121.258307434687,24.9779018572795
桃園市中壢區福德里20鄰光華二街2號三樓,68,6800200,6800200-058,20鄰,光華二街,,,,,,2號三樓,121.258307434687,24.9779018572795
桃園市中壢區福德里20鄰光華二街2號四樓,68,6800200,6800200-058,20鄰,光華二街,,,,,,2號四樓,121.258307434687,24.9779018572795
桃園市中壢區福德里20鄰光華二街4號,68,6800200,6800200-058,20鄰,光華二街,,,,,,4號,121.258384974622,24.9779413571659
桃園市中壢區福德里20鄰光華二街4號二樓,68,6800200,6800200-058,20鄰,光華二街,,,,,,4號二樓,121.258384974622,24.9779413571659
桃園市中壢區福德里20鄰光華二街4號三樓,68,6800200,6800200-058,20鄰,光華二街,,,,,,4號三樓,121.258384974622,24.9779413571659
桃園市中壢區福德里20鄰光華二街4號四樓,68,6800200,6800200-058,20鄰,光華二街,,,,,,4號四樓,121.258384974622,24.9779413571659
桃園市中壢區福德里20鄰光華二街6號,68,6800200,6800200-058,20鄰,光華二街,,,,,,6號,121.258476048242,24.9779634990806
桃園市中壢區福德里20鄰光華二街6號二樓,68,6800200,6800200-058,20鄰,光華二街,,,,,,6號二樓,121.258476048242,24.9779634990806
桃園市中壢區福德里20鄰光華二街6號三樓,68,6800200,6800200-058,20鄰,光華二街,,,,,,6號三樓,121.258476048242,24.9779634990806
桃園市中壢區福德里20鄰光華二街6號四樓,68,6800200,6800200-058,20鄰,光華二街,,,,,,6號四樓,121.258476048242,24.9779634990806
桃園市中壢區福德里20鄰光華二街8號,68,6800200,6800200-058,20鄰,光華二街,,,,,,8號,121.258539969331,24.9779795488225
桃園市中壢區福德里20鄰光華二街8號二樓,68,6800200,6800200-058,20鄰,光華二街,,,,,,8號二樓,121.258539969331,24.9779795488225
桃園市中壢區福德里20鄰光華二街8號三樓,68,6800200,6800200-058,20鄰,光華二街,,,,,,8號三樓,121.258539969331,24.9779795488225
桃園市中壢區福德里20鄰光華二街8號四樓,68,6800200,6800200-058,20鄰,光華二街,,,,,,8號四樓,121.258539969331,24.9779795488225
