FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市中壢區普強里15鄰利民路1號,68,6800200,6800200-061,15鄰,利民路,,,,,,1號,121.237623659422,24.9522878726922
桃園市中壢區普強里9鄰利民路2號,68,6800200,6800200-061,9鄰,利民路,,,,,,2號,121.237621058307,24.9519129277862
桃園市中壢區普強里15鄰利民路3號,68,6800200,6800200-061,15鄰,利民路,,,,,,3號,121.237664854121,24.95223535203
桃園市中壢區普強里15鄰利民路5號,68,6800200,6800200-061,15鄰,利民路,,,,,,5號,121.237700833839,24.9522003547547
桃園市中壢區普強里15鄰利民路13號,68,6800200,6800200-061,15鄰,利民路,,,,,,13號,121.237822134939,24.9520401780802
桃園市中壢區普強里15鄰利民路15號,68,6800200,6800200-061,15鄰,利民路,,,,,,15號,121.237851375871,24.9520027538604
桃園市中壢區普強里15鄰利民路21號,68,6800200,6800200-061,15鄰,利民路,,,,,,21號,121.237940785148,24.9518405514725
桃園市中壢區普強里15鄰利民路21之1號,68,6800200,6800200-061,15鄰,利民路,,,,,,21之1號,121.238093986153,24.9519446748956
桃園市中壢區普強里15鄰利民路21號六樓,68,6800200,6800200-061,15鄰,利民路,,,,,,21號六樓,121.237940785148,24.9518405514725
桃園市中壢區普強里15鄰利民路21號四樓,68,6800200,6800200-061,15鄰,利民路,,,,,,21號四樓,121.237940785148,24.9518405514725
桃園市中壢區普強里15鄰利民路21之1號三樓,68,6800200,6800200-061,15鄰,利民路,,,,,,21之1號三樓,121.238093986153,24.9519446748956
桃園市中壢區普強里15鄰利民路21號五樓,68,6800200,6800200-061,15鄰,利民路,,,,,,21號五樓,121.237940785148,24.9518405514725
桃園市中壢區普強里15鄰利民路21之1號二樓,68,6800200,6800200-061,15鄰,利民路,,,,,,21之1號二樓,121.238093986153,24.9519446748956
桃園市中壢區普強里15鄰利民路21之1號七樓,68,6800200,6800200-061,15鄰,利民路,,,,,,21之1號七樓,121.238093986153,24.9519446748956
桃園市中壢區普強里15鄰利民路21之1號五樓,68,6800200,6800200-061,15鄰,利民路,,,,,,21之1號五樓,121.238093986153,24.9519446748956
桃園市中壢區普強里15鄰利民路21之1號六樓,68,6800200,6800200-061,15鄰,利民路,,,,,,21之1號六樓,121.238093986153,24.9519446748956
桃園市中壢區普強里15鄰利民路21之1號四樓,68,6800200,6800200-061,15鄰,利民路,,,,,,21之1號四樓,121.238093986153,24.9519446748956
桃園市中壢區普強里15鄰利民路21號七樓,68,6800200,6800200-061,15鄰,利民路,,,,,,21號七樓,121.237940785148,24.9518405514725
桃園市中壢區普強里15鄰利民路21號二樓,68,6800200,6800200-061,15鄰,利民路,,,,,,21號二樓,121.237940785148,24.9518405514725
桃園市中壢區普強里15鄰利民路21號三樓,68,6800200,6800200-061,15鄰,利民路,,,,,,21號三樓,121.237940785148,24.9518405514725
桃園市中壢區普強里15鄰利民路23號,68,6800200,6800200-061,15鄰,利民路,,,,,,23號,121.237976257208,24.9517991447833
桃園市中壢區普強里15鄰利民路23之1號,68,6800200,6800200-061,15鄰,利民路,,,,,,23之1號,121.23811826544,24.9519020220868
桃園市中壢區普強里15鄰利民路23號二樓,68,6800200,6800200-061,15鄰,利民路,,,,,,23號二樓,121.237976257208,24.9517991447833
桃園市中壢區普強里15鄰利民路23號三樓,68,6800200,6800200-061,15鄰,利民路,,,,,,23號三樓,121.237976257208,24.9517991447833
桃園市中壢區普強里15鄰利民路23號四樓,68,6800200,6800200-061,15鄰,利民路,,,,,,23號四樓,121.237976257208,24.9517991447833
桃園市中壢區普強里15鄰利民路23號五樓,68,6800200,6800200-061,15鄰,利民路,,,,,,23號五樓,121.237976257208,24.9517991447833
桃園市中壢區普強里15鄰利民路23號六樓,68,6800200,6800200-061,15鄰,利民路,,,,,,23號六樓,121.237976257208,24.9517991447833
桃園市中壢區普強里15鄰利民路23號七樓,68,6800200,6800200-061,15鄰,利民路,,,,,,23號七樓,121.237976257208,24.9517991447833
桃園市中壢區普強里15鄰利民路23之1號二樓,68,6800200,6800200-061,15鄰,利民路,,,,,,23之1號二樓,121.23811826544,24.9519020220868
桃園市中壢區普強里15鄰利民路23之1號四樓,68,6800200,6800200-061,15鄰,利民路,,,,,,23之1號四樓,121.23811826544,24.9519020220868
桃園市中壢區普強里15鄰利民路23之1號五樓,68,6800200,6800200-061,15鄰,利民路,,,,,,23之1號五樓,121.23811826544,24.9519020220868
桃園市中壢區普強里15鄰利民路23之1號六樓,68,6800200,6800200-061,15鄰,利民路,,,,,,23之1號六樓,121.23811826544,24.9519020220868
桃園市中壢區普強里15鄰利民路23之1號七樓,68,6800200,6800200-061,15鄰,利民路,,,,,,23之1號七樓,121.23811826544,24.9519020220868
桃園市中壢區普強里15鄰利民路23之1號三樓,68,6800200,6800200-061,15鄰,利民路,,,,,,23之1號三樓,121.23811826544,24.9519020220868
桃園市中壢區普強里15鄰利民路25號,68,6800200,6800200-061,15鄰,利民路,,,,,,25號,121.23800293039,24.9517654262751
桃園市中壢區普強里15鄰利民路25之1號七樓,68,6800200,6800200-061,15鄰,利民路,,,,,,25之1號七樓,121.238149982851,24.9518650452695
桃園市中壢區普強里15鄰利民路25之1號二樓,68,6800200,6800200-061,15鄰,利民路,,,,,,25之1號二樓,121.238149982851,24.9518650452695
桃園市中壢區普強里15鄰利民路25之1號五樓,68,6800200,6800200-061,15鄰,利民路,,,,,,25之1號五樓,121.238149982851,24.9518650452695
桃園市中壢區普強里15鄰利民路25之1號六樓,68,6800200,6800200-061,15鄰,利民路,,,,,,25之1號六樓,121.238149982851,24.9518650452695
桃園市中壢區普強里15鄰利民路25之1號四樓,68,6800200,6800200-061,15鄰,利民路,,,,,,25之1號四樓,121.238149982851,24.9518650452695
桃園市中壢區普強里15鄰利民路25號七樓,68,6800200,6800200-061,15鄰,利民路,,,,,,25號七樓,121.23800293039,24.9517654262751
桃園市中壢區普強里15鄰利民路25號二樓,68,6800200,6800200-061,15鄰,利民路,,,,,,25號二樓,121.23800293039,24.9517654262751
桃園市中壢區普強里15鄰利民路25號三樓,68,6800200,6800200-061,15鄰,利民路,,,,,,25號三樓,121.23800293039,24.9517654262751
桃園市中壢區普強里15鄰利民路25號五樓,68,6800200,6800200-061,15鄰,利民路,,,,,,25號五樓,121.23800293039,24.9517654262751
桃園市中壢區普強里15鄰利民路25之1號一樓,68,6800200,6800200-061,15鄰,利民路,,,,,,25之1號一樓,121.238149982851,24.9518650452695
桃園市中壢區普強里15鄰利民路25之1號三樓,68,6800200,6800200-061,15鄰,利民路,,,,,,25之1號三樓,121.238149982851,24.9518650452695
桃園市中壢區普強里15鄰利民路25號四樓,68,6800200,6800200-061,15鄰,利民路,,,,,,25號四樓,121.23800293039,24.9517654262751
桃園市中壢區普強里15鄰利民路25號六樓,68,6800200,6800200-061,15鄰,利民路,,,,,,25號六樓,121.23800293039,24.9517654262751
桃園市中壢區普強里15鄰利民路27號,68,6800200,6800200-061,15鄰,利民路,,,,,,27號,121.238044740627,24.9517241900112
