FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市八德區大湳里3鄰和義一街2號,68,6800800,6800800-014,3鄰,和義一街,,,,,,2號,121.307840603651,24.9582819897886
桃園市八德區大湳里3鄰和義一街8巷2號,68,6800800,6800800-014,3鄰,和義一街,,8巷,,,,2號,121.307864223109,24.9583416183552
桃園市八德區大湳里3鄰和義一街8巷3號,68,6800800,6800800-014,3鄰,和義一街,,8巷,,,,3號,121.307861492347,24.9584382273303
桃園市八德區大湳里3鄰和義一街8巷6號,68,6800800,6800800-014,3鄰,和義一街,,8巷,,,,6號,121.307913979702,24.9583582179468
桃園市八德區大湳里3鄰和義一街8巷8號,68,6800800,6800800-014,3鄰,和義一街,,8巷,,,,8號,121.307950757016,24.9583724969869
桃園市八德區大湳里3鄰和義一街8巷10號,68,6800800,6800800-014,3鄰,和義一街,,8巷,,,,10號,121.307997740681,24.9583891022834
桃園市八德區大湳里3鄰和義一街8巷12號,68,6800800,6800800-014,3鄰,和義一街,,8巷,,,,12號,121.308042347541,24.9584057124806
桃園市八德區大湳里3鄰和義一街8巷16號,68,6800800,6800800-014,3鄰,和義一街,,8巷,,,,16號,121.308081606802,24.958422424009
桃園市八德區大湳里3鄰和義一街8巷18號,68,6800800,6800800-014,3鄰,和義一街,,8巷,,,,18號,121.308126417597,24.9584413811295
桃園市八德區大湳里3鄰和義一街8巷20號,68,6800800,6800800-014,3鄰,和義一街,,8巷,,,,20號,121.308168251765,24.958458087308
桃園市八德區大湳里3鄰和義一街8巷22號,68,6800800,6800800-014,3鄰,和義一街,,8巷,,,,22號,121.308210382822,24.9584747025768
桃園市八德區大湳里3鄰和義一街8巷26號,68,6800800,6800800-014,3鄰,和義一街,,8巷,,,,26號,121.308262930454,24.9584985189539
桃園市八德區大湳里29鄰和義一街11號,68,6800800,6800800-014,29鄰,和義一街,,,,,,11號,121.307600384853,24.9585765393991
桃園市八德區大湳里3鄰和義一街12號,68,6800800,6800800-014,3鄰,和義一街,,,,,,12號,121.307840928051,24.9584920787919
桃園市八德區大湳里29鄰和義一街13號,68,6800800,6800800-014,29鄰,和義一街,,,,,,13號,121.307605752123,24.9586241979948
桃園市八德區大湳里29鄰和義一街15號,68,6800800,6800800-014,29鄰,和義一街,,,,,,15號,121.307605774689,24.958673131597
桃園市八德區大湳里3鄰和義一街16號,68,6800800,6800800-014,3鄰,和義一街,,,,,,16號,121.307846313596,24.9585470503033
桃園市八德區大湳里29鄰和義一街17號,68,6800800,6800800-014,29鄰,和義一街,,,,,,17號,121.307605905264,24.9587256763152
桃園市八德區大湳里3鄰和義一街18號,68,6800800,6800800-014,3鄰,和義一街,,,,,,18號,121.307849141546,24.9586089789287
桃園市八德區大湳里29鄰和義一街19號,68,6800800,6800800-014,29鄰,和義一街,,,,,,19號,121.307608712907,24.9587794794729
桃園市八德區大湳里29鄰和義一街21號,68,6800800,6800800-014,29鄰,和義一街,,,,,,21號,121.307611424211,24.958834366231
桃園市八德區大湳里29鄰和義一街23號,68,6800800,6800800-014,29鄰,和義一街,,,,,,23號,121.307611566681,24.958891695948
桃園市八德區大湳里29鄰和義一街25號,68,6800800,6800800-014,29鄰,和義一街,,,,,,25號,121.307614371414,24.9589443254252
桃園市八德區大湳里29鄰和義一街27號,68,6800800,6800800-014,29鄰,和義一街,,,,,,27號,121.307619762714,24.9590016443007
