FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市龜山區嶺頂里24鄰國園三街1號,68,6800700,6800700-016,24鄰,國園三街,,,,,,1號,121.368392094308,25.0032960712714
桃園市龜山區嶺頂里24鄰國園三街2號,68,6800700,6800700-016,24鄰,國園三街,,,,,,2號,121.368547443492,25.0033649331887
桃園市龜山區嶺頂里24鄰國園三街3號,68,6800700,6800700-016,24鄰,國園三街,,,,,,3號,121.368431901853,25.0032566094739
桃園市龜山區嶺頂里24鄰國園三街4號,68,6800700,6800700-016,24鄰,國園三街,,,,,,4號,121.36864615725,25.0032455155749
桃園市龜山區嶺頂里24鄰國園三街5號,68,6800700,6800700-016,24鄰,國園三街,,,,,,5號,121.368534182132,25.0031371830987
桃園市龜山區嶺頂里24鄰國園三街6號,68,6800700,6800700-016,24鄰,國園三街,,,,,,6號,121.36867615684,25.0032060780195
桃園市龜山區嶺頂里24鄰國園三街7號,68,6800700,6800700-016,24鄰,國園三街,,,,,,7號,121.368568167664,25.0031054999909
桃園市龜山區嶺頂里24鄰國園三街8號,68,6800700,6800700-016,24鄰,國園三街,,,,,,8號,121.368717925979,25.0031600206559
桃園市龜山區嶺頂里24鄰國園三街9號,68,6800700,6800700-016,24鄰,國園三街,,,,,,9號,121.368602197833,25.0030555796834
桃園市龜山區嶺頂里24鄰國園三街10號,68,6800700,6800700-016,24鄰,國園三街,,,,,,10號,121.368769216509,25.0031175509794
桃園市龜山區嶺頂里24鄰國園三街11號,68,6800700,6800700-016,24鄰,國園三街,,,,,,11號,121.3686561476,25.003007867066
桃園市龜山區嶺頂里24鄰國園三街12號,68,6800700,6800700-016,24鄰,國園三街,,,,,,12號,121.368997700964,25.0028951600654
桃園市龜山區嶺頂里24鄰國園三街13號,68,6800700,6800700-016,24鄰,國園三街,,,,,,13號,121.368687148599,25.002972038329
桃園市龜山區嶺頂里24鄰國園三街14號,68,6800700,6800700-016,24鄰,國園三街,,,,,,14號,121.369039787582,25.0028559633001
桃園市龜山區嶺頂里24鄰國園三街15號,68,6800700,6800700-016,24鄰,國園三街,,,,,,15號,121.368871549031,25.0027835225493
桃園市龜山區嶺頂里24鄰國園三街16號,68,6800700,6800700-016,24鄰,國園三街,,,,,,16號,121.36908056281,25.0028089151923
桃園市龜山區嶺頂里24鄰國園三街17號,68,6800700,6800700-016,24鄰,國園三街,,,,,,17號,121.368910956208,25.0027427976604
桃園市龜山區嶺頂里24鄰國園三街18號,68,6800700,6800700-016,24鄰,國園三街,,,,,,18號,121.369110240941,25.0027614431971
桃園市龜山區嶺頂里24鄰國園三街19號,68,6800700,6800700-016,24鄰,國園三街,,,,,,19號,121.368950080714,25.0027069487217
桃園市龜山區嶺頂里24鄰國園三街20號,68,6800700,6800700-016,24鄰,國園三街,,,,,,20號,121.369238103654,25.0026498977245
桃園市龜山區嶺頂里24鄰國園三街21號,68,6800700,6800700-016,24鄰,國園三街,,,,,,21號,121.368995217923,25.0026608829257
桃園市龜山區嶺頂里24鄰國園三街22號,68,6800700,6800700-016,24鄰,國園三街,,,,,,22號,121.369270962142,25.0026058485408
桃園市龜山區嶺頂里24鄰國園三街23號,68,6800700,6800700-016,24鄰,國園三街,,,,,,23號,121.369123871839,25.0025488841743
桃園市龜山區嶺頂里24鄰國園三街25號,68,6800700,6800700-016,24鄰,國園三街,,,,,,25號,121.369155968818,25.002515219402
