FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市桃園區龍鳳里18鄰國豐二街3號,68,6800100,6800100-059,18鄰,國豐二街,,,,,,3號,121.280692603545,24.9893293893503
桃園市桃園區龍鳳里18鄰國豐二街5號,68,6800100,6800100-059,18鄰,國豐二街,,,,,,5號,121.280636550231,24.9893793314267
桃園市桃園區龍鳳里18鄰國豐二街5之1號七樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,5之1號七樓,121.280475334947,24.9894029284504
桃園市桃園區龍鳳里18鄰國豐二街5號三樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,5號三樓,121.280636550231,24.9893793314267
桃園市桃園區龍鳳里18鄰國豐二街5之2號四樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,5之2號四樓,121.280475334947,24.9894029284504
桃園市桃園區龍鳳里18鄰國豐二街5之1號二樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,5之1號二樓,121.280475334947,24.9894029284504
桃園市桃園區龍鳳里18鄰國豐二街5之1號八樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,5之1號八樓,121.280475334947,24.9894029284504
桃園市桃園區龍鳳里18鄰國豐二街5之1號三樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,5之1號三樓,121.280475334947,24.9894029284504
桃園市桃園區龍鳳里18鄰國豐二街5之1號五樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,5之1號五樓,121.280475334947,24.9894029284504
桃園市桃園區龍鳳里18鄰國豐二街5之1號六樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,5之1號六樓,121.280475334947,24.9894029284504
桃園市桃園區龍鳳里18鄰國豐二街5之1號四樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,5之1號四樓,121.280475334947,24.9894029284504
桃園市桃園區龍鳳里18鄰國豐二街5之2號二樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,5之2號二樓,121.280475334947,24.9894029284504
桃園市桃園區龍鳳里18鄰國豐二街5之2號三樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,5之2號三樓,121.280475334947,24.9894029284504
桃園市桃園區龍鳳里18鄰國豐二街5之2號五樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,5之2號五樓,121.280475334947,24.9894029284504
桃園市桃園區龍鳳里18鄰國豐二街5號七樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,5號七樓,121.280636550231,24.9893793314267
桃園市桃園區龍鳳里18鄰國豐二街5號二樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,5號二樓,121.280636550231,24.9893793314267
桃園市桃園區龍鳳里18鄰國豐二街5號八樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,5號八樓,121.280636550231,24.9893793314267
桃園市桃園區龍鳳里18鄰國豐二街5號五樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,5號五樓,121.280636550231,24.9893793314267
桃園市桃園區龍鳳里18鄰國豐二街5號六樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,5號六樓,121.280636550231,24.9893793314267
桃園市桃園區龍鳳里18鄰國豐二街5號四樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,5號四樓,121.280636550231,24.9893793314267
桃園市桃園區龍鳳里18鄰國豐二街6號,68,6800100,6800100-059,18鄰,國豐二街,,,,,,6號,121.281005601454,24.9896648328921
桃園市桃園區龍鳳里18鄰國豐二街7號,68,6800100,6800100-059,18鄰,國豐二街,,,,,,7號,121.280610056241,24.9894467326963
桃園市桃園區龍鳳里18鄰國豐二街7之1號三樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,7之1號三樓,121.280458310596,24.9894527066102
桃園市桃園區龍鳳里18鄰國豐二街7號二樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,7號二樓,121.280610056241,24.9894467326963
桃園市桃園區龍鳳里18鄰國豐二街7之1號四樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,7之1號四樓,121.280458310596,24.9894527066102
桃園市桃園區龍鳳里18鄰國豐二街7之2號二樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,7之2號二樓,121.280458310596,24.9894527066102
桃園市桃園區龍鳳里18鄰國豐二街7之2號三樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,7之2號三樓,121.280458310596,24.9894527066102
桃園市桃園區龍鳳里18鄰國豐二街7之2號五樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,7之2號五樓,121.280458310596,24.9894527066102
桃園市桃園區龍鳳里18鄰國豐二街7之2號四樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,7之2號四樓,121.280458310596,24.9894527066102
桃園市桃園區龍鳳里18鄰國豐二街7號七樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,7號七樓,121.280610056241,24.9894467326963
桃園市桃園區龍鳳里18鄰國豐二街7號八樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,7號八樓,121.280610056241,24.9894467326963
桃園市桃園區龍鳳里18鄰國豐二街7號三樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,7號三樓,121.280610056241,24.9894467326963
桃園市桃園區龍鳳里18鄰國豐二街7號五樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,7號五樓,121.280610056241,24.9894467326963
桃園市桃園區龍鳳里18鄰國豐二街7號六樓,68,6800100,6800100-059,18鄰,國豐二街,,,,,,7號六樓,121.280610056241,24.9894467326963
