FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市龜山區兔坑里15鄰大棟山路51號,68,6800700,6800700-003,15鄰,大棟山路,,,,,,51號,121.370023924838,24.9897149547881
桃園市龜山區兔坑里15鄰大棟山路52巷27號,68,6800700,6800700-003,15鄰,大棟山路,,52巷,,,,27號,121.371135982554,24.9899193842521
桃園市龜山區兔坑里15鄰大棟山路52巷28號,68,6800700,6800700-003,15鄰,大棟山路,,52巷,,,,28號,121.370951959729,24.9896321120587
桃園市龜山區兔坑里15鄰大棟山路52巷29號,68,6800700,6800700-003,15鄰,大棟山路,,52巷,,,,29號,121.371256219094,24.9900111727
桃園市龜山區兔坑里15鄰大棟山路52巷30號,68,6800700,6800700-003,15鄰,大棟山路,,52巷,,,,30號,121.371015314238,24.9896836861162
桃園市龜山區兔坑里15鄰大棟山路101號,68,6800700,6800700-003,15鄰,大棟山路,,,,,,101號,121.370765001301,24.9908096841199
桃園市龜山區兔坑里15鄰大棟山路111號,68,6800700,6800700-003,15鄰,大棟山路,,,,,,111號,121.372720975355,24.9920033907112
桃園市龜山區兔坑里16鄰大棟山路112號,68,6800700,6800700-003,16鄰,大棟山路,,,,,,112號,121.373923288068,24.9912206929427
桃園市龜山區兔坑里16鄰大棟山路275號,68,6800700,6800700-003,16鄰,大棟山路,,,,,,275號,121.375053088295,24.99227090669
桃園市龜山區兔坑里16鄰大棟山路277號,68,6800700,6800700-003,16鄰,大棟山路,,,,,,277號,121.375133966272,24.9922854188838
桃園市龜山區兔坑里16鄰大棟山路278號,68,6800700,6800700-003,16鄰,大棟山路,,,,,,278號,121.375566129973,24.9922069564751
桃園市龜山區兔坑里16鄰大棟山路297之1號,68,6800700,6800700-003,16鄰,大棟山路,,,,,,297之1號,121.375924845249,24.9925049765306
桃園市龜山區兔坑里16鄰大棟山路297號,68,6800700,6800700-003,16鄰,大棟山路,,,,,,297號,121.375910409105,24.9924160845817
桃園市龜山區兔坑里16鄰大棟山路297之2號,68,6800700,6800700-003,16鄰,大棟山路,,,,,,297之2號,121.375997943737,24.9925020833531
桃園市龜山區兔坑里16鄰大棟山路299號,68,6800700,6800700-003,16鄰,大棟山路,,,,,,299號,121.376039929776,24.9924968311392
桃園市龜山區兔坑里16鄰大棟山路303號,68,6800700,6800700-003,16鄰,大棟山路,,,,,,303號,121.376092519691,24.9924929966344
桃園市龜山區兔坑里16鄰大棟山路305號,68,6800700,6800700-003,16鄰,大棟山路,,,,,,305號,121.376155288388,24.9924811012227
桃園市龜山區兔坑里16鄰大棟山路306號,68,6800700,6800700-003,16鄰,大棟山路,,,,,,306號,121.376972744526,24.9922219074483
桃園市龜山區兔坑里16鄰大棟山路307號,68,6800700,6800700-003,16鄰,大棟山路,,,,,,307號,121.376225799187,24.992474242038
桃園市龜山區兔坑里16鄰大棟山路315之1號,68,6800700,6800700-003,16鄰,大棟山路,,,,,,315之1號,121.376383528017,24.9925143800543
桃園市龜山區兔坑里16鄰大棟山路315號,68,6800700,6800700-003,16鄰,大棟山路,,,,,,315號,121.37669034514,24.9923922637444
桃園市龜山區兔坑里16鄰大棟山路355號,68,6800700,6800700-003,16鄰,大棟山路,,,,,,355號,121.37735630888,24.992092011573
桃園市龜山區兔坑里16鄰大棟山路372號,68,6800700,6800700-003,16鄰,大棟山路,,,,,,372號,121.376853141372,24.9914302509031
桃園市龜山區兔坑里16鄰大棟山路385號,68,6800700,6800700-003,16鄰,大棟山路,,,,,,385號,121.377171241937,24.9910463755831
桃園市龜山區兔坑里16鄰大棟山路388號,68,6800700,6800700-003,16鄰,大棟山路,,,,,,388號,121.376978838102,24.9908420117671
桃園市龜山區兔坑里16鄰大棟山路389號,68,6800700,6800700-003,16鄰,大棟山路,,,,,,389號,121.377471053746,24.9912592241287
桃園市龜山區兔坑里16鄰大棟山路465之1號,68,6800700,6800700-003,16鄰,大棟山路,,,,,,465之1號,121.378154392165,24.9926903650565
桃園市龜山區兔坑里16鄰大棟山路465號,68,6800700,6800700-003,16鄰,大棟山路,,,,,,465號,121.378099312266,24.992430761861
桃園市龜山區兔坑里17鄰大棟山路502號,68,6800700,6800700-003,17鄰,大棟山路,,,,,,502號,121.379674186592,24.9927848125982
桃園市龜山區兔坑里17鄰大棟山路502號二樓,68,6800700,6800700-003,17鄰,大棟山路,,,,,,502號二樓,121.379674186592,24.9927848125982
桃園市龜山區兔坑里17鄰大棟山路502號三樓,68,6800700,6800700-003,17鄰,大棟山路,,,,,,502號三樓,121.379674186592,24.9927848125982
桃園市龜山區兔坑里17鄰大棟山路552號,68,6800700,6800700-003,17鄰,大棟山路,,,,,,552號,121.380649652852,24.9933017162518
桃園市龜山區兔坑里17鄰大棟山路558號,68,6800700,6800700-003,17鄰,大棟山路,,,,,,558號,121.380882972539,24.9934074720966
