FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市大溪區康安里13鄰安和路1號,68,6800300,6800300-011,13鄰,安和路,,,,,,1號,121.281009248171,24.8572987493824
桃園市大溪區康安里14鄰安和路7號,68,6800300,6800300-011,14鄰,安和路,,,,,,7號,121.281187736417,24.8570252115746
桃園市大溪區康安里14鄰安和路9號,68,6800300,6800300-011,14鄰,安和路,,,,,,9號,121.281239916411,24.8569953193492
桃園市大溪區康安里14鄰安和路11號,68,6800300,6800300-011,14鄰,安和路,,,,,,11號,121.281272519266,24.8569286277478
桃園市大溪區康安里14鄰安和路17號,68,6800300,6800300-011,14鄰,安和路,,,,,,17號,121.281365784146,24.8570384190663
桃園市大溪區康安里14鄰安和路19號,68,6800300,6800300-011,14鄰,安和路,,,,,,19號,121.281380653138,24.8569186733494
桃園市大溪區康安里14鄰安和路21號,68,6800300,6800300-011,14鄰,安和路,,,,,,21號,121.281411874974,24.8568976684534
桃園市大溪區康安里14鄰安和路23號,68,6800300,6800300-011,14鄰,安和路,,,,,,23號,121.281454086126,24.8568790805382
桃園市大溪區康安里14鄰安和路25號,68,6800300,6800300-011,14鄰,安和路,,,,,,25號,121.281488075156,24.8568565355704
桃園市大溪區康安里14鄰安和路27號,68,6800300,6800300-011,14鄰,安和路,,,,,,27號,121.281523952255,24.8568375081461
桃園市大溪區康安里14鄰安和路29巷1號,68,6800300,6800300-011,14鄰,安和路,,29巷,,,,1號,121.281575485557,24.8570028128684
桃園市大溪區康安里14鄰安和路29巷2號,68,6800300,6800300-011,14鄰,安和路,,29巷,,,,2號,121.2815320943,24.8570246532963
桃園市大溪區康安里14鄰安和路29巷3號,68,6800300,6800300-011,14鄰,安和路,,29巷,,,,3號,121.281494744496,24.8570488297339
桃園市大溪區康安里14鄰安和路29巷5號,68,6800300,6800300-011,14鄰,安和路,,29巷,,,,5號,121.28145551109,24.8570714748686
桃園市大溪區康安里14鄰安和路29巷6號,68,6800300,6800300-011,14鄰,安和路,,29巷,,,,6號,121.281423603695,24.8570956410346
桃園市大溪區康安里14鄰安和路29巷7號,68,6800300,6800300-011,14鄰,安和路,,29巷,,,,7號,121.281383974652,24.8571183771807
桃園市大溪區義和里4鄰安和路10號,68,6800300,6800300-012,4鄰,安和路,,,,,,10號,121.281228279326,24.8567502178829
桃園市大溪區義和里4鄰安和路12號,68,6800300,6800300-012,4鄰,安和路,,,,,,12號,121.281114921247,24.8567253320472
桃園市大溪區義和里4鄰安和路14號,68,6800300,6800300-012,4鄰,安和路,,,,,,14號,121.281180315478,24.8568066459159
桃園市大溪區義和里3鄰安和路33號,68,6800300,6800300-012,3鄰,安和路,,,,,,33號,121.281553565338,24.8566304291715
桃園市大溪區義和里3鄰安和路33之1號,68,6800300,6800300-012,3鄰,安和路,,,,,,33之1號,121.281623357284,24.8565998716246
桃園市大溪區義和里3鄰安和路35號,68,6800300,6800300-012,3鄰,安和路,,,,,,35號,121.281770991758,24.8566417562664
桃園市大溪區義和里3鄰安和路36號,68,6800300,6800300-012,3鄰,安和路,,,,,,36號,121.281634511741,24.8561508640068
桃園市大溪區義和里3鄰安和路38號,68,6800300,6800300-012,3鄰,安和路,,,,,,38號,121.28209552237,24.8558839247267
桃園市大溪區義和里3鄰安和路41號,68,6800300,6800300-012,3鄰,安和路,,,,,,41號,121.281747563843,24.8564776625892
桃園市大溪區義和里3鄰安和路59號,68,6800300,6800300-012,3鄰,安和路,,,,,,59號,121.282152994737,24.8562243706752
桃園市大溪區義和里3鄰安和路65號,68,6800300,6800300-012,3鄰,安和路,,,,,,65號,121.282270689857,24.8561983268739
桃園市大溪區義和里3鄰安和路65號二樓,68,6800300,6800300-012,3鄰,安和路,,,,,,65號二樓,121.282270689857,24.8561983268739
桃園市大溪區義和里3鄰安和路65號三樓,68,6800300,6800300-012,3鄰,安和路,,,,,,65號三樓,121.282270689857,24.8561983268739
桃園市大溪區義和里3鄰安和路65號四樓,68,6800300,6800300-012,3鄰,安和路,,,,,,65號四樓,121.282270689857,24.8561983268739
桃園市大溪區義和里3鄰安和路65號五樓,68,6800300,6800300-012,3鄰,安和路,,,,,,65號五樓,121.282270689857,24.8561983268739
桃園市大溪區義和里3鄰安和路67巷2號,68,6800300,6800300-012,3鄰,安和路,,67巷,,,,2號,121.282519533009,24.8562313521708
桃園市大溪區義和里3鄰安和路67巷3號,68,6800300,6800300-012,3鄰,安和路,,67巷,,,,3號,121.282291966005,24.856329651135
桃園市大溪區義和里3鄰安和路67巷3號四樓,68,6800300,6800300-012,3鄰,安和路,,67巷,,,,3號四樓,121.282291966005,24.856329651135
桃園市大溪區義和里3鄰安和路67巷3號五樓,68,6800300,6800300-012,3鄰,安和路,,67巷,,,,3號五樓,121.282291966005,24.856329651135
桃園市大溪區義和里3鄰安和路67巷3號二樓,68,6800300,6800300-012,3鄰,安和路,,67巷,,,,3號二樓,121.282291966005,24.856329651135
桃園市大溪區義和里3鄰安和路67巷3號三樓,68,6800300,6800300-012,3鄰,安和路,,67巷,,,,3號三樓,121.282291966005,24.856329651135
桃園市大溪區義和里3鄰安和路67巷6號,68,6800300,6800300-012,3鄰,安和路,,67巷,,,,6號,121.282528724649,24.8562700669901
桃園市大溪區義和里3鄰安和路69號,68,6800300,6800300-012,3鄰,安和路,,,,,,69號,121.28237052712,24.8561519123574
桃園市大溪區義和里3鄰安和路71號,68,6800300,6800300-012,3鄰,安和路,,,,,,71號,121.282413346351,24.8561398235323
桃園市大溪區義和里3鄰安和路73號,68,6800300,6800300-012,3鄰,安和路,,,,,,73號,121.282462605287,24.8561311533438
桃園市大溪區義和里3鄰安和路75號,68,6800300,6800300-012,3鄰,安和路,,,,,,75號,121.282513936478,24.8561199512444
桃園市大溪區義和里3鄰安和路77號,68,6800300,6800300-012,3鄰,安和路,,,,,,77號,121.282557446301,24.8561069582236
桃園市大溪區義和里3鄰安和路79號,68,6800300,6800300-012,3鄰,安和路,,,,,,79號,121.282604904371,24.8560896240484
桃園市大溪區義和里3鄰安和路81號,68,6800300,6800300-012,3鄰,安和路,,,,,,81號,121.282657914237,24.8560768838816
