FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市中壢區復興里18鄰復華街212號,68,6800200,6800200-033,18鄰,復華街,,,,,,212號,121.248300425947,24.9744757410573
桃園市中壢區復興里18鄰復華街212號二樓,68,6800200,6800200-033,18鄰,復華街,,,,,,212號二樓,121.248300425947,24.9744757410573
桃園市中壢區復興里18鄰復華街212號三樓,68,6800200,6800200-033,18鄰,復華街,,,,,,212號三樓,121.248300425947,24.9744757410573
桃園市中壢區復興里18鄰復華街212號四樓,68,6800200,6800200-033,18鄰,復華街,,,,,,212號四樓,121.248300425947,24.9744757410573
桃園市中壢區復興里18鄰復華街212號五樓,68,6800200,6800200-033,18鄰,復華街,,,,,,212號五樓,121.248300425947,24.9744757410573
桃園市中壢區復興里18鄰復華街215巷2號,68,6800200,6800200-033,18鄰,復華街,,215巷,,,,2號,121.247860748596,24.9745228794855
桃園市中壢區復興里18鄰復華街215巷4號,68,6800200,6800200-033,18鄰,復華街,,215巷,,,,4號,121.247813704512,24.9745246731895
桃園市中壢區復興里18鄰復華街215巷6號,68,6800200,6800200-033,18鄰,復華街,,215巷,,,,6號,121.24775547494,24.9745299162703
桃園市中壢區復興里18鄰復華街215巷8號,68,6800200,6800200-033,18鄰,復華街,,215巷,,,,8號,121.247719718821,24.9745299757708
桃園市中壢區復興里18鄰復華街215巷10號,68,6800200,6800200-033,18鄰,復華街,,215巷,,,,10號,121.247668999673,24.9745266293796
桃園市中壢區復興里18鄰復華街215巷12號,68,6800200,6800200-033,18鄰,復華街,,215巷,,,,12號,121.247627611589,24.97453355978
桃園市中壢區復興里18鄰復華街215巷14號,68,6800200,6800200-033,18鄰,復華街,,215巷,,,,14號,121.24758066311,24.9745336378633
桃園市中壢區復興里18鄰復華街215巷16號,68,6800200,6800200-033,18鄰,復華街,,215巷,,,,16號,121.247533615584,24.9745337160964
桃園市中壢區復興里18鄰復華街215巷18號,68,6800200,6800200-033,18鄰,復華街,,215巷,,,,18號,121.247488549006,24.9745337910215
桃園市中壢區復興里18鄰復華街215巷20號,68,6800200,6800200-033,18鄰,復華街,,215巷,,,,20號,121.247462411143,24.9745391612024
