FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市龜山區大同里11鄰德明路5號,68,6800700,6800700-004,11鄰,德明路,,,,,,5號,121.344383137269,24.9847404320072
桃園市龜山區大同里11鄰德明路5號(增建教室),68,6800700,6800700-004,11鄰,德明路,,,,,,5號(增建教室),121.344315904015,24.9848206685477
桃園市龜山區大同里11鄰德明路5號(增建宿舍),68,6800700,6800700-004,11鄰,德明路,,,,,,5號(增建宿舍),121.344315904015,24.9848206685477
桃園市龜山區大同里15鄰德明路21號二樓,68,6800700,6800700-004,15鄰,德明路,,,,,,21號二樓,121.343712067749,24.9879580422184
桃園市龜山區大同里15鄰德明路21號三樓,68,6800700,6800700-004,15鄰,德明路,,,,,,21號三樓,121.343712067749,24.9879580422184
桃園市龜山區大同里15鄰德明路21號四樓,68,6800700,6800700-004,15鄰,德明路,,,,,,21號四樓,121.343712067749,24.9879580422184
桃園市龜山區大同里15鄰德明路21之1號二樓,68,6800700,6800700-004,15鄰,德明路,,,,,,21之1號二樓,121.343687321904,24.9879291185528
桃園市龜山區大同里15鄰德明路21之1號三樓,68,6800700,6800700-004,15鄰,德明路,,,,,,21之1號三樓,121.343687321904,24.9879291185528
桃園市龜山區大同里15鄰德明路21之1號四樓,68,6800700,6800700-004,15鄰,德明路,,,,,,21之1號四樓,121.343687321904,24.9879291185528
桃園市龜山區大同里15鄰德明路21之1號五樓,68,6800700,6800700-004,15鄰,德明路,,,,,,21之1號五樓,121.343687321904,24.9879291185528
桃園市龜山區大同里15鄰德明路21號五樓,68,6800700,6800700-004,15鄰,德明路,,,,,,21號五樓,121.343712067749,24.9879580422184
桃園市龜山區大同里15鄰德明路23號二樓,68,6800700,6800700-004,15鄰,德明路,,,,,,23號二樓,121.343694791204,24.9879791180408
桃園市龜山區大同里15鄰德明路23號三樓,68,6800700,6800700-004,15鄰,德明路,,,,,,23號三樓,121.343694791204,24.9879791180408
桃園市龜山區大同里15鄰德明路23號四樓,68,6800700,6800700-004,15鄰,德明路,,,,,,23號四樓,121.343694791204,24.9879791180408
桃園市龜山區大同里15鄰德明路23號五樓,68,6800700,6800700-004,15鄰,德明路,,,,,,23號五樓,121.343694791204,24.9879791180408
桃園市龜山區大同里15鄰德明路23之1號二樓,68,6800700,6800700-004,15鄰,德明路,,,,,,23之1號二樓,121.343660740247,24.987952472934
桃園市龜山區大同里15鄰德明路23之1號三樓,68,6800700,6800700-004,15鄰,德明路,,,,,,23之1號三樓,121.343660740247,24.987952472934
桃園市龜山區大同里15鄰德明路23之1號四樓,68,6800700,6800700-004,15鄰,德明路,,,,,,23之1號四樓,121.343660740247,24.987952472934
桃園市龜山區大同里15鄰德明路23之1號五樓,68,6800700,6800700-004,15鄰,德明路,,,,,,23之1號五樓,121.343660740247,24.987952472934
桃園市龜山區大同里15鄰德明路25號,68,6800700,6800700-004,15鄰,德明路,,,,,,25號,121.343671266009,24.9879973192383
