FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市桃園區長德里9鄰愛七街1號,68,6800100,6800100-063,9鄰,愛七街,,,,,,1號,121.300932701574,25.0040095854747
桃園市桃園區長德里9鄰愛七街1之1號,68,6800100,6800100-063,9鄰,愛七街,,,,,,1之1號,121.300932701574,25.0040095854747
桃園市桃園區長德里9鄰愛七街1之2號,68,6800100,6800100-063,9鄰,愛七街,,,,,,1之2號,121.300932701574,25.0040095854747
桃園市桃園區長德里9鄰愛七街1之3號,68,6800100,6800100-063,9鄰,愛七街,,,,,,1之3號,121.300932701574,25.0040095854747
桃園市桃園區長德里9鄰愛七街2號,68,6800100,6800100-063,9鄰,愛七街,,,,,,2號,121.300966532262,25.004191708063
桃園市桃園區長德里9鄰愛七街2之1號,68,6800100,6800100-063,9鄰,愛七街,,,,,,2之1號,121.300966532262,25.004191708063
桃園市桃園區長德里9鄰愛七街2之2號,68,6800100,6800100-063,9鄰,愛七街,,,,,,2之2號,121.300966532262,25.004191708063
桃園市桃園區長德里9鄰愛七街2之3號,68,6800100,6800100-063,9鄰,愛七街,,,,,,2之3號,121.300966532262,25.004191708063
桃園市桃園區長德里9鄰愛七街3之3號,68,6800100,6800100-063,9鄰,愛七街,,,,,,3之3號,121.300880802547,25.0039747509535
桃園市桃園區長德里9鄰愛七街3之1號,68,6800100,6800100-063,9鄰,愛七街,,,,,,3之1號,121.300880802547,25.0039747509535
桃園市桃園區長德里9鄰愛七街3之2號,68,6800100,6800100-063,9鄰,愛七街,,,,,,3之2號,121.300880802547,25.0039747509535
桃園市桃園區長德里9鄰愛七街3號一樓,68,6800100,6800100-063,9鄰,愛七街,,,,,,3號一樓,121.300880802547,25.0039747509535
桃園市桃園區長德里9鄰愛七街4之1號,68,6800100,6800100-063,9鄰,愛七街,,,,,,4之1號,121.300907520289,25.0041651939777
桃園市桃園區長德里9鄰愛七街4之2號,68,6800100,6800100-063,9鄰,愛七街,,,,,,4之2號,121.300907520289,25.0041651939777
桃園市桃園區長德里9鄰愛七街4之3號,68,6800100,6800100-063,9鄰,愛七街,,,,,,4之3號,121.300907520289,25.0041651939777
桃園市桃園區長德里9鄰愛七街4號,68,6800100,6800100-063,9鄰,愛七街,,,,,,4號,121.300907520289,25.0041651939777
桃園市桃園區長德里9鄰愛七街5之1號,68,6800100,6800100-063,9鄰,愛七街,,,,,,5之1號,121.300832784229,25.0039468603542
桃園市桃園區長德里9鄰愛七街5之3號,68,6800100,6800100-063,9鄰,愛七街,,,,,,5之3號,121.300832784229,25.0039468603542
桃園市桃園區長德里9鄰愛七街5之2號,68,6800100,6800100-063,9鄰,愛七街,,,,,,5之2號,121.300832784229,25.0039468603542
桃園市桃園區長德里9鄰愛七街5號,68,6800100,6800100-063,9鄰,愛七街,,,,,,5號,121.300832784229,25.0039468603542
