FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市龜山區公西里13鄰文三一街2之1號,68,6800700,6800700-009,13鄰,文三一街,,,,,,2之1號,121.361931559774,25.0594774412573
桃園市龜山區公西里13鄰文三一街50之1號,68,6800700,6800700-009,13鄰,文三一街,,,,,,50之1號,121.359785551622,25.058505173121
桃園市龜山區大湖里12鄰文三一街1號,68,6800700,6800700-027,12鄰,文三一街,,,,,,1號,121.362085342496,25.0593612346541
桃園市龜山區大湖里12鄰文三一街1號二樓,68,6800700,6800700-027,12鄰,文三一街,,,,,,1號二樓,121.362085342496,25.0593612346541
桃園市龜山區大湖里12鄰文三一街1號五樓,68,6800700,6800700-027,12鄰,文三一街,,,,,,1號五樓,121.362085342496,25.0593612346541
桃園市龜山區大湖里12鄰文三一街1號四樓,68,6800700,6800700-027,12鄰,文三一街,,,,,,1號四樓,121.362085342496,25.0593612346541
桃園市龜山區大湖里12鄰文三一街1號三樓,68,6800700,6800700-027,12鄰,文三一街,,,,,,1號三樓,121.362085342496,25.0593612346541
桃園市龜山區大湖里12鄰文三一街9號,68,6800700,6800700-027,12鄰,文三一街,,,,,,9號,121.361843348775,25.0591742186017
桃園市龜山區大湖里12鄰文三一街11號,68,6800700,6800700-027,12鄰,文三一街,,,,,,11號,121.361781312213,25.0591436738817
桃園市龜山區大湖里12鄰文三一街11號二樓,68,6800700,6800700-027,12鄰,文三一街,,,,,,11號二樓,121.361781312213,25.0591436738817
桃園市龜山區大湖里12鄰文三一街11號三樓,68,6800700,6800700-027,12鄰,文三一街,,,,,,11號三樓,121.361781312213,25.0591436738817
桃園市龜山區大湖里12鄰文三一街13號,68,6800700,6800700-027,12鄰,文三一街,,,,,,13號,121.361708045558,25.0591028643462
桃園市龜山區大湖里12鄰文三一街13號二樓,68,6800700,6800700-027,12鄰,文三一街,,,,,,13號二樓,121.361708045558,25.0591028643462
桃園市龜山區大湖里12鄰文三一街13號三樓,68,6800700,6800700-027,12鄰,文三一街,,,,,,13號三樓,121.361708045558,25.0591028643462
