FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市觀音區三和里1鄰文化路坑尾段9號,68,6801200,6801200-007,1鄰,文化路坑尾段,,,,,,9號,121.087513882458,25.0247878635358
桃園市觀音區三和里1鄰文化路坑尾段11號,68,6801200,6801200-007,1鄰,文化路坑尾段,,,,,,11號,121.087651761946,25.024714923552
桃園市觀音區三和里1鄰文化路坑尾段50巷75號,68,6801200,6801200-007,1鄰,文化路坑尾段,,50巷,,,,75號,121.087599826156,25.0238584349419
桃園市觀音區三和里1鄰文化路坑尾段50巷96號,68,6801200,6801200-007,1鄰,文化路坑尾段,,50巷,,,,96號,121.087312663878,25.0238502977978
桃園市觀音區三和里1鄰文化路坑尾段50巷98號,68,6801200,6801200-007,1鄰,文化路坑尾段,,50巷,,,,98號,121.087218076841,25.0237692787646
桃園市觀音區三和里1鄰文化路坑尾段66號,68,6801200,6801200-007,1鄰,文化路坑尾段,,,,,,66號,121.08802065262,25.0238590892061
桃園市觀音區三和里1鄰文化路坑尾段188巷53弄10號,68,6801200,6801200-007,1鄰,文化路坑尾段,,188巷,53弄,,,10號,121.089219824905,25.020859247269
桃園市觀音區三和里1鄰文化路坑尾段188巷56弄26號,68,6801200,6801200-007,1鄰,文化路坑尾段,,188巷,56弄,,,26號,121.089132964008,25.0217337853301
桃園市觀音區三和里1鄰文化路坑尾段188巷56弄28號,68,6801200,6801200-007,1鄰,文化路坑尾段,,188巷,56弄,,,28號,121.089006231033,25.0218686545103
桃園市觀音區三和里1鄰文化路坑尾段188巷56弄30號,68,6801200,6801200-007,1鄰,文化路坑尾段,,188巷,56弄,,,30號,121.088917650586,25.0218723188551
桃園市觀音區三和里1鄰文化路坑尾段188巷58號,68,6801200,6801200-007,1鄰,文化路坑尾段,,188巷,,,,58號,121.089311304228,25.021576404457
桃園市觀音區三和里1鄰文化路坑尾段188巷60號,68,6801200,6801200-007,1鄰,文化路坑尾段,,188巷,,,,60號,121.0891577779,25.0215180831844
桃園市觀音區三和里1鄰文化路坑尾段188巷62號,68,6801200,6801200-007,1鄰,文化路坑尾段,,188巷,,,,62號,121.089072889297,25.0215569559704
