FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市新屋區頭洲里8鄰新洲三街19號,68,6801100,6801100-005,8鄰,新洲三街,,,,,,19號,121.147339186811,24.9619035926325
桃園市新屋區頭洲里8鄰新洲三街21號二樓,68,6801100,6801100-005,8鄰,新洲三街,,,,,,21號二樓,121.147296326467,24.9618398041727
桃園市新屋區頭洲里8鄰新洲三街21號三樓,68,6801100,6801100-005,8鄰,新洲三街,,,,,,21號三樓,121.147296326467,24.9618398041727
桃園市新屋區頭洲里8鄰新洲三街21號四樓,68,6801100,6801100-005,8鄰,新洲三街,,,,,,21號四樓,121.147296326467,24.9618398041727
桃園市新屋區頭洲里8鄰新洲三街21號五樓,68,6801100,6801100-005,8鄰,新洲三街,,,,,,21號五樓,121.147296326467,24.9618398041727
桃園市新屋區頭洲里8鄰新洲三街23號二樓,68,6801100,6801100-005,8鄰,新洲三街,,,,,,23號二樓,121.147260129844,24.9617996635445
桃園市新屋區頭洲里8鄰新洲三街23號三樓,68,6801100,6801100-005,8鄰,新洲三街,,,,,,23號三樓,121.147260129844,24.9617996635445
桃園市新屋區頭洲里8鄰新洲三街23號四樓,68,6801100,6801100-005,8鄰,新洲三街,,,,,,23號四樓,121.147260129844,24.9617996635445
桃園市新屋區頭洲里8鄰新洲三街23號五樓,68,6801100,6801100-005,8鄰,新洲三街,,,,,,23號五樓,121.147260129844,24.9617996635445
桃園市新屋區頭洲里8鄰新洲三街25號二樓,68,6801100,6801100-005,8鄰,新洲三街,,,,,,25號二樓,121.147420998461,24.9617425351286
桃園市新屋區頭洲里8鄰新洲三街25之1號二樓,68,6801100,6801100-005,8鄰,新洲三街,,,,,,25之1號二樓,121.147386185453,24.9616999554904
桃園市新屋區頭洲里8鄰新洲三街25號三樓,68,6801100,6801100-005,8鄰,新洲三街,,,,,,25號三樓,121.147420998461,24.9617425351286
桃園市新屋區頭洲里8鄰新洲三街25之1號三樓,68,6801100,6801100-005,8鄰,新洲三街,,,,,,25之1號三樓,121.147386185453,24.9616999554904
桃園市新屋區頭洲里8鄰新洲三街25號四樓,68,6801100,6801100-005,8鄰,新洲三街,,,,,,25號四樓,121.147420998461,24.9617425351286
桃園市新屋區頭洲里8鄰新洲三街25之1號四樓,68,6801100,6801100-005,8鄰,新洲三街,,,,,,25之1號四樓,121.147386185453,24.9616999554904
桃園市新屋區頭洲里8鄰新洲三街25號五樓,68,6801100,6801100-005,8鄰,新洲三街,,,,,,25號五樓,121.147420998461,24.9617425351286
桃園市新屋區頭洲里8鄰新洲三街25之1號五樓,68,6801100,6801100-005,8鄰,新洲三街,,,,,,25之1號五樓,121.147386185453,24.9616999554904
桃園市新屋區頭洲里8鄰新洲三街27號,68,6801100,6801100-005,8鄰,新洲三街,,,,,,27號,121.147314571769,24.9616089296882
桃園市新屋區頭洲里8鄰新洲三街29號,68,6801100,6801100-005,8鄰,新洲三街,,,,,,29號,121.147222298616,24.9616342101945
桃園市新屋區頭洲里8鄰新洲三街31號,68,6801100,6801100-005,8鄰,新洲三街,,,,,,31號,121.147148242569,24.9616545973044
桃園市新屋區頭洲里8鄰新洲三街33號,68,6801100,6801100-005,8鄰,新洲三街,,,,,,33號,121.147108528445,24.9616546365377
桃園市新屋區頭洲里8鄰新洲三街35號,68,6801100,6801100-005,8鄰,新洲三街,,,,,,35號,121.147053558973,24.9616517114488
