FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市桃園區中和里4鄰新生路33號,68,6800100,6800100-020,4鄰,新生路,,,,,,33號,121.310494408817,24.9975694609367
桃園市桃園區中和里4鄰新生路35號,68,6800100,6800100-020,4鄰,新生路,,,,,,35號,121.310406775173,24.9975458090921
桃園市桃園區中和里4鄰新生路37號,68,6800100,6800100-020,4鄰,新生路,,,,,,37號,121.310364113813,24.997520709139
桃園市桃園區中和里4鄰新生路39號,68,6800100,6800100-020,4鄰,新生路,,,,,,39號,121.310331280794,24.9975038947086
桃園市桃園區中和里6鄰新生路40號,68,6800100,6800100-020,6鄰,新生路,,,,,,40號,121.310393903838,24.9976669957306
桃園市桃園區中和里4鄰新生路41號,68,6800100,6800100-020,4鄰,新生路,,,,,,41號,121.310295670782,24.9974858221008
桃園市桃園區中和里6鄰新生路42號,68,6800100,6800100-020,6鄰,新生路,,,,,,42號,121.31035204766,24.9976469499427
桃園市桃園區中和里6鄰新生路44號,68,6800100,6800100-020,6鄰,新生路,,,,,,44號,121.310306517913,24.9976236616172
桃園市桃園區中和里4鄰新生路45巷3號,68,6800100,6800100-020,4鄰,新生路,,45巷,,,,3號,121.310368820511,24.9973436543556
桃園市桃園區中和里4鄰新生路45巷6號,68,6800100,6800100-020,4鄰,新生路,,45巷,,,,6號,121.310329203678,24.997229077584
桃園市桃園區中和里4鄰新生路45巷7號,68,6800100,6800100-020,4鄰,新生路,,45巷,,,,7號,121.310389222226,24.9973019010461
桃園市桃園區中和里6鄰新生路46號,68,6800100,6800100-020,6鄰,新生路,,,,,,46號,121.310263261247,24.9975982017451
桃園市桃園區中和里4鄰新生路47號,68,6800100,6800100-020,4鄰,新生路,,,,,,47號,121.310233681764,24.9974567899676
桃園市桃園區中和里6鄰新生路48號,68,6800100,6800100-020,6鄰,新生路,,,,,,48號,121.31022388152,24.997578060473
桃園市桃園區中和里4鄰新生路49號,68,6800100,6800100-020,4鄰,新生路,,,,,,49號,121.310191624379,24.9974354805908
桃園市桃園區中和里6鄰新生路50號,68,6800100,6800100-020,6鄰,新生路,,,,,,50號,121.310175875189,24.997554777271
桃園市桃園區中和里4鄰新生路51號,68,6800100,6800100-020,4鄰,新生路,,,,,,51號,121.310153133357,24.9974141637671
桃園市桃園區中和里6鄰新生路52號,68,6800100,6800100-020,6鄰,新生路,,,,,,52號,121.310126680319,24.9975315868139
桃園市桃園區中和里4鄰新生路53號,68,6800100,6800100-020,4鄰,新生路,,,,,,53號,121.310116514618,24.9973888705785
桃園市桃園區中和里6鄰新生路54號,68,6800100,6800100-020,6鄰,新生路,,,,,,54號,121.310083418057,24.9975038698253
桃園市桃園區中和里4鄰新生路55號,68,6800100,6800100-020,4鄰,新生路,,,,,,55號,121.310073775148,24.9973720767398
桃園市桃園區中和里6鄰新生路56號,68,6800100,6800100-020,6鄰,新生路,,,,,,56號,121.310044148555,24.9974881521423
桃園市桃園區中和里4鄰新生路57號,68,6800100,6800100-020,4鄰,新生路,,,,,,57號,121.310028240798,24.9973468923936
桃園市桃園區中和里6鄰新生路58號,68,6800100,6800100-020,6鄰,新生路,,,,,,58號,121.309998519859,24.9974648639273
桃園市桃園區中和里3鄰新生路59號,68,6800100,6800100-020,3鄰,新生路,,,,,,59號,121.309988500557,24.9967091257523
桃園市桃園區中和里6鄰新生路60號,68,6800100,6800100-020,6鄰,新生路,,,,,,60號,121.309960317903,24.9974402962632
桃園市桃園區中和里3鄰新生路61號,68,6800100,6800100-020,3鄰,新生路,,,,,,61號,121.309988500557,24.9967091257523
桃園市桃園區中和里6鄰新生路62號,68,6800100,6800100-020,6鄰,新生路,,,,,,62號,121.309918461871,24.9974202503513
桃園市桃園區中和里3鄰新生路63號,68,6800100,6800100-020,3鄰,新生路,,,,,,63號,121.309988500557,24.9967091257523
桃園市桃園區中和里6鄰新生路64號,68,6800100,6800100-020,6鄰,新生路,,,,,,64號,121.309877791918,24.9973991185609
桃園市桃園區中和里3鄰新生路65號,68,6800100,6800100-020,3鄰,新生路,,,,,,65號,121.309988500557,24.9967091257523
桃園市桃園區中和里6鄰新生路66號,68,6800100,6800100-020,6鄰,新生路,,,,,,66號,121.309835825755,24.9973746489876
桃園市桃園區中和里3鄰新生路67號,68,6800100,6800100-020,3鄰,新生路,,,,,,67號,121.309988500557,24.9967091257523
桃園市桃園區中和里6鄰新生路68號,68,6800100,6800100-020,6鄰,新生路,,,,,,68號,121.309797629292,24.9973522480617
桃園市桃園區中和里3鄰新生路69號,68,6800100,6800100-020,3鄰,新生路,,,,,,69號,121.309988500557,24.9967091257523
