FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市桃園區成功里8鄰桃二街55號,68,6800100,6800100-037,8鄰,桃二街,,,,,,55號,121.318074571239,24.9958532390717
桃園市桃園區成功里8鄰桃二街55號二樓,68,6800100,6800100-037,8鄰,桃二街,,,,,,55號二樓,121.318074571239,24.9958532390717
桃園市桃園區成功里8鄰桃二街55號三樓,68,6800100,6800100-037,8鄰,桃二街,,,,,,55號三樓,121.318074571239,24.9958532390717
桃園市桃園區成功里8鄰桃二街55號六樓,68,6800100,6800100-037,8鄰,桃二街,,,,,,55號六樓,121.318074571239,24.9958532390717
桃園市桃園區成功里8鄰桃二街55號八樓,68,6800100,6800100-037,8鄰,桃二街,,,,,,55號八樓,121.318074571239,24.9958532390717
桃園市桃園區成功里8鄰桃二街55號五樓,68,6800100,6800100-037,8鄰,桃二街,,,,,,55號五樓,121.318074571239,24.9958532390717
桃園市桃園區成功里8鄰桃二街55號四樓,68,6800100,6800100-037,8鄰,桃二街,,,,,,55號四樓,121.318074571239,24.9958532390717
桃園市桃園區成功里8鄰桃二街55號九樓,68,6800100,6800100-037,8鄰,桃二街,,,,,,55號九樓,121.318074571239,24.9958532390717
桃園市桃園區成功里8鄰桃二街55號七樓,68,6800100,6800100-037,8鄰,桃二街,,,,,,55號七樓,121.318074571239,24.9958532390717
桃園市桃園區成功里8鄰桃二街57號,68,6800100,6800100-037,8鄰,桃二街,,,,,,57號,121.318053072058,24.9959678541292
桃園市桃園區成功里8鄰桃二街57號三樓,68,6800100,6800100-037,8鄰,桃二街,,,,,,57號三樓,121.318053072058,24.9959678541292
桃園市桃園區成功里8鄰桃二街57號五樓,68,6800100,6800100-037,8鄰,桃二街,,,,,,57號五樓,121.318053072058,24.9959678541292
桃園市桃園區成功里8鄰桃二街57號二樓,68,6800100,6800100-037,8鄰,桃二街,,,,,,57號二樓,121.318053072058,24.9959678541292
桃園市桃園區成功里8鄰桃二街57號四樓,68,6800100,6800100-037,8鄰,桃二街,,,,,,57號四樓,121.318053072058,24.9959678541292
桃園市桃園區成功里8鄰桃二街57號七樓,68,6800100,6800100-037,8鄰,桃二街,,,,,,57號七樓,121.318053072058,24.9959678541292
桃園市桃園區成功里8鄰桃二街57號八樓,68,6800100,6800100-037,8鄰,桃二街,,,,,,57號八樓,121.318053072058,24.9959678541292
桃園市桃園區成功里8鄰桃二街57號九樓,68,6800100,6800100-037,8鄰,桃二街,,,,,,57號九樓,121.318053072058,24.9959678541292
桃園市桃園區成功里8鄰桃二街57號六樓,68,6800100,6800100-037,8鄰,桃二街,,,,,,57號六樓,121.318053072058,24.9959678541292
桃園市桃園區成功里18鄰桃二街58號,68,6800100,6800100-037,18鄰,桃二街,,,,,,58號,121.317725961268,24.9955826835876
桃園市桃園區成功里18鄰桃二街58號五樓,68,6800100,6800100-037,18鄰,桃二街,,,,,,58號五樓,121.317725961268,24.9955826835876
桃園市桃園區成功里18鄰桃二街58號二樓,68,6800100,6800100-037,18鄰,桃二街,,,,,,58號二樓,121.317725961268,24.9955826835876
桃園市桃園區成功里18鄰桃二街58號三樓,68,6800100,6800100-037,18鄰,桃二街,,,,,,58號三樓,121.317725961268,24.9955826835876
桃園市桃園區成功里18鄰桃二街58號六樓,68,6800100,6800100-037,18鄰,桃二街,,,,,,58號六樓,121.317631345529,24.9949238198083
桃園市桃園區成功里18鄰桃二街58號四樓,68,6800100,6800100-037,18鄰,桃二街,,,,,,58號四樓,121.317725961268,24.9955826835876
桃園市桃園區成功里8鄰桃二街59號,68,6800100,6800100-037,8鄰,桃二街,,,,,,59號,121.318146268682,24.9959973579699
