FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市楊梅區仁美里1鄰梅獅路一段16號,68,6800400,6800400-018,1鄰,梅獅路,一段,,,,,16號,121.182385266963,24.9217554840663
桃園市楊梅區仁美里1鄰梅獅路一段18號,68,6800400,6800400-018,1鄰,梅獅路,一段,,,,,18號,121.18236856908,24.92171135538
桃園市楊梅區仁美里1鄰梅獅路一段20號,68,6800400,6800400-018,1鄰,梅獅路,一段,,,,,20號,121.182348218625,24.9216744539168
桃園市楊梅區仁美里1鄰梅獅路一段22巷2號,68,6800400,6800400-018,1鄰,梅獅路,一段,22巷,,,,2號,121.182232130344,24.9216380306263
桃園市楊梅區仁美里1鄰梅獅路一段22巷5號,68,6800400,6800400-018,1鄰,梅獅路,一段,22巷,,,,5號,121.182098050398,24.921552785314
桃園市楊梅區仁美里1鄰梅獅路一段22巷6號,68,6800400,6800400-018,1鄰,梅獅路,一段,22巷,,,,6號,121.182187814459,24.9216643575647
桃園市楊梅區仁美里1鄰梅獅路一段22巷7號,68,6800400,6800400-018,1鄰,梅獅路,一段,22巷,,,,7號,121.182047846133,24.9215470684112
桃園市楊梅區仁美里1鄰梅獅路一段22巷8號,68,6800400,6800400-018,1鄰,梅獅路,一段,22巷,,,,8號,121.182157888984,24.9217142311596
桃園市楊梅區仁美里1鄰梅獅路一段22巷9號,68,6800400,6800400-018,1鄰,梅獅路,一段,22巷,,,,9號,121.181966832487,24.9215286589817
桃園市楊梅區仁美里1鄰梅獅路一段22巷10號,68,6800400,6800400-018,1鄰,梅獅路,一段,22巷,,,,10號,121.182119857302,24.9217050685998
桃園市楊梅區仁美里1鄰梅獅路一段22巷11號,68,6800400,6800400-018,1鄰,梅獅路,一段,22巷,,,,11號,121.181881566795,24.9215137757895
桃園市楊梅區仁美里1鄰梅獅路一段22巷12號,68,6800400,6800400-018,1鄰,梅獅路,一段,22巷,,,,12號,121.182058647842,24.9216888018583
桃園市楊梅區仁美里1鄰梅獅路一段22巷16號,68,6800400,6800400-018,1鄰,梅獅路,一段,22巷,,,,16號,121.181978014356,24.9216596481182
桃園市楊梅區仁美里1鄰梅獅路一段22巷18號,68,6800400,6800400-018,1鄰,梅獅路,一段,22巷,,,,18號,121.181941372094,24.921652740929
桃園市楊梅區仁美里1鄰梅獅路一段22巷20號,68,6800400,6800400-018,1鄰,梅獅路,一段,22巷,,,,20號,121.181845089957,24.9216196336933
桃園市楊梅區仁美里1鄰梅獅路一段22巷22號,68,6800400,6800400-018,1鄰,梅獅路,一段,22巷,,,,22號,121.181799456874,24.9216254675457
桃園市楊梅區仁美里1鄰梅獅路一段39號,68,6800400,6800400-018,1鄰,梅獅路,一段,,,,,39號,121.182920481534,24.9216809757325
桃園市楊梅區仁美里2鄰梅獅路一段89之1號,68,6800400,6800400-018,2鄰,梅獅路,一段,,,,,89之1號,121.181170384631,24.9197350438947
桃園市楊梅區仁美里2鄰梅獅路一段89號,68,6800400,6800400-018,2鄰,梅獅路,一段,,,,,89號,121.181866862776,24.9205338458807
桃園市楊梅區仁美里2鄰梅獅路一段92號,68,6800400,6800400-018,2鄰,梅獅路,一段,,,,,92號,121.181113303448,24.9203754109326
桃園市楊梅區仁美里2鄰梅獅路一段96號,68,6800400,6800400-018,2鄰,梅獅路,一段,,,,,96號,121.180904001281,24.9202354531771
桃園市楊梅區永平里3鄰梅獅路一段145巷75號,68,6800400,6800400-035,3鄰,梅獅路,一段,145巷,,,,75號,121.180221037082,24.9183752454775
桃園市楊梅區永平里3鄰梅獅路一段156號,68,6800400,6800400-035,3鄰,梅獅路,一段,,,,,156號,121.180118348247,24.9195866266601
桃園市楊梅區永平里3鄰梅獅路一段156號三樓,68,6800400,6800400-035,3鄰,梅獅路,一段,,,,,156號三樓,121.180118348247,24.9195866266601
桃園市楊梅區永平里3鄰梅獅路一段157號,68,6800400,6800400-035,3鄰,梅獅路,一段,,,,,157號,121.180702568186,24.9193126286114
桃園市楊梅區永平里3鄰梅獅路一段158號,68,6800400,6800400-035,3鄰,梅獅路,一段,,,,,158號,121.179803159293,24.9193411623145
桃園市楊梅區永平里3鄰梅獅路一段159號,68,6800400,6800400-035,3鄰,梅獅路,一段,,,,,159號,121.18028865207,24.9190533810755
桃園市楊梅區永平里3鄰梅獅路一段165號,68,6800400,6800400-035,3鄰,梅獅路,一段,,,,,165號,121.180097653363,24.9188346719166
桃園市楊梅區永平里3鄰梅獅路一段171號,68,6800400,6800400-035,3鄰,梅獅路,一段,,,,,171號,121.179878661928,24.9187011345794
桃園市楊梅區永平里3鄰梅獅路一段172號,68,6800400,6800400-035,3鄰,梅獅路,一段,,,,,172號,121.179607544046,24.9191474669128
桃園市楊梅區永平里3鄰梅獅路一段177號,68,6800400,6800400-035,3鄰,梅獅路,一段,,,,,177號,121.179786787904,24.9186336222676
桃園市楊梅區永平里3鄰梅獅路一段179號,68,6800400,6800400-035,3鄰,梅獅路,一段,,,,,179號,121.179587050849,24.9184642183229
桃園市楊梅區永平里3鄰梅獅路一段190號,68,6800400,6800400-035,3鄰,梅獅路,一段,,,,,190號,121.179321421565,24.9190094050943
