FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市八德區大正里32鄰正福一街2巷1號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,1號,121.296468225543,24.9704136993202
桃園市八德區大正里32鄰正福一街2巷2號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,2號,121.296335488585,24.9700341412734
桃園市八德區大正里32鄰正福一街2巷3號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,3號,121.296519223755,24.9704097155798
桃園市八德區大正里32鄰正福一街2巷5號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,5號,121.296559596585,24.9703941967101
桃園市八德區大正里32鄰正福一街2巷6號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,6號,121.296380106125,24.9700127455827
桃園市八德區大正里32鄰正福一街2巷7號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,7號,121.296604246681,24.9703863433981
桃園市八德區大正里32鄰正福一街2巷8號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,8號,121.296416219762,24.9699971449465
桃園市八德區大正里32鄰正福一街2巷9號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,9號,121.296650976689,24.9703784859288
桃園市八德區大正里32鄰正福一街2巷10號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,10號,121.296448051593,24.9699719827855
桃園市八德區大正里32鄰正福一街2巷11號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,11號,121.296698588125,24.970366473652
桃園市八德區大正里32鄰正福一街2巷12號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,12號,121.296488428617,24.9699582695949
桃園市八德區大正里32鄰正福一街2巷13號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,13號,121.296706112355,24.9701999760631
桃園市八德區大正里32鄰正福一街2巷15號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,15號,121.296653257737,24.970214526724
桃園市八德區大正里32鄰正福一街2巷16號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,16號,121.296522349422,24.9699368951614
桃園市八德區大正里32鄰正福一街2巷17號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,17號,121.296608227549,24.9702290617795
桃園市八德區大正里32鄰正福一街2巷18號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,18號,121.296562721882,24.9699212860083
桃園市八德區大正里32鄰正福一街2巷19號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,19號,121.2965540769,24.9702400939343
桃園市八德區大正里32鄰正福一街2巷20號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,20號,121.29660092014,24.9699076674104
桃園市八德區大正里32鄰正福一街2巷21號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,21號,121.296515653616,24.9702425178264
桃園市八德區大正里32鄰正福一街2巷22號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,22號,121.296643354089,24.9698843800393
桃園市八德區大正里32鄰正福一街2巷23號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,23號,121.296475963317,24.9702535211549
桃園市八德區大正里32鄰正福一街2巷25號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,25號,121.296432322516,24.970269227075
桃園市八德區大正里32鄰正福一街2巷26號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,26號,121.296677387745,24.9698687834839
桃園市八德區大正里32鄰正福一街2巷27號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,27號,121.29641227694,24.9701704066538
桃園市八德區大正里32鄰正福一街2巷28號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,28號,121.296721991308,24.9698416095809
桃園市八德區大正里32鄰正福一街2巷29號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,29號,121.296451856709,24.9701546185418
桃園市八德區大正里32鄰正福一街2巷31號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,31號,121.296484984144,24.9701327942795
桃園市八德區大正里32鄰正福一街2巷33號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,33號,121.296539844719,24.9701287125583
桃園市八德區大正里32鄰正福一街2巷35號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,35號,121.296575953824,24.970111215941
桃園市八德區大正里32鄰正福一街2巷37號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,37號,121.296614170538,24.9701052713923
桃園市八德區大正里32鄰正福一街2巷39號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,39號,121.296656609314,24.9700839702429
桃園市八德區大正里32鄰正福一街2巷41號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,41號,121.296686323751,24.9700431932208
桃園市八德區大正里32鄰正福一街2巷43號,68,6800800,6800800-030,32鄰,正福一街,,2巷,,,,43號,121.296724475478,24.9700101637516
