FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市龍潭區大平里4鄰民治十八街2號,68,6800900,6800900-018,4鄰,民治十八街,,,,,,2號,121.2363607203,24.8211747395102
桃園市龍潭區大平里4鄰民治十八街45之3號,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45之3號,121.235618358706,24.8198542215104
桃園市龍潭區大平里4鄰民治十八街45之1號,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45之1號,121.235644984979,24.8199147611357
桃園市龍潭區大平里4鄰民治十八街45之4號,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45之4號,121.23559608512,24.819793675023
桃園市龍潭區大平里4鄰民治十八街45之7號,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45之7號,121.235578301384,24.8197533454137
桃園市龍潭區大平里4鄰民治十八街45號二樓之5,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45號二樓之5,121.235636272432,24.8199632581816
桃園市龍潭區大平里4鄰民治十八街45號二樓之6,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45號二樓之6,121.235636272432,24.8199632581816
桃園市龍潭區大平里4鄰民治十八街45號二樓之7,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45號二樓之7,121.235636272432,24.8199632581816
桃園市龍潭區大平里4鄰民治十八街45號二樓之9,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45號二樓之9,121.235636272432,24.8199632581816
桃園市龍潭區大平里4鄰民治十八街45號四樓之13,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45號四樓之13,121.235636272432,24.8199632581816
桃園市龍潭區大平里4鄰民治十八街45號四樓之2,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45號四樓之2,121.235636272432,24.8199632581816
桃園市龍潭區大平里4鄰民治十八街45號四樓之3,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45號四樓之3,121.235636272432,24.8199632581816
桃園市龍潭區大平里4鄰民治十八街45號四樓之4,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45號四樓之4,121.235636272432,24.8199632581816
桃園市龍潭區大平里4鄰民治十八街45號四樓之5,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45號四樓之5,121.235636272432,24.8199632581816
桃園市龍潭區大平里4鄰民治十八街45號四樓之6,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45號四樓之6,121.235636272432,24.8199632581816
桃園市龍潭區大平里4鄰民治十八街45號四樓之7,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45號四樓之7,121.235636272432,24.8199632581816
桃園市龍潭區大平里4鄰民治十八街45號四樓之8,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45號四樓之8,121.235636272432,24.8199632581816
桃園市龍潭區大平里4鄰民治十八街45號四樓之9,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45號四樓之9,121.235636272432,24.8199632581816
桃園市龍潭區大平里4鄰民治十八街45號三樓之1,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45號三樓之1,121.235636272432,24.8199632581816
桃園市龍潭區大平里4鄰民治十八街45號三樓之10,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45號三樓之10,121.235636272432,24.8199632581816
桃園市龍潭區大平里4鄰民治十八街45號三樓之11,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45號三樓之11,121.235636272432,24.8199632581816
桃園市龍潭區大平里4鄰民治十八街45號三樓之12,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45號三樓之12,121.235636272432,24.8199632581816
桃園市龍潭區大平里4鄰民治十八街45號三樓之13,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45號三樓之13,121.235636272432,24.8199632581816
桃園市龍潭區大平里4鄰民治十八街45號三樓之2,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45號三樓之2,121.235636272432,24.8199632581816
桃園市龍潭區大平里4鄰民治十八街45號三樓之3,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45號三樓之3,121.235636272432,24.8199632581816
桃園市龍潭區大平里4鄰民治十八街45號三樓之4,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45號三樓之4,121.235636272432,24.8199632581816
桃園市龍潭區大平里4鄰民治十八街45號三樓之5,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45號三樓之5,121.235636272432,24.8199632581816
桃園市龍潭區大平里4鄰民治十八街45號三樓之7,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45號三樓之7,121.235636272432,24.8199632581816
桃園市龍潭區大平里4鄰民治十八街45號三樓之8,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45號三樓之8,121.235636272432,24.8199632581816
桃園市龍潭區大平里4鄰民治十八街45號三樓之9,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45號三樓之9,121.235636272432,24.8199632581816
桃園市龍潭區大平里4鄰民治十八街45號五樓之1,68,6800900,6800900-018,4鄰,民治十八街,,,,,,45號五樓之1,121.235636272432,24.8199632581816
