FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市中壢區石頭里12鄰永樂路1號,68,6800200,6800200-038,12鄰,永樂路,,,,,,1號,121.22306340012,24.95340228021
桃園市中壢區石頭里1鄰永樂路2號,68,6800200,6800200-038,1鄰,永樂路,,,,,,2號,121.222925628532,24.9535014376528
桃園市中壢區石頭里12鄰永樂路3號,68,6800200,6800200-038,12鄰,永樂路,,,,,,3號,121.223010659366,24.9533710306444
桃園市中壢區石頭里12鄰永樂路5號,68,6800200,6800200-038,12鄰,永樂路,,,,,,5號,121.222965432449,24.9533328179496
桃園市中壢區石頭里1鄰永樂路6號九樓,68,6800200,6800200-038,1鄰,永樂路,,,,,,6號九樓,121.222858894209,24.9534534161598
桃園市中壢區石頭里1鄰永樂路6號十三樓,68,6800200,6800200-038,1鄰,永樂路,,,,,,6號十三樓,121.222858894209,24.9534534161598
桃園市中壢區石頭里1鄰永樂路6號四樓,68,6800200,6800200-038,1鄰,永樂路,,,,,,6號四樓,121.222858894209,24.9534534161598
桃園市中壢區石頭里1鄰永樂路6號十樓,68,6800200,6800200-038,1鄰,永樂路,,,,,,6號十樓,121.222858894209,24.9534534161598
桃園市中壢區石頭里1鄰永樂路6號十一樓,68,6800200,6800200-038,1鄰,永樂路,,,,,,6號十一樓,121.222858894209,24.9534534161598
桃園市中壢區石頭里1鄰永樂路6號十二樓,68,6800200,6800200-038,1鄰,永樂路,,,,,,6號十二樓,121.222858894209,24.9534534161598
桃園市中壢區石頭里1鄰永樂路6號十四樓,68,6800200,6800200-038,1鄰,永樂路,,,,,,6號十四樓,121.222858894209,24.9534534161598
桃園市中壢區石頭里1鄰永樂路6號十五樓,68,6800200,6800200-038,1鄰,永樂路,,,,,,6號十五樓,121.222858894209,24.9534534161598
桃園市中壢區石頭里1鄰永樂路6號七樓,68,6800200,6800200-038,1鄰,永樂路,,,,,,6號七樓,121.222858894209,24.9534534161598
桃園市中壢區石頭里1鄰永樂路6號八樓,68,6800200,6800200-038,1鄰,永樂路,,,,,,6號八樓,121.222858894209,24.9534534161598
桃園市中壢區石頭里1鄰永樂路6號二樓,68,6800200,6800200-038,1鄰,永樂路,,,,,,6號二樓,121.222858894209,24.9534534161598
桃園市中壢區石頭里1鄰永樂路6號六樓,68,6800200,6800200-038,1鄰,永樂路,,,,,,6號六樓,121.222858894209,24.9534534161598
桃園市中壢區石頭里1鄰永樂路6號三樓,68,6800200,6800200-038,1鄰,永樂路,,,,,,6號三樓,121.222858894209,24.9534534161598
桃園市中壢區石頭里1鄰永樂路6號五樓,68,6800200,6800200-038,1鄰,永樂路,,,,,,6號五樓,121.222858894209,24.9534534161598
桃園市中壢區石頭里12鄰永樂路7號,68,6800200,6800200-038,12鄰,永樂路,,,,,,7號,121.222924580786,24.9533045299279
桃園市中壢區石頭里1鄰永樂路8號四樓,68,6800200,6800200-038,1鄰,永樂路,,,,,,8號四樓,121.222803872042,24.9534200934032
桃園市中壢區石頭里1鄰永樂路8號五樓,68,6800200,6800200-038,1鄰,永樂路,,,,,,8號五樓,121.222803872042,24.9534200934032
