FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市新屋區下田里4鄰永田路7號,68,6801100,6801100-012,4鄰,永田路,,,,,,7號,121.04608944848,24.9869581815563
桃園市新屋區下田里4鄰永田路9號,68,6801100,6801100-012,4鄰,永田路,,,,,,9號,121.046081309514,24.9869147574887
桃園市新屋區下田里4鄰永田路11號,68,6801100,6801100-012,4鄰,永田路,,,,,,11號,121.046079315293,24.9868797279269
桃園市新屋區下田里4鄰永田路13號,68,6801100,6801100-012,4鄰,永田路,,,,,,13號,121.046077023864,24.9868446081729
桃園市新屋區下田里4鄰永田路15號,68,6801100,6801100-012,4鄰,永田路,,,,,,15號,121.046078198934,24.986808042802
桃園市新屋區下田里4鄰永田路17號,68,6801100,6801100-012,4鄰,永田路,,,,,,17號,121.046077289677,24.9867604634321
桃園市新屋區下田里4鄰永田路19號,68,6801100,6801100-012,4鄰,永田路,,,,,,19號,121.046077175476,24.9867198356814
桃園市新屋區下田里4鄰永田路21號,68,6801100,6801100-012,4鄰,永田路,,,,,,21號,121.046078547213,24.9866793880383
桃園市新屋區下田里4鄰永田路23號,68,6801100,6801100-012,4鄰,永田路,,,,,,23號,121.046078632071,24.9866412881767
桃園市新屋區下田里4鄰永田路25號,68,6801100,6801100-012,4鄰,永田路,,,,,,25號,121.046077925945,24.9866071610544
桃園市新屋區下田里4鄰永田路27號,68,6801100,6801100-012,4鄰,永田路,,,,,,27號,121.046076030451,24.9865712286209
桃園市新屋區下田里4鄰永田路29號,68,6801100,6801100-012,4鄰,永田路,,,,,,29號,121.046095905148,24.9864747991845
桃園市新屋區下田里4鄰永田路31號,68,6801100,6801100-012,4鄰,永田路,,,,,,31號,121.046102430815,24.9864422046491
桃園市新屋區永安里1鄰永田路6巷15號,68,6801100,6801100-016,1鄰,永田路,,6巷,,,,15號,121.04564249358,24.9866792515584
桃園市新屋區永安里1鄰永田路6巷25弄1號,68,6801100,6801100-016,1鄰,永田路,,6巷,25弄,,,1號,121.045395102102,24.9865607843712
桃園市新屋區永安里1鄰永田路6巷25弄3號,68,6801100,6801100-016,1鄰,永田路,,6巷,25弄,,,3號,121.045374089191,24.9865263925858
桃園市新屋區永安里1鄰永田路6巷25弄5號,68,6801100,6801100-016,1鄰,永田路,,6巷,25弄,,,5號,121.045363577157,24.9864939838443
桃園市新屋區永安里1鄰永田路6巷25弄7號,68,6801100,6801100-016,1鄰,永田路,,6巷,25弄,,,7號,121.045346817429,24.9864423465194
桃園市新屋區永安里1鄰永田路6巷25弄9號,68,6801100,6801100-016,1鄰,永田路,,6巷,25弄,,,9號,121.045327882648,24.9864021759194
桃園市新屋區永安里1鄰永田路6巷25弄11號,68,6801100,6801100-016,1鄰,永田路,,6巷,25弄,,,11號,121.045298544031,24.9863544246299
桃園市新屋區永安里1鄰永田路6巷25弄13號,68,6801100,6801100-016,1鄰,永田路,,6巷,25弄,,,13號,121.045281785076,24.9863047735439
桃園市新屋區永安里1鄰永田路6巷25弄15號,68,6801100,6801100-016,1鄰,永田路,,6巷,25弄,,,15號,121.045267106348,24.9862551218229
桃園市新屋區永安里1鄰永田路6巷25弄17號,68,6801100,6801100-016,1鄰,永田路,,6巷,25弄,,,17號,121.045256592217,24.9862168446148
桃園市新屋區永安里1鄰永田路6巷25弄19號,68,6801100,6801100-016,1鄰,永田路,,6巷,25弄,,,19號,121.04524607882,24.986180553653
桃園市新屋區永安里1鄰永田路6巷25弄21號,68,6801100,6801100-016,1鄰,永田路,,6巷,25弄,,,21號,121.045237647027,24.9861480539846
桃園市新屋區永安里1鄰永田路6巷25弄23號,68,6801100,6801100-016,1鄰,永田路,,6巷,25弄,,,23號,121.04513491659,24.9861270490088
桃園市新屋區永安里3鄰永田路8號,68,6801100,6801100-016,3鄰,永田路,,,,,,8號,121.045968573888,24.9868950201647
桃園市新屋區永安里1鄰永田路10號,68,6801100,6801100-016,1鄰,永田路,,,,,,10號,121.045963410105,24.9868607138519
桃園市新屋區永安里1鄰永田路12號,68,6801100,6801100-016,1鄰,永田路,,,,,,12號,121.045973899597,24.9868320003101
桃園市新屋區永安里1鄰永田路16號,68,6801100,6801100-016,1鄰,永田路,,,,,,16號,121.045984275115,24.9867632007206
桃園市新屋區永安里1鄰永田路18號,68,6801100,6801100-016,1鄰,永田路,,,,,,18號,121.045978017396,24.9867173383976
桃園市新屋區永安里1鄰永田路20號,68,6801100,6801100-016,1鄰,永田路,,,,,,20號,121.045977997485,24.9866638000097
桃園市新屋區永安里1鄰永田路26巷2號,68,6801100,6801100-016,1鄰,永田路,,26巷,,,,2號,121.046000320336,24.9864910798747
桃園市新屋區永安里1鄰永田路26巷6號,68,6801100,6801100-016,1鄰,永田路,,26巷,,,,6號,121.045983183857,24.9864925297141
桃園市新屋區永安里1鄰永田路26巷7號,68,6801100,6801100-016,1鄰,永田路,,26巷,,,,7號,121.045963857262,24.9864648185048
桃園市新屋區永安里1鄰永田路26巷8號,68,6801100,6801100-016,1鄰,永田路,,26巷,,,,8號,121.04596703742,24.9864925347021
桃園市新屋區永安里1鄰永田路26巷10號,68,6801100,6801100-016,1鄰,永田路,,26巷,,,,10號,121.045948810934,24.9864929917504
桃園市新屋區永安里1鄰永田路26巷12號,68,6801100,6801100-016,1鄰,永田路,,26巷,,,,12號,121.045933258676,24.9864925451314
桃園市新屋區永安里1鄰永田路26巷16號,68,6801100,6801100-016,1鄰,永田路,,26巷,,,,16號,121.045913446928,24.986492099825
桃園市新屋區永安里1鄰永田路32號,68,6801100,6801100-016,1鄰,永田路,,,,,,32號,121.045983258468,24.986426802959
桃園市新屋區永安里1鄰永田路35號,68,6801100,6801100-016,1鄰,永田路,,,,,,35號,121.046097858465,24.986400133734
桃園市新屋區永安里1鄰永田路36號,68,6801100,6801100-016,1鄰,永田路,,,,,,36號,121.045982046335,24.9863637851201
桃園市新屋區永安里1鄰永田路37號,68,6801100,6801100-016,1鄰,永田路,,,,,,37號,121.046114494455,24.9863847803047
桃園市新屋區永安里1鄰永田路38號,68,6801100,6801100-016,1鄰,永田路,,,,,,38號,121.045994603935,24.9863026589892
桃園市新屋區永安里1鄰永田路41號,68,6801100,6801100-016,1鄰,永田路,,,,,,41號,121.046149895274,24.9862190079543
桃園市新屋區永安里1鄰永田路43號,68,6801100,6801100-016,1鄰,永田路,,,,,,43號,121.046218204874,24.9861114585408
桃園市新屋區永安里1鄰永田路47號,68,6801100,6801100-016,1鄰,永田路,,,,,,47號,121.046108819666,24.9860427863639
桃園市新屋區永安里1鄰永田路51號,68,6801100,6801100-016,1鄰,永田路,,,,,,51號,121.0462093945,24.985861826077
桃園市新屋區永安里1鄰永田路52號,68,6801100,6801100-016,1鄰,永田路,,,,,,52號,121.045951029128,24.9860646838891
桃園市新屋區永安里1鄰永田路55號,68,6801100,6801100-016,1鄰,永田路,,,,,,55號,121.045865517518,24.9857304789747
桃園市新屋區永安里1鄰永田路56巷7號,68,6801100,6801100-016,1鄰,永田路,,56巷,,,,7號,121.045769824525,24.9862557806211
桃園市新屋區永安里1鄰永田路56巷15號,68,6801100,6801100-016,1鄰,永田路,,56巷,,,,15號,121.045519714478,24.9862848384862
桃園市新屋區永安里1鄰永田路56巷20號,68,6801100,6801100-016,1鄰,永田路,,56巷,,,,20號,121.045427961239,24.9862147158726
桃園市新屋區永安里1鄰永田路57號,68,6801100,6801100-016,1鄰,永田路,,,,,,57號,121.045724410053,24.9855956381245
桃園市新屋區永安里1鄰永田路80號,68,6801100,6801100-016,1鄰,永田路,,,,,,80號,121.045188234952,24.9859254287053
