FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市龍潭區上林里20鄰玉龍路29號,68,6800900,6800900-009,20鄰,玉龍路,,,,,,29號,121.211887820744,24.8613880344247
桃園市龍潭區上林里20鄰玉龍路29號二樓,68,6800900,6800900-009,20鄰,玉龍路,,,,,,29號二樓,121.211887820744,24.8613880344247
桃園市龍潭區上林里20鄰玉龍路29號三樓,68,6800900,6800900-009,20鄰,玉龍路,,,,,,29號三樓,121.211887820744,24.8613880344247
桃園市龍潭區上林里20鄰玉龍路29號四樓,68,6800900,6800900-009,20鄰,玉龍路,,,,,,29號四樓,121.211887820744,24.8613880344247
桃園市龍潭區上林里20鄰玉龍路29號五樓,68,6800900,6800900-009,20鄰,玉龍路,,,,,,29號五樓,121.211887820744,24.8613880344247
桃園市龍潭區上林里20鄰玉龍路29號六樓,68,6800900,6800900-009,20鄰,玉龍路,,,,,,29號六樓,121.211887820744,24.8613880344247
桃園市龍潭區上林里20鄰玉龍路29號七樓,68,6800900,6800900-009,20鄰,玉龍路,,,,,,29號七樓,121.211887820744,24.8613880344247
桃園市龍潭區上林里20鄰玉龍路29號八樓,68,6800900,6800900-009,20鄰,玉龍路,,,,,,29號八樓,121.211887820744,24.8613880344247
桃園市龍潭區上林里20鄰玉龍路29號九樓,68,6800900,6800900-009,20鄰,玉龍路,,,,,,29號九樓,121.211887820744,24.8613880344247
桃園市龍潭區上林里20鄰玉龍路31號,68,6800900,6800900-009,20鄰,玉龍路,,,,,,31號,121.211839469721,24.861352982099
桃園市龍潭區上林里20鄰玉龍路31號十樓,68,6800900,6800900-009,20鄰,玉龍路,,,,,,31號十樓,121.211839469721,24.861352982099
桃園市龍潭區上林里20鄰玉龍路31號二樓,68,6800900,6800900-009,20鄰,玉龍路,,,,,,31號二樓,121.211839469721,24.861352982099
桃園市龍潭區上林里20鄰玉龍路31號三樓,68,6800900,6800900-009,20鄰,玉龍路,,,,,,31號三樓,121.211839469721,24.861352982099
桃園市龍潭區上林里20鄰玉龍路31號四樓,68,6800900,6800900-009,20鄰,玉龍路,,,,,,31號四樓,121.211839469721,24.861352982099
桃園市龍潭區上林里20鄰玉龍路31號五樓,68,6800900,6800900-009,20鄰,玉龍路,,,,,,31號五樓,121.211839469721,24.861352982099
桃園市龍潭區上林里20鄰玉龍路31號六樓,68,6800900,6800900-009,20鄰,玉龍路,,,,,,31號六樓,121.211839469721,24.861352982099
桃園市龍潭區上林里20鄰玉龍路31號七樓,68,6800900,6800900-009,20鄰,玉龍路,,,,,,31號七樓,121.211839469721,24.861352982099
桃園市龍潭區上林里20鄰玉龍路31號八樓,68,6800900,6800900-009,20鄰,玉龍路,,,,,,31號八樓,121.211839469721,24.861352982099
桃園市龍潭區上林里20鄰玉龍路31號九樓,68,6800900,6800900-009,20鄰,玉龍路,,,,,,31號九樓,121.211839469721,24.861352982099
桃園市龍潭區上林里20鄰玉龍路36號,68,6800900,6800900-009,20鄰,玉龍路,,,,,,36號,121.211601575076,24.8615270278351
桃園市龍潭區上林里20鄰玉龍路65號,68,6800900,6800900-009,20鄰,玉龍路,,,,,,65號,121.211322078664,24.8608048717902
桃園市龍潭區上林里20鄰玉龍路67號,68,6800900,6800900-009,20鄰,玉龍路,,,,,,67號,121.211266943429,24.8607371456608
桃園市龍潭區上林里20鄰玉龍路69號,68,6800900,6800900-009,20鄰,玉龍路,,,,,,69號,121.211239467199,24.8606988133457
桃園市龍潭區上林里20鄰玉龍路71號,68,6800900,6800900-009,20鄰,玉龍路,,,,,,71號,121.211226619103,24.8606501678375
桃園市龍潭區上林里20鄰玉龍路73號,68,6800900,6800900-009,20鄰,玉龍路,,,,,,73號,121.211231001451,24.8606085402021
桃園市龍潭區上林里20鄰玉龍路75號,68,6800900,6800900-009,20鄰,玉龍路,,,,,,75號,121.211239542431,24.8605683512474
桃園市龍潭區上林里20鄰玉龍路77號,68,6800900,6800900-009,20鄰,玉龍路,,,,,,77號,121.211243414804,24.8605177861059
桃園市龍潭區上林里20鄰玉龍路81號,68,6800900,6800900-009,20鄰,玉龍路,,,,,,81號,121.211206662093,24.8603778961439
桃園市龍潭區上林里20鄰玉龍路83號,68,6800900,6800900-009,20鄰,玉龍路,,,,,,83號,121.2112123298,24.8603356346944
桃園市龍潭區上林里20鄰玉龍路85號,68,6800900,6800900-009,20鄰,玉龍路,,,,,,85號,121.211285464038,24.8602804573442
桃園市龍潭區上林里20鄰玉龍路87號,68,6800900,6800900-009,20鄰,玉龍路,,,,,,87號,121.211288265045,24.8602400056486
桃園市龍潭區上林里20鄰玉龍路91號,68,6800900,6800900-009,20鄰,玉龍路,,,,,,91號,121.211255434268,24.8600787125718
桃園市龍潭區上林里31鄰玉龍路92號,68,6800900,6800900-009,31鄰,玉龍路,,,,,,92號,121.211007437074,24.8601882178083
桃園市龍潭區上林里31鄰玉龍路96號,68,6800900,6800900-009,31鄰,玉龍路,,,,,,96號,121.211013104841,24.8601459563649
桃園市龍潭區上林里20鄰玉龍路97號,68,6800900,6800900-009,20鄰,玉龍路,,,,,,97號,121.211284326302,24.8599603079126
桃園市龍潭區上林里31鄰玉龍路98號,68,6800900,6800900-009,31鄰,玉龍路,,,,,,98號,121.211025988295,24.860098899616
桃園市龍潭區上林里20鄰玉龍路99號,68,6800900,6800900-009,20鄰,玉龍路,,,,,,99號,121.211320559906,24.8598529979309
桃園市龍潭區上林里31鄰玉龍路100號,68,6800900,6800900-009,31鄰,玉龍路,,,,,,100號,121.211033627669,24.860052211415
桃園市龍潭區上林里31鄰玉龍路102號,68,6800900,6800900-009,31鄰,玉龍路,,,,,,102號,121.211042252156,24.860002903553
桃園市龍潭區上林里20鄰玉龍路103號,68,6800900,6800900-009,20鄰,玉龍路,,,,,,103號,121.211328846569,24.8597214407801
桃園市龍潭區上林里19鄰玉龍路105號,68,6800900,6800900-009,19鄰,玉龍路,,,,,,105號,121.211335578785,24.8596650933368
桃園市龍潭區上林里31鄰玉龍路106號,68,6800900,6800900-009,31鄰,玉龍路,,,,,,106號,121.211048896286,24.8599528762071
