FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市大溪區瑞興里15鄰瑞仁路68號,68,6800300,6800300-013,15鄰,瑞仁路,,,,,,68號,121.286455323309,24.8968106621717
桃園市大溪區瑞興里15鄰瑞仁路86之1號,68,6800300,6800300-013,15鄰,瑞仁路,,,,,,86之1號,121.28672440667,24.8969569476942
桃園市大溪區瑞興里15鄰瑞仁路88號,68,6800300,6800300-013,15鄰,瑞仁路,,,,,,88號,121.286715744077,24.8970634998612
桃園市大溪區瑞興里15鄰瑞仁路92巷1號,68,6800300,6800300-013,15鄰,瑞仁路,,92巷,,,,1號,121.286841107355,24.8972553839918
桃園市大溪區瑞興里15鄰瑞仁路92巷2號,68,6800300,6800300-013,15鄰,瑞仁路,,92巷,,,,2號,121.286770519064,24.8971218988518
桃園市大溪區瑞興里15鄰瑞仁路92巷3號,68,6800300,6800300-013,15鄰,瑞仁路,,92巷,,,,3號,121.286879252062,24.8972277739362
桃園市大溪區瑞興里15鄰瑞仁路92巷5號,68,6800300,6800300-013,15鄰,瑞仁路,,92巷,,,,5號,121.286926136259,24.897212606304
桃園市大溪區瑞興里15鄰瑞仁路92巷6號,68,6800300,6800300-013,15鄰,瑞仁路,,92巷,,,,6號,121.286834139975,24.8970674253943
桃園市大溪區瑞興里15鄰瑞仁路92巷7號,68,6800300,6800300-013,15鄰,瑞仁路,,92巷,,,,7號,121.286966986515,24.8971992559486
桃園市大溪區瑞興里15鄰瑞仁路92巷8號,68,6800300,6800300-013,15鄰,瑞仁路,,92巷,,,,8號,121.286874185793,24.8970486595503
桃園市大溪區瑞興里15鄰瑞仁路92巷9號,68,6800300,6800300-013,15鄰,瑞仁路,,92巷,,,,9號,121.287007226776,24.8971789548615
桃園市大溪區瑞興里15鄰瑞仁路92巷10號,68,6800300,6800300-013,15鄰,瑞仁路,,92巷,,,,10號,121.286916116073,24.8970315151902
桃園市大溪區瑞興里15鄰瑞仁路92巷11號,68,6800300,6800300-013,15鄰,瑞仁路,,92巷,,,,11號,121.287051418084,24.8971550347892
桃園市大溪區瑞興里15鄰瑞仁路92巷12號,68,6800300,6800300-013,15鄰,瑞仁路,,92巷,,,,12號,121.28695467208,24.8970105853653
桃園市大溪區瑞興里15鄰瑞仁路92巷16號,68,6800300,6800300-013,15鄰,瑞仁路,,92巷,,,,16號,121.286991857102,24.8969960683554
桃園市大溪區瑞興里15鄰瑞仁路130號,68,6800300,6800300-013,15鄰,瑞仁路,,,,,,130號,121.287401847619,24.8983180349343
