FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市觀音區大堀里10鄰石牌路30巷5號,68,6801200,6801200-013,10鄰,石牌路,,30巷,,,,5號,121.123989713761,25.0149757312019
桃園市觀音區大堀里10鄰石牌路30巷69之1號,68,6801200,6801200-013,10鄰,石牌路,,30巷,,,,69之1號,121.124107920983,25.0163596786447
桃園市觀音區大堀里10鄰石牌路30巷87號,68,6801200,6801200-013,10鄰,石牌路,,30巷,,,,87號,121.12404117604,25.016790115731
桃園市觀音區大堀里10鄰石牌路50號,68,6801200,6801200-013,10鄰,石牌路,,,,,,50號,121.123901165819,25.0147095589369
桃園市觀音區大堀里10鄰石牌路68號,68,6801200,6801200-013,10鄰,石牌路,,,,,,68號,121.123775223724,25.0145010186216
桃園市觀音區大堀里10鄰石牌路70號,68,6801200,6801200-013,10鄰,石牌路,,,,,,70號,121.123535424059,25.0142774954762
桃園市觀音區大堀里10鄰石牌路98號,68,6801200,6801200-013,10鄰,石牌路,,,,,,98號,121.123525671489,25.0140367174312
桃園市觀音區藍埔里10鄰石牌路398巷15號,68,6801200,6801200-011,10鄰,石牌路,,398巷,,,,15號,121.120463530598,25.0107074055185
桃園市觀音區藍埔里10鄰石牌路398巷17號,68,6801200,6801200-011,10鄰,石牌路,,398巷,,,,17號,121.120458114738,25.0105384893475
桃園市觀音區藍埔里10鄰石牌路398巷19號,68,6801200,6801200-011,10鄰,石牌路,,398巷,,,,19號,121.120360221831,25.0105336030093
桃園市觀音區藍埔里10鄰石牌路398巷21弄9號,68,6801200,6801200-011,10鄰,石牌路,,398巷,21弄,,,9號,121.120557348078,25.0108000507193
桃園市觀音區藍埔里10鄰石牌路398巷21號,68,6801200,6801200-011,10鄰,石牌路,,398巷,,,,21號,121.120293170669,25.0106599639736
桃園市觀音區藍埔里10鄰石牌路399巷21弄9號,68,6801200,6801200-011,10鄰,石牌路,,399巷,21弄,,,9號,121.121831374973,25.0117963749447
桃園市觀音區藍埔里10鄰石牌路420巷56弄28號,68,6801200,6801200-011,10鄰,石牌路,,420巷,56弄,,,28號,121.120360915449,25.0103303741283
