FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市桃園區民生里13鄰福昌街2號,68,6800100,6800100-008,13鄰,福昌街,,,,,,2號,121.313278681851,24.9943368192635
桃園市桃園區民生里13鄰福昌街2號八樓,68,6800100,6800100-008,13鄰,福昌街,,,,,,2號八樓,121.313278681851,24.9943368192635
桃園市桃園區民生里13鄰福昌街2號九樓,68,6800100,6800100-008,13鄰,福昌街,,,,,,2號九樓,121.313278681851,24.9943368192635
桃園市桃園區民生里13鄰福昌街2號三樓,68,6800100,6800100-008,13鄰,福昌街,,,,,,2號三樓,121.313278681851,24.9943368192635
桃園市桃園區民生里13鄰福昌街2號四樓,68,6800100,6800100-008,13鄰,福昌街,,,,,,2號四樓,121.313278681851,24.9943368192635
桃園市桃園區民生里13鄰福昌街2號五樓,68,6800100,6800100-008,13鄰,福昌街,,,,,,2號五樓,121.313278681851,24.9943368192635
桃園市桃園區民生里13鄰福昌街2號六樓,68,6800100,6800100-008,13鄰,福昌街,,,,,,2號六樓,121.313278681851,24.9943368192635
桃園市桃園區民生里13鄰福昌街2號七樓,68,6800100,6800100-008,13鄰,福昌街,,,,,,2號七樓,121.313278681851,24.9943368192635
桃園市桃園區民生里13鄰福昌街3號,68,6800100,6800100-008,13鄰,福昌街,,,,,,3號,121.313252783109,24.9944760902108
桃園市桃園區民生里13鄰福昌街5號,68,6800100,6800100-008,13鄰,福昌街,,,,,,5號,121.313254536576,24.9945816273693
桃園市桃園區民生里13鄰福昌街6號,68,6800100,6800100-008,13鄰,福昌街,,,,,,6號,121.313322811003,24.9943549635119
桃園市桃園區民生里13鄰福昌街6號六樓,68,6800100,6800100-008,13鄰,福昌街,,,,,,6號六樓,121.313322811003,24.9943549635119
桃園市桃園區民生里13鄰福昌街6號二樓,68,6800100,6800100-008,13鄰,福昌街,,,,,,6號二樓,121.313322811003,24.9943549635119
桃園市桃園區民生里13鄰福昌街6號三樓,68,6800100,6800100-008,13鄰,福昌街,,,,,,6號三樓,121.313322811003,24.9943549635119
桃園市桃園區民生里13鄰福昌街6號四樓,68,6800100,6800100-008,13鄰,福昌街,,,,,,6號四樓,121.313322811003,24.9943549635119
桃園市桃園區民生里13鄰福昌街6號五樓,68,6800100,6800100-008,13鄰,福昌街,,,,,,6號五樓,121.313322811003,24.9943549635119
桃園市桃園區民生里13鄰福昌街6號八樓,68,6800100,6800100-008,13鄰,福昌街,,,,,,6號八樓,121.313322811003,24.9943549635119
桃園市桃園區民生里13鄰福昌街6號九樓,68,6800100,6800100-008,13鄰,福昌街,,,,,,6號九樓,121.313322811003,24.9943549635119
桃園市桃園區民生里13鄰福昌街6號七樓,68,6800100,6800100-008,13鄰,福昌街,,,,,,6號七樓,121.313322811003,24.9943549635119
桃園市桃園區民生里13鄰福昌街7號,68,6800100,6800100-008,13鄰,福昌街,,,,,,7號,121.313249647763,24.9946460997375
桃園市桃園區民生里13鄰福昌街8號,68,6800100,6800100-008,13鄰,福昌街,,,,,,8號,121.313372990094,24.9943758937787
桃園市桃園區民生里13鄰福昌街8號二樓,68,6800100,6800100-008,13鄰,福昌街,,,,,,8號二樓,121.313372990094,24.9943758937787
桃園市桃園區民生里13鄰福昌街12號,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號十樓之2,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號十樓之2,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號七樓之4,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號七樓之4,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號四樓之3,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號四樓之3,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號九樓之3,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號九樓之3,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號五樓之3,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號五樓之3,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號五樓之4,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號五樓之4,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號五樓之1,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號五樓之1,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號七樓之1,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號七樓之1,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號七樓之2,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號七樓之2,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號八樓之2,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號八樓之2,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號三樓之2,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號三樓之2,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號五樓之2,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號五樓之2,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號六樓之3,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號六樓之3,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號四樓之1,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號四樓之1,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號三樓之3,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號三樓之3,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號三樓之4,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號三樓之4,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號四樓之4,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號四樓之4,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號六樓之2,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號六樓之2,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號六樓之1,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號六樓之1,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號四樓之2,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號四樓之2,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號六樓之4,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號六樓之4,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號九樓之2,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號九樓之2,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號九樓之4,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號九樓之4,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號七樓之3,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號七樓之3,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號八樓之1,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號八樓之1,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號八樓之3,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號八樓之3,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號九樓之1,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號九樓之1,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號十樓之3,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號十樓之3,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號八樓之4,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號八樓之4,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號二樓之2,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號二樓之2,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號二樓之1,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號二樓之1,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號二樓之3,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號二樓之3,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號三樓之1,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號三樓之1,121.313462524428,24.9945246721596
桃園市桃園區民生里13鄰福昌街12號二樓之4,68,6800100,6800100-008,13鄰,福昌街,,,,,,12號二樓之4,121.313462524428,24.9945246721596
桃園市桃園區民生里14鄰福昌街13號,68,6800100,6800100-008,14鄰,福昌街,,,,,,13號,121.313195843327,24.9947582542308
桃園市桃園區民生里14鄰福昌街15號,68,6800100,6800100-008,14鄰,福昌街,,,,,,15號,121.313124441032,24.994806254515
桃園市桃園區民生里14鄰福昌街16號五樓之2,68,6800100,6800100-008,14鄰,福昌街,,,,,,16號五樓之2,121.313466557633,24.9947087507353
桃園市桃園區民生里14鄰福昌街16號七樓之1,68,6800100,6800100-008,14鄰,福昌街,,,,,,16號七樓之1,121.313466557633,24.9947087507353
桃園市桃園區民生里14鄰福昌街16號七樓之2,68,6800100,6800100-008,14鄰,福昌街,,,,,,16號七樓之2,121.313466557633,24.9947087507353
桃園市桃園區民生里14鄰福昌街16號八樓之2,68,6800100,6800100-008,14鄰,福昌街,,,,,,16號八樓之2,121.313466557633,24.9947087507353
桃園市桃園區民生里14鄰福昌街16號八樓之1,68,6800100,6800100-008,14鄰,福昌街,,,,,,16號八樓之1,121.313466557633,24.9947087507353
桃園市桃園區民生里14鄰福昌街16號二樓之1,68,6800100,6800100-008,14鄰,福昌街,,,,,,16號二樓之1,121.313466557633,24.9947087507353
桃園市桃園區民生里14鄰福昌街16號九樓之1,68,6800100,6800100-008,14鄰,福昌街,,,,,,16號九樓之1,121.313466557633,24.9947087507353
桃園市桃園區民生里14鄰福昌街16號一樓,68,6800100,6800100-008,14鄰,福昌街,,,,,,16號一樓,121.313431503976,24.994714602696
桃園市桃園區民生里14鄰福昌街16號六樓之1,68,6800100,6800100-008,14鄰,福昌街,,,,,,16號六樓之1,121.313466557633,24.9947087507353
桃園市桃園區民生里14鄰福昌街16號二樓之2,68,6800100,6800100-008,14鄰,福昌街,,,,,,16號二樓之2,121.313466557633,24.9947087507353
桃園市桃園區民生里14鄰福昌街16號三樓之1,68,6800100,6800100-008,14鄰,福昌街,,,,,,16號三樓之1,121.313466557633,24.9947087507353
桃園市桃園區民生里14鄰福昌街16號三樓之2,68,6800100,6800100-008,14鄰,福昌街,,,,,,16號三樓之2,121.313466557633,24.9947087507353
桃園市桃園區民生里14鄰福昌街16號五樓之1,68,6800100,6800100-008,14鄰,福昌街,,,,,,16號五樓之1,121.313466557633,24.9947087507353
桃園市桃園區民生里14鄰福昌街16號六樓之2,68,6800100,6800100-008,14鄰,福昌街,,,,,,16號六樓之2,121.313466557633,24.9947087507353
桃園市桃園區民生里14鄰福昌街16號四樓之1,68,6800100,6800100-008,14鄰,福昌街,,,,,,16號四樓之1,121.313466557633,24.9947087507353
桃園市桃園區民生里14鄰福昌街16號四樓之2,68,6800100,6800100-008,14鄰,福昌街,,,,,,16號四樓之2,121.313466557633,24.9947087507353
桃園市桃園區民生里14鄰福昌街16號九樓之2,68,6800100,6800100-008,14鄰,福昌街,,,,,,16號九樓之2,121.313466557633,24.9947087507353
桃園市桃園區民生里14鄰福昌街17號,68,6800100,6800100-008,14鄰,福昌街,,,,,,17號,121.31311952172,24.9948587193006
桃園市桃園區民生里14鄰福昌街18號九樓之6,68,6800100,6800100-008,14鄰,福昌街,,,,,,18號九樓之6,121.313436060221,24.9948315096033
桃園市桃園區民生里14鄰福昌街18號八樓之3,68,6800100,6800100-008,14鄰,福昌街,,,,,,18號八樓之3,121.313436060221,24.9948315096033
桃園市桃園區民生里14鄰福昌街18號五樓之2,68,6800100,6800100-008,14鄰,福昌街,,,,,,18號五樓之2,121.313436060221,24.9948315096033
桃園市桃園區民生里14鄰福昌街18號五樓之6,68,6800100,6800100-008,14鄰,福昌街,,,,,,18號五樓之6,121.313436060221,24.9948315096033
桃園市桃園區民生里14鄰福昌街18號四樓之3,68,6800100,6800100-008,14鄰,福昌街,,,,,,18號四樓之3,121.313436060221,24.9948315096033
桃園市桃園區民生里14鄰福昌街18號六樓之5,68,6800100,6800100-008,14鄰,福昌街,,,,,,18號六樓之5,121.313436060221,24.9948315096033
桃園市桃園區民生里14鄰福昌街18號九樓之4,68,6800100,6800100-008,14鄰,福昌街,,,,,,18號九樓之4,121.313436060221,24.9948315096033
桃園市桃園區民生里14鄰福昌街18號六樓之2,68,6800100,6800100-008,14鄰,福昌街,,,,,,18號六樓之2,121.313436060221,24.9948315096033
桃園市桃園區民生里14鄰福昌街18號六樓之3,68,6800100,6800100-008,14鄰,福昌街,,,,,,18號六樓之3,121.313436060221,24.9948315096033
桃園市桃園區民生里14鄰福昌街18號六樓之4,68,6800100,6800100-008,14鄰,福昌街,,,,,,18號六樓之4,121.313436060221,24.9948315096033
桃園市桃園區民生里14鄰福昌街18號六樓之6,68,6800100,6800100-008,14鄰,福昌街,,,,,,18號六樓之6,121.313436060221,24.9948315096033
桃園市桃園區民生里14鄰福昌街18號七樓之1,68,6800100,6800100-008,14鄰,福昌街,,,,,,18號七樓之1,121.313436060221,24.9948315096033
桃園市桃園區民生里14鄰福昌街18號七樓之2,68,6800100,6800100-008,14鄰,福昌街,,,,,,18號七樓之2,121.313436060221,24.9948315096033
桃園市桃園區民生里14鄰福昌街18號九樓之5,68,6800100,6800100-008,14鄰,福昌街,,,,,,18號九樓之5,121.313436060221,24.9948315096033
桃園市桃園區民生里14鄰福昌街18號九樓之1,68,6800100,6800100-008,14鄰,福昌街,,,,,,18號九樓之1,121.313436060221,24.9948315096033
