FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市龍潭區凌雲里20鄰竹林路6之1號,68,6800900,6800900-006,20鄰,竹林路,,,,,,6之1號,121.206582086156,24.8655424417206
桃園市龍潭區凌雲里20鄰竹林路8號,68,6800900,6800900-006,20鄰,竹林路,,,,,,8號,121.206628173473,24.8655253140873
桃園市龍潭區凌雲里20鄰竹林路37號,68,6800900,6800900-006,20鄰,竹林路,,,,,,37號,121.207037563547,24.8651026644139
桃園市龍潭區凌雲里20鄰竹林路39號,68,6800900,6800900-006,20鄰,竹林路,,,,,,39號,121.207032738572,24.8650577091337
桃園市龍潭區凌雲里20鄰竹林路51巷7號,68,6800900,6800900-006,20鄰,竹林路,,51巷,,,,7號,121.20723284422,24.8647653593867
桃園市龍潭區凌雲里18鄰竹林路51巷22之1號,68,6800900,6800900-006,18鄰,竹林路,,51巷,,,,22之1號,121.207505573486,24.8645843202767
桃園市龍潭區凌雲里20鄰竹林路56之1號,68,6800900,6800900-006,20鄰,竹林路,,,,,,56之1號,121.206807376579,24.8646834285557
桃園市龍潭區凌雲里20鄰竹林路58號,68,6800900,6800900-006,20鄰,竹林路,,,,,,58號,121.206822406159,24.8646165064972
桃園市龍潭區凌雲里20鄰竹林路59之1號,68,6800900,6800900-006,20鄰,竹林路,,,,,,59之1號,121.207013634206,24.8644010019292
桃園市龍潭區凌雲里20鄰竹林路59號,68,6800900,6800900-006,20鄰,竹林路,,,,,,59號,121.20701823789,24.8644913709186
桃園市龍潭區凌雲里20鄰竹林路61號,68,6800900,6800900-006,20鄰,竹林路,,,,,,61號,121.206979812713,24.8643552742642
桃園市龍潭區凌雲里20鄰竹林路62之1號,68,6800900,6800900-006,20鄰,竹林路,,,,,,62之1號,121.206804590771,24.8644365027065
桃園市龍潭區凌雲里20鄰竹林路62號,68,6800900,6800900-006,20鄰,竹林路,,,,,,62號,121.206800752077,24.8645084652349
桃園市龍潭區凌雲里20鄰竹林路63號,68,6800900,6800900-006,20鄰,竹林路,,,,,,63號,121.20695896714,24.8643168417035
桃園市龍潭區凌雲里20鄰竹林路65號,68,6800900,6800900-006,20鄰,竹林路,,,,,,65號,121.206907730891,24.8642724021425
桃園市龍潭區凌雲里20鄰竹林路67號,68,6800900,6800900-006,20鄰,竹林路,,,,,,67號,121.206896988103,24.8642392823969
桃園市龍潭區凌雲里20鄰竹林路71巷1號,68,6800900,6800900-006,20鄰,竹林路,,71巷,,,,1號,121.206757551884,24.8640597178706
桃園市龍潭區凌雲里20鄰竹林路71巷2號,68,6800900,6800900-006,20鄰,竹林路,,71巷,,,,2號,121.206650288994,24.8640058758312
桃園市龍潭區凌雲里20鄰竹林路71巷3號,68,6800900,6800900-006,20鄰,竹林路,,71巷,,,,3號,121.20664073111,24.8639711292945
桃園市龍潭區凌雲里20鄰竹林路71巷5號,68,6800900,6800900-006,20鄰,竹林路,,71巷,,,,5號,121.206625523542,24.8639309734674
桃園市龍潭區凌雲里20鄰竹林路71巷6號,68,6800900,6800900-006,20鄰,竹林路,,71巷,,,,6號,121.206613483434,24.8638912646823
桃園市龍潭區凌雲里20鄰竹林路71巷7號,68,6800900,6800900-006,20鄰,竹林路,,71巷,,,,7號,121.206598973101,24.8638538164402
桃園市龍潭區凌雲里20鄰竹林路71巷9號,68,6800900,6800900-006,20鄰,竹林路,,71巷,,,,9號,121.206563420698,24.8637786581293
桃園市龍潭區凌雲里20鄰竹林路71巷10號,68,6800900,6800900-006,20鄰,竹林路,,71巷,,,,10號,121.206542668311,24.8637366139738
桃園市龍潭區凌雲里20鄰竹林路71巷11號,68,6800900,6800900-006,20鄰,竹林路,,71巷,,,,11號,121.206526071475,24.8636941126435
桃園市龍潭區凌雲里20鄰竹林路76號,68,6800900,6800900-006,20鄰,竹林路,,,,,,76號,121.206594144933,24.8642832190132
桃園市龍潭區凌雲里20鄰竹林路80之1號,68,6800900,6800900-006,20鄰,竹林路,,,,,,80之1號,121.206448486621,24.86428965009
桃園市龍潭區凌雲里20鄰竹林路90號,68,6800900,6800900-006,20鄰,竹林路,,,,,,90號,121.206203919935,24.8642675069518
桃園市龍潭區凌雲里20鄰竹林路91號,68,6800900,6800900-006,20鄰,竹林路,,,,,,91號,121.206197898601,24.8640976890077
桃園市龍潭區凌雲里20鄰竹林路92之1號,68,6800900,6800900-006,20鄰,竹林路,,,,,,92之1號,121.206267192073,24.8643493081612
桃園市龍潭區凌雲里20鄰竹林路92號,68,6800900,6800900-006,20鄰,竹林路,,,,,,92號,121.20616250673,24.864238582607
桃園市龍潭區凌雲里20鄰竹林路94號,68,6800900,6800900-006,20鄰,竹林路,,,,,,94號,121.206128015779,24.8642066692894
桃園市龍潭區凌雲里20鄰竹林路96號,68,6800900,6800900-006,20鄰,竹林路,,,,,,96號,121.206103330827,24.8641801595378
桃園市龍潭區凌雲里20鄰竹林路98號,68,6800900,6800900-006,20鄰,竹林路,,,,,,98號,121.206063493845,24.8641468993055
桃園市龍潭區凌雲里20鄰竹林路100號,68,6800900,6800900-006,20鄰,竹林路,,,,,,100號,121.205947479916,24.8641866944753
