FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市中壢區興和里3鄰興南路20號,68,6800200,6800200-054,3鄰,興南路,,,,,,20號,121.222813146663,24.9745241936651
桃園市中壢區興和里3鄰興南路22號,68,6800200,6800200-054,3鄰,興南路,,,,,,22號,121.222774150855,24.9745403225203
桃園市中壢區興和里3鄰興南路59之10號,68,6800200,6800200-054,3鄰,興南路,,,,,,59之10號,121.221653336397,24.9733305687084
桃園市中壢區興和里3鄰興南路61號,68,6800200,6800200-054,3鄰,興南路,,,,,,61號,121.222008121889,24.9738269616117
桃園市中壢區興和里3鄰興南路66號,68,6800200,6800200-054,3鄰,興南路,,,,,,66號,121.222511546695,24.9739740044714
桃園市中壢區興和里3鄰興南路68號,68,6800200,6800200-054,3鄰,興南路,,,,,,68號,121.222465024409,24.9739906861972
桃園市中壢區興和里3鄰興南路92號,68,6800200,6800200-054,3鄰,興南路,,,,,,92號,121.222086107363,24.9741775974849
桃園市中壢區興和里3鄰興南路109巷42弄66號,68,6800200,6800200-054,3鄰,興南路,,109巷,42弄,,,66號,121.219954392958,24.9742821508031
桃園市中壢區興和里3鄰興南路109巷50號,68,6800200,6800200-054,3鄰,興南路,,109巷,,,,50號,121.220104699237,24.9741437945865
桃園市中壢區興和里3鄰興南路109巷92號,68,6800200,6800200-054,3鄰,興南路,,109巷,,,,92號,121.21951244903,24.9736720337676
桃園市中壢區興和里3鄰興南路109巷150號,68,6800200,6800200-054,3鄰,興南路,,109巷,,,,150號,121.21930157137,24.9733333291753
桃園市中壢區興和里3鄰興南路109巷152號,68,6800200,6800200-054,3鄰,興南路,,109巷,,,,152號,121.219398633882,24.9734430614585
桃園市中壢區興和里3鄰興南路187之19號,68,6800200,6800200-054,3鄰,興南路,,,,,,187之19號,121.219801005531,24.9741917324995
桃園市中壢區興和里3鄰興南路187之15號,68,6800200,6800200-054,3鄰,興南路,,,,,,187之15號,121.219927241748,24.9744424444949
桃園市中壢區興和里3鄰興南路187之11號,68,6800200,6800200-054,3鄰,興南路,,,,,,187之11號,121.219864683237,24.9746319521103
桃園市中壢區興和里3鄰興南路196號,68,6800200,6800200-054,3鄰,興南路,,,,,,196號,121.22029685539,24.9754807022564
桃園市中壢區興和里3鄰興南路196之5號,68,6800200,6800200-054,3鄰,興南路,,,,,,196之5號,121.219544152307,24.976187832653
桃園市中壢區興和里3鄰興南路200號,68,6800200,6800200-054,3鄰,興南路,,,,,,200號,121.220227501837,24.9753028557086
桃園市中壢區興和里3鄰興南路202號,68,6800200,6800200-054,3鄰,興南路,,,,,,202號,121.220182974055,24.9752719542649
桃園市中壢區興和里3鄰興南路208號,68,6800200,6800200-054,3鄰,興南路,,,,,,208號,121.220105122645,24.9752723402386
桃園市中壢區興和里3鄰興南路210號,68,6800200,6800200-054,3鄰,興南路,,,,,,210號,121.220017269896,24.9752184804515
桃園市中壢區興和里3鄰興南路211之1號,68,6800200,6800200-054,3鄰,興南路,,,,,,211之1號,121.219239359897,24.9746130118863
桃園市中壢區興和里3鄰興南路250號,68,6800200,6800200-054,3鄰,興南路,,,,,,250號,121.219470057212,24.9751236777307
桃園市中壢區興和里3鄰興南路251號,68,6800200,6800200-054,3鄰,興南路,,,,,,251號,121.2182947583,24.9742868506412
桃園市中壢區興和里3鄰興南路277之1號,68,6800200,6800200-054,3鄰,興南路,,,,,,277之1號,121.218829170314,24.9747068784539
