FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市中壢區普強里7鄰莒光路8號,68,6800200,6800200-061,7鄰,莒光路,,,,,,8號,121.238604865683,24.9532217357576
桃園市中壢區普強里7鄰莒光路8號六樓,68,6800200,6800200-061,7鄰,莒光路,,,,,,8號六樓,121.238604865683,24.9532217357576
桃園市中壢區普強里7鄰莒光路8號七樓,68,6800200,6800200-061,7鄰,莒光路,,,,,,8號七樓,121.238604865683,24.9532217357576
桃園市中壢區普強里7鄰莒光路8號五樓,68,6800200,6800200-061,7鄰,莒光路,,,,,,8號五樓,121.238604865683,24.9532217357576
桃園市中壢區普強里7鄰莒光路8號二樓,68,6800200,6800200-061,7鄰,莒光路,,,,,,8號二樓,121.238604865683,24.9532217357576
桃園市中壢區普強里7鄰莒光路8號三樓,68,6800200,6800200-061,7鄰,莒光路,,,,,,8號三樓,121.238604865683,24.9532217357576
桃園市中壢區普強里7鄰莒光路8號四樓,68,6800200,6800200-061,7鄰,莒光路,,,,,,8號四樓,121.238604865683,24.9532217357576
桃園市中壢區普強里7鄰莒光路10號,68,6800200,6800200-061,7鄰,莒光路,,,,,,10號,121.238530319136,24.9531825816506
桃園市中壢區普強里7鄰莒光路10號三樓,68,6800200,6800200-061,7鄰,莒光路,,,,,,10號三樓,121.238530319136,24.9531825816506
桃園市中壢區普強里7鄰莒光路10號四樓,68,6800200,6800200-061,7鄰,莒光路,,,,,,10號四樓,121.238530319136,24.9531825816506
桃園市中壢區普強里7鄰莒光路10號五樓,68,6800200,6800200-061,7鄰,莒光路,,,,,,10號五樓,121.238530319136,24.9531825816506
桃園市中壢區普強里7鄰莒光路10號六樓,68,6800200,6800200-061,7鄰,莒光路,,,,,,10號六樓,121.238530319136,24.9531825816506
桃園市中壢區普強里7鄰莒光路10號七樓,68,6800200,6800200-061,7鄰,莒光路,,,,,,10號七樓,121.238530319136,24.9531825816506
桃園市中壢區普強里7鄰莒光路10號二樓,68,6800200,6800200-061,7鄰,莒光路,,,,,,10號二樓,121.238530319136,24.9531825816506
桃園市中壢區普強里21鄰莒光路15號,68,6800200,6800200-061,21鄰,莒光路,,,,,,15號,121.238666735201,24.9529520489574
桃園市中壢區普強里21鄰莒光路17號,68,6800200,6800200-061,21鄰,莒光路,,,,,,17號,121.238636168815,24.9529183317505
桃園市中壢區普強里21鄰莒光路19號,68,6800200,6800200-061,21鄰,莒光路,,,,,,19號,121.238587757184,24.9528743507554
桃園市中壢區普強里21鄰莒光路21號,68,6800200,6800200-061,21鄰,莒光路,,,,,,21號,121.238540961377,24.9528466182571
桃園市中壢區普強里21鄰莒光路23號,68,6800200,6800200-061,21鄰,莒光路,,,,,,23號,121.238514351008,24.9527073528192
桃園市中壢區普強里21鄰莒光路25號,68,6800200,6800200-061,21鄰,莒光路,,,,,,25號,121.238459576103,24.9527015720555
桃園市中壢區普強里21鄰莒光路27號,68,6800200,6800200-061,21鄰,莒光路,,,,,,27號,121.238430640387,24.9526917774262
桃園市中壢區普強里21鄰莒光路29號,68,6800200,6800200-061,21鄰,莒光路,,,,,,29號,121.238401556799,24.9526566132537
桃園市中壢區普強里21鄰莒光路31號,68,6800200,6800200-061,21鄰,莒光路,,,,,,31號,121.238302372716,24.9526796137731
桃園市中壢區普強里21鄰莒光路33號,68,6800200,6800200-061,21鄰,莒光路,,,,,,33號,121.238254097157,24.952654772635
桃園市中壢區普強里15鄰莒光路35號,68,6800200,6800200-061,15鄰,莒光路,,,,,,35號,121.238123440441,24.9525331885659
桃園市中壢區普強里15鄰莒光路35號二樓,68,6800200,6800200-061,15鄰,莒光路,,,,,,35號二樓,121.238123440441,24.9525331885659
桃園市中壢區普強里15鄰莒光路35號三樓,68,6800200,6800200-061,15鄰,莒光路,,,,,,35號三樓,121.238123440441,24.9525331885659
桃園市中壢區普強里15鄰莒光路35號五樓,68,6800200,6800200-061,15鄰,莒光路,,,,,,35號五樓,121.238123440441,24.9525331885659
桃園市中壢區普強里15鄰莒光路35號四樓,68,6800200,6800200-061,15鄰,莒光路,,,,,,35號四樓,121.238123440441,24.9525331885659
桃園市中壢區普強里14鄰莒光路38號,68,6800200,6800200-061,14鄰,莒光路,,,,,,38號,121.238222454542,24.9529365992703
桃園市中壢區普強里14鄰莒光路38號二樓,68,6800200,6800200-061,14鄰,莒光路,,,,,,38號二樓,121.238222454542,24.9529365992703
桃園市中壢區普強里14鄰莒光路38號四樓,68,6800200,6800200-061,14鄰,莒光路,,,,,,38號四樓,121.238222454542,24.9529365992703
桃園市中壢區普強里14鄰莒光路38號五樓,68,6800200,6800200-061,14鄰,莒光路,,,,,,38號五樓,121.238222454542,24.9529365992703
桃園市中壢區普強里14鄰莒光路38號六樓,68,6800200,6800200-061,14鄰,莒光路,,,,,,38號六樓,121.238222454542,24.9529365992703
桃園市中壢區普強里14鄰莒光路38號七樓,68,6800200,6800200-061,14鄰,莒光路,,,,,,38號七樓,121.238222454542,24.9529365992703
桃園市中壢區普強里14鄰莒光路38號三樓,68,6800200,6800200-061,14鄰,莒光路,,,,,,38號三樓,121.238222454542,24.9529365992703
桃園市中壢區普強里15鄰莒光路39號,68,6800200,6800200-061,15鄰,莒光路,,,,,,39號,121.238047600916,24.952439324235
桃園市中壢區普強里14鄰莒光路40號,68,6800200,6800200-061,14鄰,莒光路,,,,,,40號,121.238162728254,24.9528794547812
桃園市中壢區普強里14鄰莒光路40號二樓,68,6800200,6800200-061,14鄰,莒光路,,,,,,40號二樓,121.238162728254,24.9528794547812
桃園市中壢區普強里14鄰莒光路40號三樓,68,6800200,6800200-061,14鄰,莒光路,,,,,,40號三樓,121.238162728254,24.9528794547812
桃園市中壢區普強里14鄰莒光路40號四樓,68,6800200,6800200-061,14鄰,莒光路,,,,,,40號四樓,121.238162728254,24.9528794547812
桃園市中壢區普強里14鄰莒光路40號五樓,68,6800200,6800200-061,14鄰,莒光路,,,,,,40號五樓,121.238162728254,24.9528794547812
桃園市中壢區普強里14鄰莒光路40號七樓,68,6800200,6800200-061,14鄰,莒光路,,,,,,40號七樓,121.238162728254,24.9528794547812
桃園市中壢區普強里14鄰莒光路40號六樓,68,6800200,6800200-061,14鄰,莒光路,,,,,,40號六樓,121.238162728254,24.9528794547812
桃園市中壢區普強里15鄰莒光路41號,68,6800200,6800200-061,15鄰,莒光路,,,,,,41號,121.23802499678,24.9524261789041
桃園市中壢區普強里14鄰莒光路42號,68,6800200,6800200-061,14鄰,莒光路,,,,,,42號,121.238058135564,24.9528708644229
桃園市中壢區普強里15鄰莒光路43號,68,6800200,6800200-061,15鄰,莒光路,,,,,,43號,121.23800513303,24.9523961461025
桃園市中壢區普強里15鄰莒光路45號,68,6800200,6800200-061,15鄰,莒光路,,,,,,45號,121.237980734049,24.9523765934755
桃園市中壢區普強里14鄰莒光路46號,68,6800200,6800200-061,14鄰,莒光路,,,,,,46號,121.23801942633,24.9528254231941
桃園市中壢區普強里15鄰莒光路47號,68,6800200,6800200-061,15鄰,莒光路,,,,,,47號,121.237907412126,24.9523559452915
桃園市中壢區普強里14鄰莒光路48號,68,6800200,6800200-061,14鄰,莒光路,,,,,,48號,121.23797907873,24.9528034583847
桃園市中壢區普強里15鄰莒光路49號,68,6800200,6800200-061,15鄰,莒光路,,,,,,49號,121.237929638998,24.9523273800812
桃園市中壢區普強里14鄰莒光路50號,68,6800200,6800200-061,14鄰,莒光路,,,,,,50號,121.237937084551,24.9527491745597
桃園市中壢區普強里14鄰莒光路52號,68,6800200,6800200-061,14鄰,莒光路,,,,,,52號,121.23787429983,24.9526979032905
桃園市中壢區普強里14鄰莒光路52號二樓,68,6800200,6800200-061,14鄰,莒光路,,,,,,52號二樓,121.23787429983,24.9526979032905
桃園市中壢區普強里14鄰莒光路52號三樓,68,6800200,6800200-061,14鄰,莒光路,,,,,,52號三樓,121.23787429983,24.9526979032905
桃園市中壢區普強里14鄰莒光路52號四樓,68,6800200,6800200-061,14鄰,莒光路,,,,,,52號四樓,121.23787429983,24.9526979032905
桃園市中壢區普強里14鄰莒光路52號五樓,68,6800200,6800200-061,14鄰,莒光路,,,,,,52號五樓,121.23787429983,24.9526979032905
桃園市中壢區普強里14鄰莒光路52號六樓,68,6800200,6800200-061,14鄰,莒光路,,,,,,52號六樓,121.23787429983,24.9526979032905
桃園市中壢區普強里14鄰莒光路52號七樓,68,6800200,6800200-061,14鄰,莒光路,,,,,,52號七樓,121.23787429983,24.9526979032905
桃園市中壢區普強里14鄰莒光路54號,68,6800200,6800200-061,14鄰,莒光路,,,,,,54號,121.237742013495,24.9526042192122
桃園市中壢區普強里14鄰莒光路56號,68,6800200,6800200-061,14鄰,莒光路,,,,,,56號,121.237713082711,24.9525969523843
桃園市中壢區普強里14鄰莒光路58號,68,6800200,6800200-061,14鄰,莒光路,,,,,,58號,121.237684044408,24.9525852618112
桃園市中壢區普強里14鄰莒光路60號,68,6800200,6800200-061,14鄰,莒光路,,,,,,60號,121.237632498075,24.9525588908626
桃園市中壢區普強里14鄰莒光路62號,68,6800200,6800200-061,14鄰,莒光路,,,,,,62號,121.237590560608,24.9525340393976
桃園市中壢區普強里9鄰莒光路65號,68,6800200,6800200-061,9鄰,莒光路,,,,,,65號,121.237477107878,24.9520880372517
桃園市中壢區普強里8鄰莒光路66號,68,6800200,6800200-061,8鄰,莒光路,,,,,,66號,121.2373536575,24.9523671209718
桃園市中壢區普強里9鄰莒光路67號,68,6800200,6800200-061,9鄰,莒光路,,,,,,67號,121.237420695328,24.9520543609874
桃園市中壢區普強里8鄰莒光路68號,68,6800200,6800200-061,8鄰,莒光路,,,,,,68號,121.237316552711,24.9523318790795
桃園市中壢區普強里9鄰莒光路69號,68,6800200,6800200-061,9鄰,莒光路,,,,,,69號,121.237385192049,24.9520279643808
桃園市中壢區普強里8鄰莒光路70號,68,6800200,6800200-061,8鄰,莒光路,,,,,,70號,121.237279476318,24.9523114436927
桃園市中壢區普強里9鄰莒光路71號,68,6800200,6800200-061,9鄰,莒光路,,,,,,71號,121.237277329213,24.9520178438532
桃園市中壢區普強里8鄰莒光路72號,68,6800200,6800200-061,8鄰,莒光路,,,,,,72號,121.237229534378,24.9522953624121
桃園市中壢區普強里9鄰莒光路73巷1號,68,6800200,6800200-061,9鄰,莒光路,,73巷,,,,1號,121.237341552317,24.9519415419304
桃園市中壢區普強里9鄰莒光路73巷2號,68,6800200,6800200-061,9鄰,莒光路,,73巷,,,,2號,121.237152981868,24.9518288067835
桃園市中壢區普強里9鄰莒光路73巷3號,68,6800200,6800200-061,9鄰,莒光路,,73巷,,,,3號,121.237364071834,24.9519106289547
桃園市中壢區普強里9鄰莒光路73巷4號,68,6800200,6800200-061,9鄰,莒光路,,73巷,,,,4號,121.237173820854,24.9517994313377
桃園市中壢區普強里9鄰莒光路73巷5號,68,6800200,6800200-061,9鄰,莒光路,,73巷,,,,5號,121.237383323544,24.9518798114665
桃園市中壢區普強里9鄰莒光路73巷6號,68,6800200,6800200-061,9鄰,莒光路,,73巷,,,,6號,121.237205926511,24.9517582107575
桃園市中壢區普強里8鄰莒光路74號,68,6800200,6800200-061,8鄰,莒光路,,,,,,74號,121.237179578443,24.9522719681407
桃園市中壢區普強里9鄰莒光路75號,68,6800200,6800200-061,9鄰,莒光路,,,,,,75號,121.237140282173,24.9519197428963
桃園市中壢區普強里8鄰莒光路76號,68,6800200,6800200-061,8鄰,莒光路,,,,,,76號,121.237132893273,24.9522500131885
桃園市中壢區普強里9鄰莒光路77號,68,6800200,6800200-061,9鄰,莒光路,,,,,,77號,121.237072566439,24.951878771494
桃園市中壢區普強里8鄰莒光路78號,68,6800200,6800200-061,8鄰,莒光路,,,,,,78號,121.237087778591,24.9522207427258
桃園市中壢區普強里9鄰莒光路79號,68,6800200,6800200-061,9鄰,莒光路,,,,,,79號,121.237016145798,24.9518407614595
桃園市中壢區普強里9鄰莒光路81號,68,6800200,6800200-061,9鄰,莒光路,,,,,,81號,121.236966184386,24.9518143877535
桃園市中壢區普強里9鄰莒光路83巷1號,68,6800200,6800200-061,9鄰,莒光路,,83巷,,,,1號,121.237053017015,24.951754120523
桃園市中壢區普強里9鄰莒光路83巷2號,68,6800200,6800200-061,9鄰,莒光路,,83巷,,,,2號,121.236903102176,24.951658928902
桃園市中壢區普強里9鄰莒光路83巷3號,68,6800200,6800200-061,9鄰,莒光路,,83巷,,,,3號,121.237096398031,24.9517055690271
桃園市中壢區普強里9鄰莒光路83巷4號,68,6800200,6800200-061,9鄰,莒光路,,83巷,,,,4號,121.236935196832,24.9516119302261
桃園市中壢區普強里9鄰莒光路85號,68,6800200,6800200-061,9鄰,莒光路,,,,,,85號,121.236861491466,24.9517528903353
桃園市中壢區普強里9鄰莒光路87號,68,6800200,6800200-061,9鄰,莒光路,,,,,,87號,121.236805062487,24.9517104563211
桃園市中壢區普強里9鄰莒光路89號,68,6800200,6800200-061,9鄰,莒光路,,,,,,89號,121.236750243216,24.9516812011782
桃園市中壢區普強里5鄰莒光路91號,68,6800200,6800200-061,5鄰,莒光路,,,,,,91號,121.236503822877,24.9516110808478
桃園市中壢區普強里5鄰莒光路93號,68,6800200,6800200-061,5鄰,莒光路,,,,,,93號,121.236465179263,24.951599495566
桃園市中壢區普強里2鄰莒光路94號,68,6800200,6800200-061,2鄰,莒光路,,,,,,94號,121.236533311456,24.9519105057703
桃園市中壢區普強里5鄰莒光路95號,68,6800200,6800200-061,5鄰,莒光路,,,,,,95號,121.236426535312,24.9515877297068
桃園市中壢區普強里2鄰莒光路96號,68,6800200,6800200-061,2鄰,莒光路,,,,,,96號,121.236464075767,24.9519032124026
桃園市中壢區普強里5鄰莒光路97號,68,6800200,6800200-061,5鄰,莒光路,,,,,,97號,121.236339204303,24.9515426360353
桃園市中壢區普強里5鄰莒光路97號二樓,68,6800200,6800200-061,5鄰,莒光路,,,,,,97號二樓,121.236339204303,24.9515426360353
桃園市中壢區普強里5鄰莒光路97號五樓,68,6800200,6800200-061,5鄰,莒光路,,,,,,97號五樓,121.236339204303,24.9515426360353
桃園市中壢區普強里5鄰莒光路97號四樓,68,6800200,6800200-061,5鄰,莒光路,,,,,,97號四樓,121.236339204303,24.9515426360353
桃園市中壢區普強里5鄰莒光路97號三樓,68,6800200,6800200-061,5鄰,莒光路,,,,,,97號三樓,121.236339204303,24.9515426360353
桃園市中壢區普強里2鄰莒光路98號,68,6800200,6800200-061,2鄰,莒光路,,,,,,98號,121.236410962398,24.9518856913365
桃園市中壢區普強里5鄰莒光路99號,68,6800200,6800200-061,5鄰,莒光路,,,,,,99號,121.236267180167,24.9515270408778
桃園市中壢區普強里5鄰莒光路99號二樓,68,6800200,6800200-061,5鄰,莒光路,,,,,,99號二樓,121.236267180167,24.9515270408778
桃園市中壢區普強里5鄰莒光路99號三樓,68,6800200,6800200-061,5鄰,莒光路,,,,,,99號三樓,121.236267180167,24.9515270408778
桃園市中壢區普強里5鄰莒光路99號五樓,68,6800200,6800200-061,5鄰,莒光路,,,,,,99號五樓,121.236267180167,24.9515270408778
桃園市中壢區普強里5鄰莒光路99號四樓,68,6800200,6800200-061,5鄰,莒光路,,,,,,99號四樓,121.236267180167,24.9515270408778
桃園市中壢區普強里2鄰莒光路100號,68,6800200,6800200-061,2鄰,莒光路,,,,,,100號,121.236364060941,24.9518021628552
桃園市中壢區普強里2鄰莒光路102號,68,6800200,6800200-061,2鄰,莒光路,,,,,,102號,121.236320711258,24.9518154130793
桃園市中壢區普強里2鄰莒光路104號,68,6800200,6800200-061,2鄰,莒光路,,,,,,104號,121.236281929115,24.9517831529541
桃園市中壢區普強里2鄰莒光路106號,68,6800200,6800200-061,2鄰,莒光路,,,,,,106號,121.236236868028,24.9517817798742
桃園市平鎮區北勢里17鄰莒光路1號,68,6801000,6801000-009,17鄰,莒光路,,,,,,1號,121.222336264725,24.9470315746608
桃園市平鎮區北勢里17鄰莒光路1號二樓,68,6801000,6801000-009,17鄰,莒光路,,,,,,1號二樓,121.222336264725,24.9470315746608
桃園市平鎮區北勢里17鄰莒光路1號三樓,68,6801000,6801000-009,17鄰,莒光路,,,,,,1號三樓,121.222336264725,24.9470315746608
桃園市平鎮區北勢里17鄰莒光路1號四樓,68,6801000,6801000-009,17鄰,莒光路,,,,,,1號四樓,121.222336264725,24.9470315746608
桃園市平鎮區北勢里17鄰莒光路1號五樓,68,6801000,6801000-009,17鄰,莒光路,,,,,,1號五樓,121.222336264725,24.9470315746608
桃園市平鎮區北勢里17鄰莒光路1號六樓,68,6801000,6801000-009,17鄰,莒光路,,,,,,1號六樓,121.222336264725,24.9470315746608
桃園市平鎮區北勢里17鄰莒光路1號七樓,68,6801000,6801000-009,17鄰,莒光路,,,,,,1號七樓,121.222336264725,24.9470315746608
桃園市平鎮區北勢里17鄰莒光路3號,68,6801000,6801000-009,17鄰,莒光路,,,,,,3號,121.222232784704,24.94706028588
桃園市平鎮區北勢里17鄰莒光路5號,68,6801000,6801000-009,17鄰,莒光路,,,,,,5號,121.222170735925,24.9470773156995
桃園市平鎮區北勢里17鄰莒光路7號,68,6801000,6801000-009,17鄰,莒光路,,,,,,7號,121.222108687113,24.9470943364648
桃園市平鎮區北勢里17鄰莒光路9號,68,6801000,6801000-009,17鄰,莒光路,,,,,,9號,121.222046638284,24.9471113572043
桃園市平鎮區北勢里17鄰莒光路11號,68,6801000,6801000-009,17鄰,莒光路,,,,,,11號,121.221978963549,24.9471332255238
桃園市平鎮區北勢里18鄰莒光路13巷1弄1號,68,6801000,6801000-009,18鄰,莒光路,,13巷,1弄,,,1號,121.221916103983,24.9469796557429
桃園市平鎮區北勢里18鄰莒光路13巷1弄2號,68,6801000,6801000-009,18鄰,莒光路,,13巷,1弄,,,2號,121.221865670788,24.9468528817859
桃園市平鎮區北勢里18鄰莒光路13巷1弄3號,68,6801000,6801000-009,18鄰,莒光路,,13巷,1弄,,,3號,121.221994988352,24.9469577797789
桃園市平鎮區北勢里18鄰莒光路13巷1弄4號,68,6801000,6801000-009,18鄰,莒光路,,13巷,1弄,,,4號,121.221946633003,24.9468300999131
桃園市平鎮區北勢里18鄰莒光路13巷1弄5號,68,6801000,6801000-009,18鄰,莒光路,,13巷,1弄,,,5號,121.222056650832,24.9469407144947
桃園市平鎮區北勢里18鄰莒光路13巷1弄6號,68,6801000,6801000-009,18鄰,莒光路,,13巷,1弄,,,6號,121.222010475765,24.9468140245246
桃園市平鎮區北勢里18鄰莒光路13巷1弄7號,68,6801000,6801000-009,18鄰,莒光路,,13巷,1弄,,,7號,121.222119992518,24.9469212992969
