FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市桃園區中路里20鄰衡陽四街23號,68,6800100,6800100-054,20鄰,衡陽四街,,,,,,23號,121.289279807087,24.9915476337375
桃園市桃園區中路里20鄰衡陽四街24號,68,6800100,6800100-054,20鄰,衡陽四街,,,,,,24號,121.289275899991,24.9913173289258
桃園市桃園區中路里20鄰衡陽四街25號,68,6800100,6800100-054,20鄰,衡陽四街,,,,,,25號,121.289329041107,24.9915478991473
桃園市桃園區中路里20鄰衡陽四街26號,68,6800100,6800100-054,20鄰,衡陽四街,,,,,,26號,121.289336321631,24.9913149543719
桃園市桃園區中路里20鄰衡陽四街27號,68,6800100,6800100-054,20鄰,衡陽四街,,,,,,27號,121.289384547448,24.9915616045371
桃園市桃園區中路里20鄰衡陽四街28號,68,6800100,6800100-054,20鄰,衡陽四街,,,,,,28號,121.289386939657,24.9913140433907
桃園市桃園區中路里20鄰衡陽四街29號,68,6800100,6800100-054,20鄰,衡陽四街,,,,,,29號,121.289429591325,24.9915492384168
桃園市桃園區中路里20鄰衡陽四街30號,68,6800100,6800100-054,20鄰,衡陽四街,,,,,,30號,121.289435675533,24.9913131360533
桃園市桃園區中路里20鄰衡陽四街31號,68,6800100,6800100-054,20鄰,衡陽四街,,,,,,31號,121.289483784725,24.9915522026245
桃園市桃園區中路里20鄰衡陽四街32號,68,6800100,6800100-054,20鄰,衡陽四街,,,,,,32號,121.289483424609,24.991313855717
桃園市桃園區中路里20鄰衡陽四街34號,68,6800100,6800100-054,20鄰,衡陽四街,,,,,,34號,121.289532164291,24.991314573438
桃園市桃園區中路里20鄰衡陽四街35號,68,6800100,6800100-054,20鄰,衡陽四街,,,,,,35號,121.289273240673,24.9916624867128
桃園市桃園區中路里20鄰衡陽四街36號,68,6800100,6800100-054,20鄰,衡陽四街,,,,,,36號,121.289579022034,24.9913153850885
桃園市桃園區中路里20鄰衡陽四街37號,68,6800100,6800100-054,20鄰,衡陽四街,,,,,,37號,121.28932613217,24.9916594045352
桃園市桃園區中路里20鄰衡陽四街38號,68,6800100,6800100-054,20鄰,衡陽四街,,,,,,38號,121.289625978627,24.9913161062487
桃園市桃園區中路里20鄰衡陽四街39號,68,6800100,6800100-054,20鄰,衡陽四街,,,,,,39號,121.28936684468,24.9916586933862
桃園市桃園區中路里20鄰衡陽四街40號,68,6800100,6800100-054,20鄰,衡陽四街,,,,,,40號,121.289288530592,24.9913809540176
桃園市桃園區中路里20鄰衡陽四街41號,68,6800100,6800100-054,20鄰,衡陽四街,,,,,,41號,121.289411437685,24.9916652876164
桃園市桃園區中路里20鄰衡陽四街42號,68,6800100,6800100-054,20鄰,衡陽四街,,,,,,42號,121.289337252758,24.9913741783318
桃園市桃園區中路里20鄰衡陽四街43號,68,6800100,6800100-054,20鄰,衡陽四街,,,,,,43號,121.289458291332,24.9916642936483
桃園市桃園區中路里20鄰衡陽四街44號,68,6800100,6800100-054,20鄰,衡陽四街,,,,,,44號,121.289384994036,24.9913715575643
桃園市桃園區中路里20鄰衡陽四街46號,68,6800100,6800100-054,20鄰,衡陽四街,,,,,,46號,121.289432838389,24.9913706519614
桃園市桃園區中路里20鄰衡陽四街48號,68,6800100,6800100-054,20鄰,衡陽四街,,,,,,48號,121.289482465621,24.9913696525916
