FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市中壢區興國里7鄰裕國街1號,68,6800200,6800200-035,7鄰,裕國街,,,,,,1號,121.221009088704,24.9611053859982
桃園市中壢區興國里7鄰裕國街2號,68,6800200,6800200-035,7鄰,裕國街,,,,,,2號,121.220969275885,24.9611054450729
桃園市中壢區興國里7鄰裕國街3號,68,6800200,6800200-035,7鄰,裕國街,,,,,,3號,121.220921167819,24.9611188784537
桃園市中壢區興國里7鄰裕國街4號,68,6800200,6800200-035,7鄰,裕國街,,,,,,4號,121.220875231626,24.9611284263919
桃園市中壢區興國里7鄰裕國街5號,68,6800200,6800200-035,7鄰,裕國街,,,,,,5號,121.220839461592,24.9611185482112
桃園市中壢區興國里7鄰裕國街6號,68,6800200,6800200-035,7鄰,裕國街,,,,,,6號,121.220758358925,24.9611234534933
桃園市中壢區興國里7鄰裕國街7號,68,6800200,6800200-035,7鄰,裕國街,,,,,,7號,121.220739352689,24.9611839718531
桃園市中壢區興國里7鄰裕國街8號,68,6800200,6800200-035,7鄰,裕國街,,,,,,8號,121.220747750049,24.9612278373643
桃園市中壢區興國里7鄰裕國街9號,68,6800200,6800200-035,7鄰,裕國街,,,,,,9號,121.220754057331,24.9612659278056
桃園市中壢區興國里7鄰裕國街10號,68,6800200,6800200-035,7鄰,裕國街,,,,,,10號,121.220756314406,24.9613098024171
桃園市中壢區興國里7鄰裕國街11號,68,6800200,6800200-035,7鄰,裕國街,,,,,,11號,121.220764718544,24.9613574598387
桃園市中壢區興國里7鄰裕國街12號,68,6800200,6800200-035,7鄰,裕國街,,,,,,12號,121.220844235159,24.9613516540657
桃園市中壢區興國里7鄰裕國街13號,68,6800200,6800200-035,7鄰,裕國街,,,,,,13號,121.220892370555,24.9613534786416
桃園市中壢區興國里7鄰裕國街14號,68,6800200,6800200-035,7鄰,裕國街,,,,,,14號,121.220944651809,24.9613476229233
桃園市中壢區興國里7鄰裕國街15號,68,6800200,6800200-035,7鄰,裕國街,,,,,,15號,121.220988542313,24.9613571278936
桃園市中壢區興國里7鄰裕國街16號,68,6800200,6800200-035,7鄰,裕國街,,,,,,16號,121.221034560528,24.9613380097094
桃園市中壢區興國里7鄰裕國街17號,68,6800200,6800200-035,7鄰,裕國街,,,,,,17號,121.221049446173,24.9614657392778
桃園市中壢區興國里7鄰裕國街18號,68,6800200,6800200-035,7鄰,裕國街,,,,,,18號,121.221007532984,24.9614543354306
桃園市中壢區興國里7鄰裕國街19號,68,6800200,6800200-035,7鄰,裕國街,,,,,,19號,121.220957307613,24.9614468261098
桃園市中壢區興國里7鄰裕國街20號,68,6800200,6800200-035,7鄰,裕國街,,,,,,20號,121.220921756665,24.9614487748104
桃園市中壢區興國里7鄰裕國街21號,68,6800200,6800200-035,7鄰,裕國街,,,,,,21號,121.220861149319,24.9614507606623
