FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市楊梅區新榮里7鄰裕榮路108號,68,6800400,6800400-032,7鄰,裕榮路,,,,,,108號,121.166774060207,24.9570910897347
桃園市楊梅區新榮里7鄰裕榮路110號,68,6800400,6800400-032,7鄰,裕榮路,,,,,,110號,121.166732046092,24.9570735313706
桃園市楊梅區新榮里7鄰裕榮路112號,68,6800400,6800400-032,7鄰,裕榮路,,,,,,112號,121.166684779056,24.9570529092135
桃園市楊梅區新榮里7鄰裕榮路114號,68,6800400,6800400-032,7鄰,裕榮路,,,,,,114號,121.166637531238,24.9570465519077
桃園市楊梅區新榮里7鄰裕榮路116號,68,6800400,6800400-032,7鄰,裕榮路,,,,,,116號,121.166592813218,24.957080277898
桃園市楊梅區新榮里7鄰裕榮路118號,68,6800400,6800400-032,7鄰,裕榮路,,,,,,118號,121.166541989482,24.9570659795605
桃園市楊梅區新榮里19鄰裕榮路120巷1號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,1號,121.166540880278,24.9569040111227
桃園市楊梅區新榮里19鄰裕榮路120巷2號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,2號,121.16643385958,24.9570773859333
桃園市楊梅區新榮里19鄰裕榮路120巷3號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,3號,121.166493615403,24.9568849237314
桃園市楊梅區新榮里19鄰裕榮路120巷5號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,5號,121.166455160301,24.9568626665367
桃園市楊梅區新榮里19鄰裕榮路120巷6號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,6號,121.166388383697,24.9570630815677
桃園市楊梅區新榮里19鄰裕榮路120巷7號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,7號,121.166411174492,24.9568517010239
桃園市楊梅區新榮里19鄰裕榮路120巷8號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,8號,121.166335869986,24.9570439999901
桃園市楊梅區新榮里19鄰裕榮路120巷9號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,9號,121.166365696633,24.956835861823
桃園市楊梅區新榮里19鄰裕榮路120巷10號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,10號,121.166286831088,24.9570313246859
桃園市楊梅區新榮里19鄰裕榮路120巷11號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,11號,121.16631318945,24.9568215652867
桃園市楊梅區新榮里19鄰裕榮路120巷12號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,12號,121.166241359483,24.957020180214
桃園市楊梅區新榮里19鄰裕榮路120巷13號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,13號,121.166271359128,24.9567932627777
桃園市楊梅區新榮里19鄰裕榮路120巷14號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,14號,121.166186506207,24.9570288184139
桃園市楊梅區新榮里19鄰裕榮路120巷15號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,15號,121.166220625974,24.9567725540568
桃園市楊梅區新榮里19鄰裕榮路120巷16號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,16號,121.166132214292,24.9570129889759
桃園市楊梅區新榮里19鄰裕榮路120巷17號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,17號,121.166180409801,24.9567662790423
桃園市楊梅區新榮里19鄰裕榮路120巷18號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,18號,121.166087639584,24.9570059965253
桃園市楊梅區新榮里19鄰裕榮路120巷19號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,19號,121.166129878738,24.9567485494403
桃園市楊梅區新榮里19鄰裕榮路120巷20號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,20號,121.166004514664,24.9569796359477
桃園市楊梅區新榮里19鄰裕榮路120巷21號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,21號,121.16607390544,24.956734256685
桃園市楊梅區新榮里19鄰裕榮路120巷22號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,22號,121.16593324633,24.9570066200208
桃園市楊梅區新榮里19鄰裕榮路120巷23號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,23號,121.166000320992,24.9566586806278
桃園市楊梅區新榮里19鄰裕榮路120巷24號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,24號,121.165879053369,24.9569907000959
桃園市楊梅區新榮里19鄰裕榮路120巷25號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,25號,121.165785041327,24.9568213414975
桃園市楊梅區新榮里19鄰裕榮路120巷26號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,26號,121.165820945386,24.9570093633213
桃園市楊梅區新榮里19鄰裕榮路120巷27號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,27號,121.16573253204,24.9568054196445
桃園市楊梅區新榮里19鄰裕榮路120巷28號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,28號,121.165770104721,24.95698233468
桃園市楊梅區新榮里19鄰裕榮路120巷29號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,29號,121.165693299692,24.9567942680621
桃園市楊梅區新榮里19鄰裕榮路120巷30號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,30號,121.165726417964,24.956972813178
桃園市楊梅區新榮里19鄰裕榮路120巷31號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,31號,121.165644351415,24.956775182273
桃園市楊梅區新榮里19鄰裕榮路120巷32號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,32號,121.165682023598,24.9569525486418
桃園市楊梅區新榮里19鄰裕榮路120巷33號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,33號,121.165600553026,24.9567561810263
桃園市楊梅區新榮里19鄰裕榮路120巷34號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,34號,121.165631202072,24.95693978482
桃園市楊梅區新榮里19鄰裕榮路120巷35號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,35號,121.165556864189,24.9567450343623
桃園市楊梅區新榮里19鄰裕榮路120巷36號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,36號,121.165578791909,24.9569239530871
桃園市楊梅區新榮里19鄰裕榮路120巷37號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,37號,121.16550256596,24.9567243293586
桃園市楊梅區新榮里19鄰裕榮路120巷38號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,38號,121.165534328611,24.9569261693254
桃園市楊梅區新榮里19鄰裕榮路120巷39號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,39號,121.1654501623,24.95671328263
桃園市楊梅區新榮里19鄰裕榮路120巷40號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,40號,121.165490622702,24.9569022926025
桃園市楊梅區新榮里19鄰裕榮路120巷41號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,41號,121.165312755453,24.9566781341053
桃園市楊梅區新榮里19鄰裕榮路120巷42號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,42號,121.165432860403,24.9568832165366
桃園市楊梅區新榮里19鄰裕榮路120巷43號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,43號,121.165263813667,24.9566638332409
桃園市楊梅區新榮里19鄰裕榮路120巷44號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,44號,121.165393914544,24.9568641195559
桃園市楊梅區新榮里19鄰裕榮路120巷45號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,45號,121.165214775028,24.9566511575818
桃園市楊梅區新榮里19鄰裕榮路120巷46號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,46號,121.165351025675,24.9568587501263
桃園市楊梅區新榮里19鄰裕榮路120巷47號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,47號,121.165167613701,24.9566352295969
桃園市楊梅區新榮里19鄰裕榮路120巷48號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,48號,121.165303771607,24.9568476073459
桃園市楊梅區新榮里19鄰裕榮路120巷49號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,49號,121.165127279322,24.956614508971
桃園市楊梅區新榮里19鄰裕榮路120巷50號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,50號,121.165254726503,24.9568301466501
桃園市楊梅區新榮里19鄰裕榮路120巷51號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,51號,121.165076563526,24.9566066201833
桃園市楊梅區新榮里19鄰裕榮路120巷52號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,52號,121.165202314266,24.9568126896725
桃園市楊梅區新榮里19鄰裕榮路120巷54號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,54號,121.165118801715,24.956792468348
桃園市楊梅區新榮里19鄰裕榮路120巷56號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,56號,121.165073319706,24.9567733785283
桃園市楊梅區新榮里19鄰裕榮路120巷58號,68,6800400,6800400-032,19鄰,裕榮路,,120巷,,,,58號,121.165024380076,24.956760702697
桃園市楊梅區新榮里19鄰裕榮路158巷1號,68,6800400,6800400-032,19鄰,裕榮路,,158巷,,,,1號,121.165860290519,24.9565132986356
桃園市楊梅區新榮里19鄰裕榮路158巷2號,68,6800400,6800400-032,19鄰,裕榮路,,158巷,,,,2號,121.165848029284,24.9566752819782
桃園市楊梅區新榮里19鄰裕榮路158巷3號,68,6800400,6800400-032,19鄰,裕榮路,,158巷,,,,3號,121.165797275218,24.9564909783306
桃園市楊梅區新榮里19鄰裕榮路158巷5號,68,6800400,6800400-032,19鄰,裕榮路,,158巷,,,,5號,121.165705922951,24.9564586679891
桃園市楊梅區新榮里19鄰裕榮路158巷6號,68,6800400,6800400-032,19鄰,裕榮路,,158巷,,,,6號,121.165798981997,24.9566561963497
桃園市楊梅區新榮里19鄰裕榮路158巷7號,68,6800400,6800400-032,19鄰,裕榮路,,158巷,,,,7號,121.165650346691,24.9564449163363
桃園市楊梅區新榮里19鄰裕榮路158巷8號,68,6800400,6800400-032,19鄰,裕榮路,,158巷,,,,8號,121.165746477009,24.95664343444
