FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市中壢區復興里15鄰長樂三街3號,68,6800200,6800200-033,15鄰,長樂三街,,,,,,3號,121.249581370483,24.9771068998957
桃園市中壢區復興里15鄰長樂三街5號,68,6800200,6800200-033,15鄰,長樂三街,,,,,,5號,121.249528643925,24.9770910080981
桃園市中壢區復興里15鄰長樂三街7號,68,6800200,6800200-033,15鄰,長樂三街,,,,,,7號,121.249488327518,24.9770894505679
桃園市中壢區復興里15鄰長樂三街9號,68,6800200,6800200-033,15鄰,長樂三街,,,,,,9號,121.249432143899,24.977078349558
桃園市中壢區復興里15鄰長樂三街11號,68,6800200,6800200-033,15鄰,長樂三街,,,,,,11號,121.249370736336,24.9770799872585
桃園市中壢區復興里15鄰長樂三街13號,68,6800200,6800200-033,15鄰,長樂三街,,,,,,13號,121.249333774875,24.9770721042178
桃園市中壢區復興里15鄰長樂三街15號,68,6800200,6800200-033,15鄰,長樂三街,,,,,,15號,121.249270670735,24.97706742487
桃園市中壢區復興里15鄰長樂三街17號,68,6800200,6800200-033,15鄰,長樂三街,,,,,,17號,121.249216161343,24.9770515359465
桃園市中壢區復興里15鄰長樂三街19號,68,6800200,6800200-033,15鄰,長樂三街,,,,,,19號,121.249175835312,24.9770451933195
桃園市中壢區復興里15鄰長樂三街21號,68,6800200,6800200-033,15鄰,長樂三街,,,,,,21號,121.249135535109,24.9770516709027
桃園市中壢區復興里15鄰長樂三街23號,68,6800200,6800200-033,15鄰,長樂三街,,,,,,23號,121.249064264391,24.977024885664
桃園市中壢區復興里16鄰長樂三街26號,68,6800200,6800200-033,16鄰,長樂三街,,,,,,26號,121.248929018225,24.9773478755803
桃園市中壢區復興里16鄰長樂三街28號,68,6800200,6800200-033,16鄰,長樂三街,,,,,,28號,121.248846529108,24.9773575835525
桃園市中壢區復興里16鄰長樂三街30號,68,6800200,6800200-033,16鄰,長樂三街,,,,,,30號,121.24878328402,24.9773321390181
桃園市中壢區復興里16鄰長樂三街32號,68,6800200,6800200-033,16鄰,長樂三街,,,,,,32號,121.248708968456,24.9773181789636
