FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市楊梅區金溪里9鄰長青二街1巷1號,68,6800400,6800400-028,9鄰,長青二街,,1巷,,,,1號,121.169230291054,24.8862813298008
桃園市楊梅區金溪里9鄰長青二街1號,68,6800400,6800400-028,9鄰,長青二街,,,,,,1號,121.169137950169,24.8864304949162
桃園市楊梅區金溪里9鄰長青二街1巷3號,68,6800400,6800400-028,9鄰,長青二街,,1巷,,,,3號,121.169091386917,24.8861802777948
桃園市楊梅區金溪里9鄰長青二街1巷4號,68,6800400,6800400-028,9鄰,長青二街,,1巷,,,,4號,121.168986810939,24.8863575352982
桃園市楊梅區金溪里9鄰長青二街1巷5號,68,6800400,6800400-028,9鄰,長青二街,,1巷,,,,5號,121.168958745348,24.8860989006878
桃園市楊梅區金溪里9鄰長青二街1巷6號,68,6800400,6800400-028,9鄰,長青二街,,1巷,,,,6號,121.168851123903,24.8862930448315
桃園市楊梅區金溪里9鄰長青二街1巷7號,68,6800400,6800400-028,9鄰,長青二街,,1巷,,,,7號,121.168819872071,24.8860202390583
桃園市楊梅區金溪里9鄰長青二街1巷8號,68,6800400,6800400-028,9鄰,長青二街,,1巷,,,,8號,121.168727713881,24.8862312489113
桃園市楊梅區金溪里9鄰長青二街1巷9號,68,6800400,6800400-028,9鄰,長青二街,,1巷,,,,9號,121.168702648353,24.8859219609953
桃園市楊梅區金溪里9鄰長青二街1巷10號,68,6800400,6800400-028,9鄰,長青二街,,1巷,,,,10號,121.168576556139,24.8861442947272
桃園市楊梅區金溪里9鄰長青二街2巷1號,68,6800400,6800400-028,9鄰,長青二街,,2巷,,,,1號,121.16904800854,24.886524583438
桃園市楊梅區金溪里9鄰長青二街2巷2號,68,6800400,6800400-028,9鄰,長青二街,,2巷,,,,2號,121.168949708834,24.8867319889717
桃園市楊梅區金溪里9鄰長青二街2號,68,6800400,6800400-028,9鄰,長青二街,,,,,,2號,121.169459296039,24.8863325324032
桃園市楊梅區金溪里9鄰長青二街2巷3號,68,6800400,6800400-028,9鄰,長青二街,,2巷,,,,3號,121.168927957287,24.8864582696352
桃園市楊梅區金溪里9鄰長青二街2巷4號,68,6800400,6800400-028,9鄰,長青二街,,2巷,,,,4號,121.168838169395,24.8866655751792
桃園市楊梅區金溪里9鄰長青二街2巷5號,68,6800400,6800400-028,9鄰,長青二街,,2巷,,,,5號,121.1687910552,24.8863737372317
桃園市楊梅區金溪里9鄰長青二街2巷6號,68,6800400,6800400-028,9鄰,長青二街,,2巷,,,,6號,121.168677545976,24.8866057172959
桃園市楊梅區金溪里9鄰長青二街2巷6號三樓,68,6800400,6800400-028,9鄰,長青二街,,2巷,,,,6號三樓,121.168677545976,24.8866057172959
桃園市楊梅區金溪里9鄰長青二街2巷7號,68,6800400,6800400-028,9鄰,長青二街,,2巷,,,,7號,121.168657645709,24.886309966293
桃園市楊梅區金溪里9鄰長青二街2巷8號,68,6800400,6800400-028,9鄰,長青二街,,2巷,,,,8號,121.168619898553,24.88657454384
桃園市楊梅區金溪里9鄰長青二街2巷8號三樓,68,6800400,6800400-028,9鄰,長青二街,,2巷,,,,8號三樓,121.168619898553,24.88657454384
桃園市楊梅區金溪里9鄰長青二街2巷9號,68,6800400,6800400-028,9鄰,長青二街,,2巷,,,,9號,121.168520383463,24.886251526396
桃園市楊梅區金溪里9鄰長青二街2巷10號,68,6800400,6800400-028,9鄰,長青二街,,2巷,,,,10號,121.168586819549,24.8865595036197
桃園市楊梅區金溪里9鄰長青二街2巷10號三樓,68,6800400,6800400-028,9鄰,長青二街,,2巷,,,,10號三樓,121.168586819549,24.8865595036197
桃園市楊梅區金溪里9鄰長青二街2巷12號,68,6800400,6800400-028,9鄰,長青二街,,2巷,,,,12號,121.168537498053,24.8865369880824
桃園市楊梅區金溪里9鄰長青二街2巷12號三樓,68,6800400,6800400-028,9鄰,長青二街,,2巷,,,,12號三樓,121.168537498053,24.8865369880824
桃園市楊梅區金溪里9鄰長青二街2巷14號,68,6800400,6800400-028,9鄰,長青二街,,2巷,,,,14號,121.168484987611,24.8864984956925
桃園市楊梅區金溪里9鄰長青二街2巷14號三樓,68,6800400,6800400-028,9鄰,長青二街,,2巷,,,,14號三樓,121.168484987611,24.8864984956925
桃園市楊梅區金溪里9鄰長青二街2巷16號,68,6800400,6800400-028,9鄰,長青二街,,2巷,,,,16號,121.168438746094,24.8864845537156
桃園市楊梅區金溪里9鄰長青二街2巷16號三樓,68,6800400,6800400-028,9鄰,長青二街,,2巷,,,,16號三樓,121.168438746094,24.8864845537156
桃園市楊梅區金溪里9鄰長青二街2巷18號,68,6800400,6800400-028,9鄰,長青二街,,2巷,,,,18號,121.168391782365,24.8864489441513
桃園市楊梅區金溪里9鄰長青二街2巷18號三樓,68,6800400,6800400-028,9鄰,長青二街,,2巷,,,,18號三樓,121.168391782365,24.8864489441513
桃園市楊梅區金溪里9鄰長青二街3號,68,6800400,6800400-028,9鄰,長青二街,,,,,,3號,121.168926969615,24.8868236539267
桃園市楊梅區金溪里9鄰長青二街4號,68,6800400,6800400-028,9鄰,長青二街,,,,,,4號,121.169407939707,24.8864146597171
桃園市楊梅區金溪里9鄰長青二街5號,68,6800400,6800400-028,9鄰,長青二街,,,,,,5號,121.168889930271,24.8868805753561
桃園市楊梅區金溪里9鄰長青二街7號,68,6800400,6800400-028,9鄰,長青二街,,,,,,7號,121.16870514945,24.8868888196855
桃園市楊梅區金溪里9鄰長青二街8號,68,6800400,6800400-028,9鄰,長青二街,,,,,,8號,121.169258297847,24.8866416252659
桃園市楊梅區金溪里9鄰長青二街9號,68,6800400,6800400-028,9鄰,長青二街,,,,,,9號,121.168748621093,24.8868308978952
桃園市楊梅區金溪里9鄰長青二街10號,68,6800400,6800400-028,9鄰,長青二街,,,,,,10號,121.169187906964,24.8868466518927
桃園市楊梅區金溪里9鄰長青二街11號,68,6800400,6800400-028,9鄰,長青二街,,,,,,11號,121.168777257189,24.8867812087981
桃園市楊梅區金溪里9鄰長青二街12號,68,6800400,6800400-028,9鄰,長青二街,,,,,,12號,121.169120184206,24.8869760166785
桃園市楊梅區金溪里9鄰長青二街13號,68,6800400,6800400-028,9鄰,長青二街,,,,,,13號,121.168802954239,24.8867538234005
桃園市楊梅區金溪里9鄰長青二街14號,68,6800400,6800400-028,9鄰,長青二街,,,,,,14號,121.168920005799,24.8870887383963
桃園市楊梅區金溪里9鄰長青二街15號,68,6800400,6800400-028,9鄰,長青二街,,,,,,15號,121.168540876468,24.8867654954668
桃園市楊梅區金溪里9鄰長青二街15號三樓,68,6800400,6800400-028,9鄰,長青二街,,,,,,15號三樓,121.168540876468,24.8867654954668
桃園市楊梅區金溪里9鄰長青二街16號,68,6800400,6800400-028,9鄰,長青二街,,,,,,16號,121.168849137505,24.8870888185834
桃園市楊梅區金溪里9鄰長青二街17號,68,6800400,6800400-028,9鄰,長青二街,,,,,,17號,121.168502248541,24.8867459472466
桃園市楊梅區金溪里9鄰長青二街17號三樓,68,6800400,6800400-028,9鄰,長青二街,,,,,,17號三樓,121.168502248541,24.8867459472466
桃園市楊梅區金溪里9鄰長青二街18號,68,6800400,6800400-028,9鄰,長青二街,,,,,,18號,121.16877816643,24.8870861000199
桃園市楊梅區金溪里9鄰長青二街19號,68,6800400,6800400-028,9鄰,長青二街,,,,,,19號,121.168450742984,24.886718649045
桃園市楊梅區金溪里9鄰長青二街19號三樓,68,6800400,6800400-028,9鄰,長青二街,,,,,,19號三樓,121.168450742984,24.886718649045
桃園市楊梅區金溪里9鄰長青二街20號,68,6800400,6800400-028,9鄰,長青二街,,,,,,20號,121.168676382646,24.887060935297
桃園市楊梅區金溪里9鄰長青二街21號,68,6800400,6800400-028,9鄰,長青二街,,,,,,21號,121.168416470107,24.8866990958873
桃園市楊梅區金溪里9鄰長青二街21號三樓,68,6800400,6800400-028,9鄰,長青二街,,,,,,21號三樓,121.168416470107,24.8866990958873
桃園市楊梅區金溪里9鄰長青二街22號,68,6800400,6800400-028,9鄰,長青二街,,,,,,22號,121.168608578887,24.8870582130733
桃園市楊梅區金溪里9鄰長青二街23號,68,6800400,6800400-028,9鄰,長青二街,,,,,,23號,121.168360708545,24.8866718024564
桃園市楊梅區金溪里9鄰長青二街23號三樓,68,6800400,6800400-028,9鄰,長青二街,,,,,,23號三樓,121.168360708545,24.8866718024564
