FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市觀音區樹林里6鄰關平爺路13號,68,6801200,6801200-022,6鄰,關平爺路,,,,,,13號,121.121608265642,25.0448901909057
桃園市觀音區樹林里5鄰關平爺路15之1號,68,6801200,6801200-022,5鄰,關平爺路,,,,,,15之1號,121.12173196608,25.045008631378
桃園市觀音區樹林里5鄰關平爺路15號,68,6801200,6801200-022,5鄰,關平爺路,,,,,,15號,121.121831516485,25.0448578672005
桃園市觀音區樹林里5鄰關平爺路17號,68,6801200,6801200-022,5鄰,關平爺路,,,,,,17號,121.121867315267,25.0448801377784
桃園市觀音區樹林里5鄰關平爺路21巷16號,68,6801200,6801200-022,5鄰,關平爺路,,21巷,,,,16號,121.121821846073,25.0451008270842
桃園市觀音區樹林里5鄰關平爺路21巷28號,68,6801200,6801200-022,5鄰,關平爺路,,21巷,,,,28號,121.121793466398,25.0452653462451
桃園市觀音區樹林里5鄰關平爺路21巷40號,68,6801200,6801200-022,5鄰,關平爺路,,21巷,,,,40號,121.121753279745,25.0453159377453
桃園市觀音區樹林里5鄰關平爺路21巷58號,68,6801200,6801200-022,5鄰,關平爺路,,21巷,,,,58號,121.121714485876,25.045371945082
桃園市觀音區樹林里5鄰關平爺路21巷66號,68,6801200,6801200-022,5鄰,關平爺路,,21巷,,,,66號,121.121569492793,25.0451684753023
桃園市觀音區樹林里6鄰關平爺路21巷72號,68,6801200,6801200-022,6鄰,關平爺路,,21巷,,,,72號,121.121464401621,25.0450272681308
桃園市觀音區樹林里7鄰關平爺路28號,68,6801200,6801200-022,7鄰,關平爺路,,,,,,28號,121.121953552456,25.0446960699539
桃園市觀音區樹林里5鄰關平爺路31號,68,6801200,6801200-022,5鄰,關平爺路,,,,,,31號,121.122067829093,25.0449055232996
桃園市觀音區樹林里5鄰關平爺路37巷11號,68,6801200,6801200-022,5鄰,關平爺路,,37巷,,,,11號,121.121934291925,25.0453629170952
桃園市觀音區樹林里5鄰關平爺路37巷20號,68,6801200,6801200-022,5鄰,關平爺路,,37巷,,,,20號,121.121763279219,25.0454060321285
桃園市觀音區樹林里5鄰關平爺路41巷10號,68,6801200,6801200-022,5鄰,關平爺路,,41巷,,,,10號,121.121847428432,25.0453148674451
桃園市觀音區樹林里5鄰關平爺路43號,68,6801200,6801200-022,5鄰,關平爺路,,,,,,43號,121.122176121077,25.0449758551417
桃園市觀音區樹林里4鄰關平爺路45號,68,6801200,6801200-022,4鄰,關平爺路,,,,,,45號,121.122319902518,25.0450560888351
桃園市觀音區樹林里4鄰關平爺路71號,68,6801200,6801200-022,4鄰,關平爺路,,,,,,71號,121.122603141617,25.0452530337587
桃園市觀音區樹林里4鄰關平爺路75號,68,6801200,6801200-022,4鄰,關平爺路,,,,,,75號,121.122691027493,25.0453323200898
桃園市觀音區樹林里4鄰關平爺路75之1號,68,6801200,6801200-022,4鄰,關平爺路,,,,,,75之1號,121.122543527878,25.0455001879032
桃園市觀音區樹林里4鄰關平爺路79號,68,6801200,6801200-022,4鄰,關平爺路,,,,,,79號,121.122737289027,25.0454112796284
桃園市觀音區樹林里4鄰關平爺路81號,68,6801200,6801200-022,4鄰,關平爺路,,,,,,81號,121.122867684738,25.045384628603
桃園市觀音區樹林里4鄰關平爺路85號,68,6801200,6801200-022,4鄰,關平爺路,,,,,,85號,121.122932747015,25.0454341402261
桃園市觀音區樹林里4鄰關平爺路87號,68,6801200,6801200-022,4鄰,關平爺路,,,,,,87號,121.122977357865,25.0454477360604
桃園市觀音區樹林里4鄰關平爺路89號,68,6801200,6801200-022,4鄰,關平爺路,,,,,,89號,121.123023761983,25.0454707198429
桃園市觀音區樹林里4鄰關平爺路91號,68,6801200,6801200-022,4鄰,關平爺路,,,,,,91號,121.123083363945,25.0455105756246
桃園市觀音區樹林里4鄰關平爺路95號,68,6801200,6801200-022,4鄰,關平爺路,,,,,,95號,121.123071879978,25.0457213962669
桃園市觀音區樹林里4鄰關平爺路102號,68,6801200,6801200-022,4鄰,關平爺路,,,,,,102號,121.122947056276,25.0452736049586
桃園市觀音區樹林里4鄰關平爺路121號,68,6801200,6801200-022,4鄰,關平爺路,,,,,,121號,121.123343848972,25.0456463259996
桃園市觀音區樹林里4鄰關平爺路123號,68,6801200,6801200-022,4鄰,關平爺路,,,,,,123號,121.123385483987,25.0456571254039
桃園市觀音區樹林里4鄰關平爺路125號,68,6801200,6801200-022,4鄰,關平爺路,,,,,,125號,121.123378051108,25.0459542533761
桃園市觀音區樹林里4鄰關平爺路132號,68,6801200,6801200-022,4鄰,關平爺路,,,,,,132號,121.123253273266,25.0454545494997
桃園市觀音區樹林里4鄰關平爺路133號,68,6801200,6801200-022,4鄰,關平爺路,,,,,,133號,121.123605956369,25.0458180975348
桃園市觀音區樹林里4鄰關平爺路135號,68,6801200,6801200-022,4鄰,關平爺路,,,,,,135號,121.123651354026,25.0458254629745
桃園市觀音區樹林里4鄰關平爺路136號,68,6801200,6801200-022,4鄰,關平爺路,,,,,,136號,121.123329320591,25.0454882522849
桃園市觀音區樹林里4鄰關平爺路137號,68,6801200,6801200-022,4鄰,關平爺路,,,,,,137號,121.123742154612,25.0458454302295
桃園市觀音區樹林里4鄰關平爺路139號,68,6801200,6801200-022,4鄰,關平爺路,,,,,,139號,121.123805759897,25.0460225127456
桃園市觀音區樹林里4鄰關平爺路141號,68,6801200,6801200-022,4鄰,關平爺路,,,,,,141號,121.123843030357,25.0460292529168
桃園市觀音區樹林里3鄰關平爺路145巷8號,68,6801200,6801200-022,3鄰,關平爺路,,145巷,,,,8號,121.124197921737,25.0461220385657
桃園市觀音區樹林里3鄰關平爺路145巷10號,68,6801200,6801200-022,3鄰,關平爺路,,145巷,,,,10號,121.124094392107,25.0465514213505
桃園市觀音區樹林里3鄰關平爺路145巷28號,68,6801200,6801200-022,3鄰,關平爺路,,145巷,,,,28號,121.124041435852,25.0466164694251
桃園市觀音區樹林里3鄰關平爺路145巷66號,68,6801200,6801200-022,3鄰,關平爺路,,145巷,,,,66號,121.123987085611,25.046675108542
桃園市觀音區樹林里3鄰關平爺路145巷67之1號,68,6801200,6801200-022,3鄰,關平爺路,,145巷,,,,67之1號,121.123817408329,25.0476542801874
桃園市觀音區樹林里3鄰關平爺路145巷67號,68,6801200,6801200-022,3鄰,關平爺路,,145巷,,,,67號,121.123978742057,25.0470507835735
桃園市觀音區樹林里3鄰關平爺路145巷69號,68,6801200,6801200-022,3鄰,關平爺路,,145巷,,,,69號,121.123977169647,25.0471625553865
桃園市觀音區樹林里3鄰關平爺路145巷70號,68,6801200,6801200-022,3鄰,關平爺路,,145巷,,,,70號,121.124130643793,25.0468257614767
桃園市觀音區樹林里3鄰關平爺路145巷71號,68,6801200,6801200-022,3鄰,關平爺路,,145巷,,,,71號,121.123844186465,25.0471801812294
桃園市觀音區樹林里3鄰關平爺路145巷72號,68,6801200,6801200-022,3鄰,關平爺路,,145巷,,,,72號,121.124009854593,25.0468468983201
桃園市觀音區樹林里3鄰關平爺路145巷76號,68,6801200,6801200-022,3鄰,關平爺路,,145巷,,,,76號,121.124045932223,25.0469483464284
桃園市觀音區樹林里3鄰關平爺路145巷78號,68,6801200,6801200-022,3鄰,關平爺路,,145巷,,,,78號,121.124129056953,25.0470214966076
