FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市中壢區青埔里3鄰青昇二街5號,68,6800200,6800200-032,3鄰,青昇二街,,,,,,5號,121.222093702164,25.0166032209709
桃園市中壢區青埔里3鄰青昇二街7號,68,6800200,6800200-032,3鄰,青昇二街,,,,,,7號,121.222060464913,25.016633334913
桃園市中壢區青埔里3鄰青昇二街9號,68,6800200,6800200-032,3鄰,青昇二街,,,,,,9號,121.222031481163,25.0166595603193
桃園市中壢區青埔里3鄰青昇二街11號,68,6800200,6800200-032,3鄰,青昇二街,,,,,,11號,121.222006853573,25.0166838832691
桃園市中壢區青埔里3鄰青昇二街16號,68,6800200,6800200-032,3鄰,青昇二街,,,,,,16號,121.222130790617,25.0168412423287
桃園市中壢區青埔里3鄰青昇二街18號,68,6800200,6800200-032,3鄰,青昇二街,,,,,,18號,121.222077162489,25.0168824915662
桃園市中壢區青埔里3鄰青昇二街39號,68,6800200,6800200-032,3鄰,青昇二街,,,,,,39號,121.221467111628,25.0170459111873
桃園市中壢區青埔里3鄰青昇二街41號,68,6800200,6800200-032,3鄰,青昇二街,,,,,,41號,121.221401674986,25.0171326804939
桃園市大園區橫峰里43鄰青昇二街56號,68,6800600,6800600-005,43鄰,青昇二街,,,,,,56號,121.221123720556,25.0176694664906
桃園市大園區橫峰里43鄰青昇二街58號,68,6800600,6800600-005,43鄰,青昇二街,,,,,,58號,121.221093648723,25.0176969572954
桃園市大園區橫峰里43鄰青昇二街60巷1號,68,6800600,6800600-005,43鄰,青昇二街,,60巷,,,,1號,121.221113686102,25.0178755979051
桃園市大園區橫峰里43鄰青昇二街60巷2號,68,6800600,6800600-005,43鄰,青昇二街,,60巷,,,,2號,121.221379158171,25.0178369228159
桃園市大園區橫峰里43鄰青昇二街60巷3號,68,6800600,6800600-005,43鄰,青昇二街,,60巷,,,,3號,121.221162863785,25.0178938522489
桃園市大園區橫峰里43鄰青昇二街60巷5號,68,6800600,6800600-005,43鄰,青昇二街,,60巷,,,,5號,121.221193452656,25.0179337119097
桃園市大園區橫峰里43鄰青昇二街60巷6號,68,6800600,6800600-005,43鄰,青昇二街,,60巷,,,,6號,121.221423903729,25.0178699901127
桃園市大園區橫峰里43鄰青昇二街60巷7號,68,6800600,6800600-005,43鄰,青昇二街,,60巷,,,,7號,121.221235898918,25.0179554070034
桃園市大園區橫峰里43鄰青昇二街60巷8號,68,6800600,6800600-005,43鄰,青昇二街,,60巷,,,,8號,121.221467971283,25.0179117255904
桃園市大園區橫峰里43鄰青昇二街60巷9號,68,6800600,6800600-005,43鄰,青昇二街,,60巷,,,,9號,121.221281047446,25.0179921753532
桃園市大園區橫峰里43鄰青昇二街60巷10號,68,6800600,6800600-005,43鄰,青昇二街,,60巷,,,,10號,121.221503424205,25.0179565435162
桃園市大園區橫峰里43鄰青昇二街60巷11號,68,6800600,6800600-005,43鄰,青昇二街,,60巷,,,,11號,121.221318479545,25.0180356361297
桃園市大園區橫峰里43鄰青昇二街60巷12號,68,6800600,6800600-005,43鄰,青昇二街,,60巷,,,,12號,121.221551042096,25.0179889745126
桃園市大園區橫峰里43鄰青昇二街60巷13號,68,6800600,6800600-005,43鄰,青昇二街,,60巷,,,,13號,121.221349078053,25.0180808224501
桃園市大園區橫峰里43鄰青昇二街60巷15號,68,6800600,6800600-005,43鄰,青昇二街,,60巷,,,,15號,121.221390761848,25.0181193113037
桃園市大園區橫峰里43鄰青昇二街62號,68,6800600,6800600-005,43鄰,青昇二街,,,,,,62號,121.221029182416,25.0177726201602
桃園市大園區橫峰里43鄰青昇二街66號,68,6800600,6800600-005,43鄰,青昇二街,,,,,,66號,121.220990428952,25.0178211598295
桃園市大園區橫峰里43鄰青昇二街68號,68,6800600,6800600-005,43鄰,青昇二街,,,,,,68號,121.220957496891,25.0179114016649
