FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市桃園區龍山里12鄰鴻撫街1號,68,6800100,6800100-035,12鄰,鴻撫街,,,,,,1號,121.264313911605,24.9740836972929
桃園市桃園區龍山里12鄰鴻撫街1之1號,68,6800100,6800100-035,12鄰,鴻撫街,,,,,,1之1號,121.264327133038,24.9740135235246
桃園市桃園區龍山里12鄰鴻撫街2之3號,68,6800100,6800100-035,12鄰,鴻撫街,,,,,,2之3號,121.264207217453,24.9738423782596
桃園市桃園區龍山里12鄰鴻撫街2之2號,68,6800100,6800100-035,12鄰,鴻撫街,,,,,,2之2號,121.264175057785,24.9739031058554
桃園市桃園區龍山里12鄰鴻撫街2之1號,68,6800100,6800100-035,12鄰,鴻撫街,,,,,,2之1號,121.264143802425,24.9739698808355
桃園市桃園區龍山里12鄰鴻撫街2號,68,6800100,6800100-035,12鄰,鴻撫街,,,,,,2號,121.264112537778,24.9740323222161
桃園市桃園區龍山里12鄰鴻撫街2之2號二樓,68,6800100,6800100-035,12鄰,鴻撫街,,,,,,2之2號二樓,121.264175057785,24.9739031058554
桃園市桃園區龍山里12鄰鴻撫街2之1號三樓,68,6800100,6800100-035,12鄰,鴻撫街,,,,,,2之1號三樓,121.264143802425,24.9739698808355
桃園市桃園區龍山里12鄰鴻撫街2之2號四樓,68,6800100,6800100-035,12鄰,鴻撫街,,,,,,2之2號四樓,121.264175057785,24.9739031058554
桃園市桃園區龍山里12鄰鴻撫街2之3號二樓,68,6800100,6800100-035,12鄰,鴻撫街,,,,,,2之3號二樓,121.264207217453,24.9738423782596
桃園市桃園區龍山里12鄰鴻撫街2號二樓,68,6800100,6800100-035,12鄰,鴻撫街,,,,,,2號二樓,121.264143797798,24.9739677140392
桃園市桃園區龍山里12鄰鴻撫街2號三樓,68,6800100,6800100-035,12鄰,鴻撫街,,,,,,2號三樓,121.264143797798,24.9739677140392
桃園市桃園區龍山里12鄰鴻撫街2號四樓,68,6800100,6800100-035,12鄰,鴻撫街,,,,,,2號四樓,121.264143797798,24.9739677140392
桃園市桃園區龍山里12鄰鴻撫街2之1號二樓,68,6800100,6800100-035,12鄰,鴻撫街,,,,,,2之1號二樓,121.264143802425,24.9739698808355
桃園市桃園區龍山里12鄰鴻撫街2之1號四樓,68,6800100,6800100-035,12鄰,鴻撫街,,,,,,2之1號四樓,121.264143802425,24.9739698808355
桃園市桃園區龍山里12鄰鴻撫街2之2號三樓,68,6800100,6800100-035,12鄰,鴻撫街,,,,,,2之2號三樓,121.264175057785,24.9739031058554
