FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市中壢區林森里16鄰黃興街7號,68,6800200,6800200-084,16鄰,黃興街,,,,,,7號,121.226293096342,24.9442436054969
桃園市中壢區林森里18鄰黃興街8號,68,6800200,6800200-084,18鄰,黃興街,,,,,,8號,121.225968320145,24.9440924211699
桃園市中壢區林森里16鄰黃興街9號,68,6800200,6800200-084,16鄰,黃興街,,,,,,9號,121.226314022318,24.9442069183929
桃園市中壢區林森里16鄰黃興街11號,68,6800200,6800200-084,16鄰,黃興街,,,,,,11號,121.226323547078,24.9441628453114
桃園市中壢區林森里16鄰黃興街13之1號,68,6800200,6800200-084,16鄰,黃興街,,,,,,13之1號,121.22638815347,24.9442405720165
桃園市中壢區林森里16鄰黃興街13之2號,68,6800200,6800200-084,16鄰,黃興街,,,,,,13之2號,121.226434809636,24.9442493489605
桃園市中壢區林森里16鄰黃興街13號,68,6800200,6800200-084,16鄰,黃興街,,,,,,13號,121.226346065487,24.9441305797022
桃園市中壢區林森里18鄰黃興街14號,68,6800200,6800200-084,18鄰,黃興街,,,,,,14號,121.226128591438,24.9440662665125
桃園市中壢區林森里18鄰黃興街16巷1號,68,6800200,6800200-084,18鄰,黃興街,,16巷,,,,1號,121.226109024818,24.9439254530867
桃園市中壢區林森里18鄰黃興街16巷2號,68,6800200,6800200-084,18鄰,黃興街,,16巷,,,,2號,121.226054567558,24.9440370365137
桃園市中壢區林森里18鄰黃興街16巷3號,68,6800200,6800200-084,18鄰,黃興街,,16巷,,,,3號,121.226028553819,24.9438903643934
桃園市中壢區林森里18鄰黃興街16巷4號,68,6800200,6800200-084,18鄰,黃興街,,16巷,,,,4號,121.225965874945,24.9440005157151
桃園市中壢區林森里18鄰黃興街16巷5號,68,6800200,6800200-084,18鄰,黃興街,,16巷,,,,5號,121.225946295016,24.9438522989934
桃園市中壢區林森里18鄰黃興街16巷6號,68,6800200,6800200-084,18鄰,黃興街,,16巷,,,,6號,121.225880551804,24.9439654343003
桃園市中壢區林森里16鄰黃興街17之2號,68,6800200,6800200-084,16鄰,黃興街,,,,,,17之2號,121.226540723352,24.9440641959629
桃園市中壢區林森里16鄰黃興街17號,68,6800200,6800200-084,16鄰,黃興街,,,,,,17號,121.226392568643,24.94405566358
桃園市中壢區林森里16鄰黃興街17之1號,68,6800200,6800200-084,16鄰,黃興街,,,,,,17之1號,121.226485974254,24.9440701476524
桃園市中壢區林森里18鄰黃興街18號,68,6800200,6800200-084,18鄰,黃興街,,,,,,18號,121.226184737477,24.9439576598694
桃園市中壢區林森里16鄰黃興街19號,68,6800200,6800200-084,16鄰,黃興街,,,,,,19號,121.226415070842,24.944014550148
桃園市中壢區林森里18鄰黃興街20號,68,6800200,6800200-084,18鄰,黃興街,,,,,,20號,121.226203891508,24.9438724929339
桃園市中壢區林森里16鄰黃興街21號,68,6800200,6800200-084,16鄰,黃興街,,,,,,21號,121.226434310545,24.9439763307598
桃園市中壢區林森里18鄰黃興街22號,68,6800200,6800200-084,18鄰,黃興街,,,,,,22號,121.22623283551,24.9438342588387
桃園市中壢區林森里16鄰黃興街23號,68,6800200,6800200-084,16鄰,黃興街,,,,,,23號,121.22648573819,24.943941041822
桃園市中壢區林森里18鄰黃興街24號,68,6800200,6800200-084,18鄰,黃興街,,,,,,24號,121.226271547476,24.9437766891184
桃園市中壢區林森里16鄰黃興街25號,68,6800200,6800200-084,16鄰,黃興街,,,,,,25號,121.226480028669,24.9439053883005
桃園市中壢區林森里18鄰黃興街26號,68,6800200,6800200-084,18鄰,黃興街,,,,,,26號,121.226284169309,24.9437475984867
桃園市中壢區林森里18鄰黃興街28號,68,6800200,6800200-084,18鄰,黃興街,,,,,,28號,121.226311520808,24.9437049428757
桃園市中壢區林森里18鄰黃興街30號,68,6800200,6800200-084,18鄰,黃興街,,,,,,30號,121.22633232622,24.9436565190231
桃園市中壢區林森里16鄰黃興街31號,68,6800200,6800200-084,16鄰,黃興街,,,,,,31號,121.2265306226,24.9437932688874
桃園市中壢區林森里18鄰黃興街32號,68,6800200,6800200-084,18鄰,黃興街,,,,,,32號,121.226362857138,24.9436197270366
桃園市中壢區林森里16鄰黃興街33號,68,6800200,6800200-084,16鄰,黃興街,,,,,,33號,121.226570247915,24.9437478860484
