FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市桃園區龍鳳里9鄰龍鳳三街1之1號,68,6800100,6800100-059,9鄰,龍鳳三街,,,,,,1之1號,121.280948719209,24.9878246063086
桃園市桃園區龍鳳里10鄰龍鳳三街29之1號,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,29之1號,121.280338887817,24.9875497603726
桃園市桃園區龍鳳里10鄰龍鳳三街31號,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,31號,121.280262735243,24.987516228144
桃園市桃園區龍鳳里10鄰龍鳳三街31號地下一層,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,31號地下一層,121.280262735243,24.987516228144
桃園市桃園區龍鳳里10鄰龍鳳三街31號二樓,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,31號二樓,121.280262735243,24.987516228144
桃園市桃園區龍鳳里10鄰龍鳳三街31號三樓,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,31號三樓,121.280262735243,24.987516228144
桃園市桃園區龍鳳里10鄰龍鳳三街31號四樓,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,31號四樓,121.280262735243,24.987516228144
桃園市桃園區龍鳳里10鄰龍鳳三街31號五樓,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,31號五樓,121.280262735243,24.987516228144
桃園市桃園區龍鳳里10鄰龍鳳三街31號七樓,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,31號七樓,121.280262735243,24.987516228144
桃園市桃園區龍鳳里10鄰龍鳳三街31號六樓,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,31號六樓,121.280262735243,24.987516228144
桃園市桃園區龍鳳里10鄰龍鳳三街33號,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,33號,121.280148021708,24.9874705802285
桃園市桃園區龍鳳里10鄰龍鳳三街33號六樓,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,33號六樓,121.280148021708,24.9874705802285
桃園市桃園區龍鳳里10鄰龍鳳三街33號七樓,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,33號七樓,121.280148021708,24.9874705802285
桃園市桃園區龍鳳里10鄰龍鳳三街33號二樓,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,33號二樓,121.280148021708,24.9874705802285
桃園市桃園區龍鳳里10鄰龍鳳三街33號五樓,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,33號五樓,121.280148021708,24.9874705802285
桃園市桃園區龍鳳里10鄰龍鳳三街33號三樓,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,33號三樓,121.280148021708,24.9874705802285
桃園市桃園區龍鳳里10鄰龍鳳三街33號四樓,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,33號四樓,121.280148021708,24.9874705802285
桃園市桃園區龍鳳里10鄰龍鳳三街42號,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,42號,121.280556182932,24.9877948311067
桃園市桃園區龍鳳里10鄰龍鳳三街42號二樓,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,42號二樓,121.280556182932,24.9877948311067
桃園市桃園區龍鳳里10鄰龍鳳三街42號三樓,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,42號三樓,121.280556182932,24.9877948311067
桃園市桃園區龍鳳里10鄰龍鳳三街48號一樓之1,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,48號一樓之1,121.280406893577,24.9877473526259
桃園市桃園區龍鳳里10鄰龍鳳三街48號五樓之2,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,48號五樓之2,121.280406893577,24.9877473526259
桃園市桃園區龍鳳里10鄰龍鳳三街48號七樓之2,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,48號七樓之2,121.280406893577,24.9877473526259
桃園市桃園區龍鳳里10鄰龍鳳三街48號三樓之2,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,48號三樓之2,121.280406893577,24.9877473526259
桃園市桃園區龍鳳里10鄰龍鳳三街48號五樓之1,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,48號五樓之1,121.280406893577,24.9877473526259
桃園市桃園區龍鳳里10鄰龍鳳三街48號六樓之1,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,48號六樓之1,121.280406893577,24.9877473526259
桃園市桃園區龍鳳里10鄰龍鳳三街48號四樓之2,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,48號四樓之2,121.280406893577,24.9877473526259
桃園市桃園區龍鳳里10鄰龍鳳三街48號二樓之1,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,48號二樓之1,121.280406893577,24.9877473526259
桃園市桃園區龍鳳里10鄰龍鳳三街48號一樓之2,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,48號一樓之2,121.280406893577,24.9877473526259
桃園市桃園區龍鳳里10鄰龍鳳三街48號二樓之2,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,48號二樓之2,121.280406893577,24.9877473526259
桃園市桃園區龍鳳里10鄰龍鳳三街48號三樓之1,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,48號三樓之1,121.280406893577,24.9877473526259
桃園市桃園區龍鳳里10鄰龍鳳三街48號六樓之2,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,48號六樓之2,121.280406893577,24.9877473526259
桃園市桃園區龍鳳里10鄰龍鳳三街48號四樓之1,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,48號四樓之1,121.280406893577,24.9877473526259
桃園市桃園區龍鳳里10鄰龍鳳三街48號七樓之1,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,48號七樓之1,121.280406893577,24.9877473526259
桃園市桃園區龍鳳里10鄰龍鳳三街50號,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,50號,121.280299295985,24.9877383464323
桃園市桃園區龍鳳里10鄰龍鳳三街56號,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,56號,121.279922121761,24.9875806994958
桃園市桃園區龍鳳里10鄰龍鳳三街58號,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,58號,121.27984168575,24.9875803090721
桃園市桃園區龍鳳里10鄰龍鳳三街60號,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,60號,121.279776737014,24.9875512696898
桃園市桃園區龍鳳里10鄰龍鳳三街62巷1號,68,6800100,6800100-059,10鄰,龍鳳三街,,62巷,,,,1號,121.27961244294,24.9875703573933
桃園市桃園區龍鳳里10鄰龍鳳三街62巷2號,68,6800100,6800100-059,10鄰,龍鳳三街,,62巷,,,,2號,121.279761160729,24.9876281300441
桃園市桃園區龍鳳里10鄰龍鳳三街62巷3號,68,6800100,6800100-059,10鄰,龍鳳三街,,62巷,,,,3號,121.279559068615,24.9876220997052
桃園市桃園區龍鳳里10鄰龍鳳三街62巷4號,68,6800100,6800100-059,10鄰,龍鳳三街,,62巷,,,,4號,121.279744926337,24.9876768232501
桃園市桃園區龍鳳里10鄰龍鳳三街62巷5號,68,6800100,6800100-059,10鄰,龍鳳三街,,62巷,,,,5號,121.279541345011,24.9876693511545
桃園市桃園區龍鳳里10鄰龍鳳三街62巷6號,68,6800100,6800100-059,10鄰,龍鳳三街,,62巷,,,,6號,121.279722862642,24.9877322083737
桃園市桃園區龍鳳里10鄰龍鳳三街64號,68,6800100,6800100-059,10鄰,龍鳳三街,,,,,,64號,121.279662494401,24.9874947865201
桃園市桃園區龍鳳里21鄰龍鳳三街65巷2號,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,2號,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷2號八樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,2號八樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷2號七樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,2號七樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷2號九樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,2號九樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷2號二十樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,2號二十樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷2號二樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,2號二樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷2號十一樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,2號十一樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷2號十九樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,2號十九樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷2號十二樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,2號十二樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷2號十八樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,2號十八樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷2號十三樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,2號十三樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷2號十五樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,2號十五樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷2號十六樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,2號十六樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷2號十樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,2號十樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷2號三樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,2號三樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷2號六樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,2號六樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷2號四樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,2號四樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷2號十七樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,2號十七樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷2號十四樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,2號十四樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷2號五樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,2號五樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷6號七樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,6號七樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷6號二十樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,6號二十樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷6號二樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,6號二樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷6號八樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,6號八樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷6號十一樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,6號十一樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷6號十七樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,6號十七樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷6號十二樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,6號十二樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷6號十八樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,6號十八樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷6號十三樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,6號十三樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷6號十五樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,6號十五樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷6號九樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,6號九樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷6號十九樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,6號十九樓,121.279056975092,24.9869340902874
桃園市桃園區龍鳳里21鄰龍鳳三街65巷6號十六樓,68,6800100,6800100-059,21鄰,龍鳳三街,,65巷,,,,6號十六樓,121.279056975092,24.9869340902874
